file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/app/src/main/java/com/alibaba/android/arouter/demo/testinterceptor/Test1Interceptor.java,com.alibaba.android.arouter.demo.testinterceptor.Test1Interceptor,init/1[com.alibaba.android.arouter.demo.testinterceptor.Context],context,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/app/src/main/java/com/alibaba/android/arouter/demo/testinterceptor/Test1Interceptor.java,com.alibaba.android.arouter.demo.testinterceptor.Test1Interceptor,"process/2[com.alibaba.android.arouter.facade.Postcard,com.alibaba.android.arouter.facade.callback.InterceptorCallback]",ab,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/app/src/main/java/com/alibaba/android/arouter/demo/testinterceptor/Test1Interceptor.java,com.alibaba.android.arouter.demo.testinterceptor.Test1Interceptor,"process/2[com.alibaba.android.arouter.facade.Postcard,com.alibaba.android.arouter.facade.callback.InterceptorCallback]",postcard,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/app/src/main/java/com/alibaba/android/arouter/demo/testinterceptor/Test1Interceptor.java,com.alibaba.android.arouter.demo.testinterceptor.Test1Interceptor,"process/2[com.alibaba.android.arouter.facade.Postcard,com.alibaba.android.arouter.facade.callback.InterceptorCallback]",callback,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-api/src/main/java/com/alibaba/android/arouter/facade/Postcard.java,com.alibaba.android.arouter.facade.Postcard,"navigation/2[com.alibaba.android.arouter.facade.Activity,int]",requestCode,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-api/src/main/java/com/alibaba/android/arouter/facade/Postcard.java,com.alibaba.android.arouter.facade.Postcard,"navigation/2[com.alibaba.android.arouter.facade.Activity,int]",mContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-api/src/main/java/com/alibaba/android/arouter/facade/Postcard.java,com.alibaba.android.arouter.facade.Postcard,"withInt/2[java.lang.String,int]",value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-api/src/main/java/com/alibaba/android/arouter/facade/Postcard.java,com.alibaba.android.arouter.facade.Postcard,"withInt/2[java.lang.String,int]",key,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-api/src/main/java/com/alibaba/android/arouter/facade/Postcard.java,com.alibaba.android.arouter.facade.Postcard,"withByte/2[java.lang.String,byte]",value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ARouter_93b328569bbdbf75e4aa87f0ecf48c69600591b2/arouter-api/src/main/java/com/alibaba/android/arouter/facade/Postcard.java,com.alibaba.android.arouter.facade.Postcard,"withByte/2[java.lang.String,byte]",key,1
