file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/config/DataOfConfigurationForException.java,com.microsoft.applicationinsights.agent.internal.config.DataOfConfigurationForException,setEnabled/1[boolean],enabled,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/config/DataOfConfigurationForException.java,com.microsoft.applicationinsights.agent.internal.config.DataOfConfigurationForException,setSuppressedExceptions/1[java.util.HashSet<java.lang.String>],suppressedExceptions,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/config/DataOfConfigurationForException.java,com.microsoft.applicationinsights.agent.internal.config.DataOfConfigurationForException,setStackSize/1[int],stackSize,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/config/DataOfConfigurationForException.java,com.microsoft.applicationinsights.agent.internal.config.DataOfConfigurationForException,setValidPathForExceptions/1[java.util.HashSet<java.lang.String>],validPathForExceptions,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/util/LocalStringsUtils.java,com.microsoft.applicationinsights.internal.util.LocalStringsUtils,"populateRequiredStringWithNullValue/3[java.lang.String,java.lang.String,java.lang.String]",telemetryType,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/util/LocalStringsUtils.java,com.microsoft.applicationinsights.internal.util.LocalStringsUtils,"populateRequiredStringWithNullValue/3[java.lang.String,java.lang.String,java.lang.String]",parameterName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/util/LocalStringsUtils.java,com.microsoft.applicationinsights.internal.util.LocalStringsUtils,"populateRequiredStringWithNullValue/3[java.lang.String,java.lang.String,java.lang.String]",value,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/util/LocalStringsUtils.java,com.microsoft.applicationinsights.internal.util.LocalStringsUtils,isNullOrEmpty/1[java.lang.String],value,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/util/LocalStringsUtils.java,com.microsoft.applicationinsights.internal.util.LocalStringsUtils,generateRandomId/1[boolean],removeDashes,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/util/LocalStringsUtils.java,com.microsoft.applicationinsights.internal.util.LocalStringsUtils,generateRandomId/1[boolean],uuid,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/util/LocalStringsUtils.java,com.microsoft.applicationinsights.internal.util.LocalStringsUtils,generateRandomIntegerId/0,rand,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/agent/ClassInstrumentationData.java,com.microsoft.applicationinsights.agent.internal.agent.ClassInstrumentationData$Anonymous2,"create/7[com.microsoft.applicationinsights.agent.internal.agent.MethodInstrumentationDecision,int,java.lang.String,java.lang.String,java.lang.String,com.microsoft.applicationinsights.agent.internal.agent.MethodVisitor,com.microsoft.applicationinsights.agent.internal.agent.ClassToMethodTransformationData]",owner,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/agent/ClassInstrumentationData.java,com.microsoft.applicationinsights.agent.internal.agent.ClassInstrumentationData$Anonymous2,"create/7[com.microsoft.applicationinsights.agent.internal.agent.MethodInstrumentationDecision,int,java.lang.String,java.lang.String,java.lang.String,com.microsoft.applicationinsights.agent.internal.agent.MethodVisitor,com.microsoft.applicationinsights.agent.internal.agent.ClassToMethodTransformationData]",access,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/agent/ClassInstrumentationData.java,com.microsoft.applicationinsights.agent.internal.agent.ClassInstrumentationData$Anonymous2,"create/7[com.microsoft.applicationinsights.agent.internal.agent.MethodInstrumentationDecision,int,java.lang.String,java.lang.String,java.lang.String,com.microsoft.applicationinsights.agent.internal.agent.MethodVisitor,com.microsoft.applicationinsights.agent.internal.agent.ClassToMethodTransformationData]",decision,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/agent/ClassInstrumentationData.java,com.microsoft.applicationinsights.agent.internal.agent.ClassInstrumentationData$Anonymous2,"create/7[com.microsoft.applicationinsights.agent.internal.agent.MethodInstrumentationDecision,int,java.lang.String,java.lang.String,java.lang.String,com.microsoft.applicationinsights.agent.internal.agent.MethodVisitor,com.microsoft.applicationinsights.agent.internal.agent.ClassToMethodTransformationData]",methodName,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/agent/ClassInstrumentationData.java,com.microsoft.applicationinsights.agent.internal.agent.ClassInstrumentationData$Anonymous2,"create/7[com.microsoft.applicationinsights.agent.internal.agent.MethodInstrumentationDecision,int,java.lang.String,java.lang.String,java.lang.String,com.microsoft.applicationinsights.agent.internal.agent.MethodVisitor,com.microsoft.applicationinsights.agent.internal.agent.ClassToMethodTransformationData]",additionalData,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/agent/ClassInstrumentationData.java,com.microsoft.applicationinsights.agent.internal.agent.ClassInstrumentationData$Anonymous2,"create/7[com.microsoft.applicationinsights.agent.internal.agent.MethodInstrumentationDecision,int,java.lang.String,java.lang.String,java.lang.String,com.microsoft.applicationinsights.agent.internal.agent.MethodVisitor,com.microsoft.applicationinsights.agent.internal.agent.ClassToMethodTransformationData]",methodVisitor,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/agent/src/main/java/com/microsoft/applicationinsights/agent/internal/agent/ClassInstrumentationData.java,com.microsoft.applicationinsights.agent.internal.agent.ClassInstrumentationData$Anonymous2,"create/7[com.microsoft.applicationinsights.agent.internal.agent.MethodInstrumentationDecision,int,java.lang.String,java.lang.String,java.lang.String,com.microsoft.applicationinsights.agent.internal.agent.MethodVisitor,com.microsoft.applicationinsights.agent.internal.agent.ClassToMethodTransformationData]",desc,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/config/AdaptiveSamplerXmlElement.java,com.microsoft.applicationinsights.internal.config.AdaptiveSamplerXmlElement,setMaxTelemetryItemsPerSecond/1[java.lang.String],maxTelemetryItemsPerSecond,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/config/AdaptiveSamplerXmlElement.java,com.microsoft.applicationinsights.internal.config.AdaptiveSamplerXmlElement,setMovingAverageRatio/1[java.lang.String],movingAverageRatio,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/config/AdaptiveSamplerXmlElement.java,com.microsoft.applicationinsights.internal.config.AdaptiveSamplerXmlElement,setSamplingPercentageIncreaseTimeout/1[java.lang.String],samplingPercentageIncreaseTimeout,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/config/AdaptiveSamplerXmlElement.java,com.microsoft.applicationinsights.internal.config.AdaptiveSamplerXmlElement,setMinSamplingPercentage/1[java.lang.String],minSamplingPercentage,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ApplicationInsights-Java_230ed8807bf3e8aa62093df0b426b7a9f704231e/core/src/main/java/com/microsoft/applicationinsights/internal/config/AdaptiveSamplerXmlElement.java,com.microsoft.applicationinsights.internal.config.AdaptiveSamplerXmlElement,setIncludeTypes/1[java.lang.String],includeTypes,2
