file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/schema/WildcardExpansionLimitExceededException.java,com.salesforce.dva.argus.service.schema.WildcardExpansionLimitExceededException,class,0,2,2,0,3,4,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/audit/DefaultAuditService.java,com.salesforce.dva.argus.service.audit.DefaultAuditService,class,15,16,1,15,25,3,0,26,0,0.27272728,0.5090909,0.5090909,11,0,10,0,0,1,11,0,0,0,2,0,0,2,0,0,0,0,15,88,9,0,10,1,0,17,3,14,0,15,2,0,0,0,84,1,9
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/alert/AlertsCountContext.java,com.salesforce.dva.argus.service.alert.AlertsCountContext,class,2,7,5,2,8,1,0,0,0,0.4,0.5,0.6,6,0,5,1,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,62,5,0,2,0,0,0,0,8,0,8,0,0,1,0,26,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/alert/notifier/GOCNotifier.java,com.salesforce.dva.argus.service.alert.notifier.GOCNotifier$EndpointInfo,innerclass,0,0,0,0,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,24,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/schema/MetatagsSchemaRecordList.java,com.salesforce.dva.argus.service.schema.MetatagsSchemaRecordList$CreateSerializer,innerclass,7,7,0,7,2,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,2,0,2,1,0,0,0,20,8,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/test/java/com/salesforce/dva/argus/service/metric/transform/GroupTransformTest.java,com.salesforce.dva.argus.service.metric.transform.GroupTransformTest$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/util/QueryContext.java,com.salesforce.dva.argus.util.QueryContext,class,3,48,45,3,12,1,0,2,46,0.79999995,0.15151516,0.15151516,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,1,43,6,0,0,0,0,0,0,11,0,5,0,0,0,0,17,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusSDK/src/test/java/com/salesforce/dva/argus/sdk/MetricServiceTest.java,com.salesforce.dva.argus.sdk.MetricServiceTest,class,8,9,1,8,5,2,0,18,6,0.0,0.0,0.0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,42,2,0,0,2,0,10,4,16,1,16,1,0,0,0,38,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/test/java/com/salesforce/dva/argus/util/OptionTest.java,com.salesforce.dva.argus.util.OptionTest,class,5,6,1,5,19,1,0,32,31,0.70000005,0.15555556,0.22222222,10,3,10,0,0,0,10,0,0,0,2,2,0,2,0,0,0,0,36,100,4,1,6,2,0,85,11,13,0,13,1,0,0,0,64,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/test/java/com/salesforce/dva/argus/service/TSDBServiceIT.java,com.salesforce.dva.argus.service.TSDBServiceIT,class,14,15,1,14,39,2,0,62,90,0.625,0.27272728,0.27272728,16,1,9,5,2,0,11,0,0,0,1,1,0,1,0,0,1,0,25,273,7,15,5,7,6,27,39,106,16,102,3,0,0,0,121,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/entity/Audit.java,com.salesforce.dva.argus.entity.Audit,class,20,28,8,20,57,1,0,21,175,0.8086956,0.1541502,0.53754944,23,8,21,0,2,0,23,0,0,0,5,0,0,5,0,0,0,0,15,171,23,0,23,4,2,58,7,20,8,16,2,0,0,0,139,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/AlertService.java,com.salesforce.dva.argus.service.AlertService$SupportedNotifier,enum,9,9,0,9,5,1,0,11,1,0.33333334,0.33333334,0.33333334,3,1,2,0,0,1,3,0,0,0,1,0,0,0,0,1,0,0,1,16,2,1,0,0,0,1,0,1,1,1,2,0,0,0,51,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/monitor/DefaultMonitorService.java,com.salesforce.dva.argus.service.monitor.DefaultMonitorService,class,37,40,3,37,103,4,0,88,245,0.9065257,0.15238096,0.31428573,27,2,19,7,1,0,21,0,0,6,21,7,0,21,0,0,17,0,49,505,12,11,27,2,4,95,7,103,6,56,5,1,1,0,235,1,26
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/SchemaService.java,com.salesforce.dva.argus.service.SchemaService$RecordType,enum,2,2,0,2,5,1,0,3,1,0.33333334,0.0,0.0,3,1,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,23,2,1,0,0,0,7,0,1,1,1,2,0,0,0,62,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/tsdb/MetricTransform.java,com.salesforce.dva.argus.service.tsdb.MetricTransform$Serializer,innerclass,9,9,0,9,7,2,0,24,3,0.0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,35,1,2,1,1,0,7,0,3,0,3,2,0,0,0,30,8,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/service/alert/AlertDefinitionsCache.java,com.salesforce.dva.argus.service.alert.AlertDefinitionsCache,class,7,13,6,7,13,1,0,19,14,0.75,0.25,0.39285713,8,1,8,0,0,0,8,0,0,0,5,3,0,5,0,0,1,0,2,57,4,2,1,1,0,2,1,16,2,13,3,0,0,0,53,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusWebServices/src/main/java/com/salesforce/dva/argus/ws/resources/AbstractResource.java,com.salesforce.dva.argus.ws.resources.AbstractResource,class,14,32,18,14,32,1,17,37,34,0.8888889,0.027777778,0.027777778,9,1,3,0,6,0,9,0,0,0,2,0,0,0,2,0,1,0,7,110,8,2,11,1,0,6,0,17,1,16,3,0,2,0,178,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Argus_121b59a268da264316cded6a3e9271366a23cd86/ArgusCore/src/main/java/com/salesforce/dva/argus/entity/SuspensionRecord.java,com.salesforce.dva.argus.entity.SuspensionRecord,class,18,21,3,18,42,2,0,24,49,0.6710527,0.35672516,0.79532164,19,3,18,0,1,0,19,0,0,0,4,0,0,0,0,4,0,0,8,128,20,2,14,2,4,26,10,18,6,13,3,0,0,0,147,1,0
