file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-registry-redis/src/main/java/com/baidu/pbrpc/register/redis/JedisPool.java,com.baidu.pbrpc.register.redis.JedisPool$JedisFactory,destroyObject/1[com.baidu.pbrpc.register.redis.PooledObject<com.baidu.pbrpc.register.redis.Jedis>],false,82,2,0,0,0,4,6,17,0,1,1,6,0,0,0,0,2,0,0,0,1,0,3,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-registry-redis/src/main/java/com/baidu/pbrpc/register/redis/JedisPool.java,com.baidu.pbrpc.register.redis.JedisPool$JedisFactory,create/0,false,121,1,0,0,0,2,0,10,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-registry-redis/src/main/java/com/baidu/pbrpc/register/redis/JedisPool.java,com.baidu.pbrpc.register.redis.JedisPool$JedisFactory,validateObject/1[com.baidu.pbrpc.register.redis.PooledObject<com.baidu.pbrpc.register.redis.Jedis>],false,106,2,0,0,0,3,3,9,2,1,1,3,0,0,0,1,1,0,1,0,1,0,1,0,0,0,15,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-registry-redis/src/main/java/com/baidu/pbrpc/register/redis/JedisPool.java,com.baidu.pbrpc.register.redis.JedisPool$JedisFactory,wrap/1[com.baidu.pbrpc.register.redis.Jedis],false,138,3,0,0,0,2,2,7,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-registry-redis/src/main/java/com/baidu/pbrpc/register/redis/JedisPool.java,com.baidu.pbrpc.register.redis.JedisPool$JedisFactory,"JedisFactory/4[java.lang.String,int,int,java.lang.String]",true,74,0,2,2,0,2,0,7,0,0,4,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-core-spring-base/src/main/java/com/baidu/jprotobuf/pbrpc/spring/RpcServiceRegistryBean.java,com.baidu.jprotobuf.pbrpc.spring.RpcServiceRegistryBean,RpcServiceRegistryBean/0,true,35,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-core-spring-base/src/main/java/com/baidu/jprotobuf/pbrpc/spring/RpcServiceRegistryBean.java,com.baidu.jprotobuf.pbrpc.spring.RpcServiceRegistryBean,"doCreateRpcHandler/3[java.lang.reflect.Method,java.lang.Object,com.baidu.jprotobuf.pbrpc.spring.ProtobufRPCService]",false,48,2,0,0,0,1,1,4,1,1,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-core-spring2/src/main/java/com/baidu/jprotobuf/pbrpc/spring/annotation/CommonAnnotationBeanPostProcessor.java,BeanInfo,"BeanInfo/3[Object,String,Annotation]",true,388,0,0,0,0,1,0,6,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-core/src/test/java/com/baidu/jprotobuf/pbrpc/data/RpcMetaTest.java,com.baidu.jprotobuf.pbrpc.data.RpcMetaTest,testReadWrite/0,false,61,4,5,0,5,1,4,7,0,3,0,4,2,1,0,0,0,0,0,0,3,0,0,0,0,0,11,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Jprotobuf-rpc-socket_4422e24c725eaf1f76646f674718bcc8750a4e1d/jprotobuf-rpc-core/src/test/java/com/baidu/jprotobuf/pbrpc/data/RpcMetaTest.java,com.baidu.jprotobuf.pbrpc.data.RpcMetaTest,"assertEquals/2[com.baidu.jprotobuf.pbrpc.data.RpcMeta,com.baidu.jprotobuf.pbrpc.data.RpcMeta]",false,77,4,16,2,14,1,16,13,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,true
