file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/browsermob-proxy/src/main/java/org/java_bandwidthlimiter/BandwidthLimiter.java,org.java_bandwidthlimiter.BandwidthLimiter,interface,0,1,1,0,3,1,0,0,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,3,3,3,0,0,0,3,0,0,8,0,0,0,0,0,0,3,3,1,3,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/wilma-application/modules/wilma-stub-configuration-support/src/test/java/com/epam/wilma/stubconfig/condition/checker/general/url/AndUrlPatternCheckerTest.java,com.epam.wilma.stubconfig.condition.checker.general.url.AndUrlPatternCheckerTest,class,8,8,0,8,6,1,0,8,0,0.055555556,1.0,1.0,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,42,0,0,0,0,0,20,0,7,0,8,0,0,0,0,38,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/wilma-service-api/src/test/java/com/epam/wilma/service/configuration/LocalhostBlockingConfigurationTest.java,com.epam.wilma.service.configuration.LocalhostBlockingConfigurationTest,class,9,10,1,9,7,1,0,22,3,0.6875,0.6,0.6,6,0,5,1,0,0,5,0,0,0,8,6,0,8,0,0,6,0,1,40,1,0,1,0,0,5,1,10,0,11,0,0,0,0,75,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/browsermob-proxy/src/main/java/net/lightbody/bmp/proxy/http/SimulatedSocketFactory.java,net.lightbody.bmp.proxy.http.SimulatedSocketFactory$Anonymous1,anonymous,1,1,0,1,4,1,0,7,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,20,2,0,0,0,0,0,0,4,0,4,0,0,0,0,15,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/browsermob-proxy/src/main/java/net/lightbody/bmp/proxy/jetty/http/ajp/AJP13OutputStream.java,net.lightbody.bmp.proxy.jetty.http.ajp.AJP13OutputStream,class,9,11,2,9,24,3,0,36,23,0.75757575,0.29090908,0.6545454,11,0,8,0,2,1,11,0,0,0,6,1,0,6,0,0,0,0,3,111,1,3,4,0,0,0,11,25,5,16,4,0,0,0,65,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/wilma-application/modules/wilma-webapp/src/main/java/com/epam/wilma/webapp/domain/exception/ResponseFormattingFailedException.java,com.epam.wilma.webapp.domain.exception.ResponseFormattingFailedException,class,1,11,10,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/browsermob-proxy/src/main/java/org/xbill/DNS/IPSECKEYRecord.java,org.xbill.DNS.IPSECKEYRecord,class,11,13,2,11,39,2,0,23,0,0.5833333,0.530303,0.6818182,12,0,6,0,0,6,12,0,0,0,6,1,0,6,0,0,1,0,7,160,7,0,2,0,3,24,4,30,4,11,2,0,2,0,76,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/wilma-application/modules/wilma-message-maintainer/src/test/java/com/epam/wilma/maintainer/configuration/MaintainerConfigurationAccessTest.java,com.epam.wilma.maintainer.configuration.MaintainerConfigurationAccessTest,class,7,7,0,7,4,1,0,12,0,0.45,1.0,1.0,4,0,4,0,0,0,4,0,0,0,5,3,0,5,0,0,3,0,0,30,0,0,0,0,0,6,1,6,0,8,0,0,0,0,46,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/browsermob-proxy/src/main/java/net/lightbody/bmp/proxy/jetty/util/LifeCycleThread.java,net.lightbody.bmp.proxy.jetty.util.LifeCycleThread,class,4,5,1,4,20,1,0,11,13,0.65,0.35555556,0.8,10,0,10,0,0,0,10,1,1,2,4,1,0,4,0,0,0,0,2,70,6,1,2,2,0,1,0,6,0,4,4,0,0,0,42,1025,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/Wilma_af271176f7847d06512b62ed8f1a4a0e7fd8b10a/browsermob-proxy/src/main/java/net/lightbody/bmp/proxy/jetty/http/handler/AbstractHttpHandler.java,net.lightbody.bmp.proxy.jetty.http.handler.AbstractHttpHandler,class,10,25,15,10,17,1,13,21,12,0.6666667,0.33333334,0.7777778,9,0,9,0,0,0,9,0,0,0,4,1,0,4,0,0,0,0,1,52,4,0,4,0,0,5,1,11,5,7,2,0,0,0,75,1025,2
