file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",false,106,4,1,0,1,15,16,56,2,12,4,16,0,0,0,2,1,0,17,0,13,2,2,0,0,0,39,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"getLaunchConfiguration/2[java.lang.String,org.eclipse.acute.dotnettest.IResource]",false,173,5,2,2,0,8,20,34,3,5,2,20,0,0,1,0,1,0,5,0,8,1,3,0,0,0,20,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/2[org.eclipse.acute.dotnettest.ISelection,java.lang.String]",false,61,7,1,0,1,7,13,29,1,4,2,13,1,1,1,1,1,2,0,0,6,0,4,0,0,1,23,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/2[org.eclipse.acute.dotnettest.IEditorPart,java.lang.String]",false,92,6,1,0,1,2,5,11,0,3,2,5,1,1,0,0,1,0,0,0,3,0,1,0,0,0,19,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewWizard.java,org.eclipse.acute.dotnetnew.DotnetNewWizard,DotnetNewWizard/0,true,61,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewWizard.java,org.eclipse.acute.dotnetnew.DotnetNewWizard,toResource/1[java.lang.Object],false,240,2,1,1,0,3,1,11,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewWizard.java,org.eclipse.acute.dotnetnew.DotnetNewWizard,toFile/1[org.eclipse.acute.dotnetnew.IResource],false,250,2,1,1,0,3,5,7,2,1,1,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewWizard.java,org.eclipse.acute.dotnetnew.DotnetNewWizard,addPages/0,false,102,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewWizard.java,org.eclipse.acute.dotnetnew.DotnetNewWizard,"init/2[org.eclipse.acute.dotnetnew.IWorkbench,org.eclipse.acute.dotnetnew.IStructuredSelection]",false,67,6,7,0,7,8,14,30,0,6,2,14,4,1,1,5,0,0,0,0,8,0,3,0,0,0,29,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewWizard.java,org.eclipse.acute.dotnetnew.DotnetNewWizard,"createProject/3[java.lang.String,java.io.File,org.eclipse.acute.dotnetnew.IProgressMonitor]",false,164,11,0,0,0,6,28,44,0,13,3,28,0,0,0,1,2,0,2,4,14,1,4,0,0,1,34,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewWizard.java,org.eclipse.acute.dotnetnew.DotnetNewWizard,performFinish/0,false,107,6,3,0,3,9,25,55,1,8,0,25,0,0,1,2,2,0,1,3,8,0,5,0,0,3,32,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewWizard.java,org.eclipse.acute.dotnetnew.DotnetNewWizard,getWorkingSets/1[org.eclipse.acute.dotnetnew.IResource],false,226,3,1,1,0,3,8,11,1,3,1,8,0,0,1,0,0,0,0,0,3,0,2,0,0,0,11,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewWizard.java,org.eclipse.acute.dotnetnew.DotnetNewWizard,newFolderLocation/0,false,215,1,1,1,0,2,6,10,1,3,0,6,0,0,1,0,0,0,2,1,4,1,1,0,0,0,9,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/OmnisharpStreamConnectionProvider.java,org.eclipse.acute.OmnisharpStreamConnectionProvider$Anonymous1,"read/3[byte[],int,int]",false,153,1,0,0,0,1,3,7,1,2,3,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/OmnisharpStreamConnectionProvider.java,org.eclipse.acute.OmnisharpStreamConnectionProvider$Anonymous1,read/1[byte[]],false,162,1,0,0,0,1,3,7,1,2,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/OmnisharpStreamConnectionProvider.java,org.eclipse.acute.OmnisharpStreamConnectionProvider$Anonymous1,read/0,false,146,0,0,0,0,1,2,5,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/LaunchableAdapterFactory.java,org.eclipse.acute.LaunchableAdapterFactory,getAdapterList/0,false,33,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/LaunchableAdapterFactory.java,org.eclipse.acute.LaunchableAdapterFactory,"getAdapter/2[java.lang.Object,java.lang.Class<T>]",false,25,4,1,0,1,3,5,7,2,1,2,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute.SWTBotTests/src/org/eclipse/acute/SWTBotTests/dotnetrun/TestRun.java,org.eclipse.acute.SWTBotTests.dotnetrun.TestRun,testDotnetRun/0,false,34,8,0,0,0,1,17,26,0,7,0,17,0,0,0,0,0,0,6,2,7,0,0,1,0,0,34,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestAccessor.java,org.eclipse.acute.dotnettest.DotnetTestAccessor,getTestMethods/1[java.io.File],false,39,1,1,0,1,17,23,66,6,13,1,23,0,0,2,6,3,3,8,3,17,1,5,0,0,0,59,9,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetexport/DotnetExportAccessor.java,org.eclipse.acute.dotnetexport.DotnetExportAccessor,getDefaultRuntime/0,false,23,1,2,1,1,4,8,19,3,5,0,8,0,0,1,1,2,1,8,0,5,1,4,0,0,0,22,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnetnew/DotnetNewAccessor.java,org.eclipse.acute.dotnetnew.DotnetNewAccessor,getTemplates/0,false,70,2,3,0,3,9,10,40,2,10,0,10,0,0,3,3,2,2,6,7,12,1,6,0,0,0,57,9,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/OmnisharpStreamConnectionProvider.java,org.eclipse.acute.OmnisharpStreamConnectionProvider$Anonymous2,write/1[byte[]],false,186,1,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/OmnisharpStreamConnectionProvider.java,org.eclipse.acute.OmnisharpStreamConnectionProvider$Anonymous2,"write/3[byte[],int,int]",false,192,1,0,0,0,1,3,6,0,1,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,0,false
