file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",projectLocation,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",projectConfiguration,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",projectFile,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",selectionClass,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",configuration,9
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",projectFramework,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",e,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",buildProject,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",launch,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aCute_2fe8fac07c37a05fc0abddbe3f80012872720241/org.eclipse.acute/src/org/eclipse/acute/dotnettest/DotnetTestDelegate.java,org.eclipse.acute.dotnettest.DotnetTestDelegate,"launch/4[org.eclipse.acute.dotnettest.ILaunchConfiguration,java.lang.String,org.eclipse.acute.dotnettest.ILaunch,org.eclipse.acute.dotnettest.IProgressMonitor]",monitor,0
