file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,bind/1[com.google.android.agera.rvadapter.View],updater,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,"CompiledLayoutPresenter/3[int,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>]",layoutId,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,"CompiledLayoutPresenter/3[int,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>]",recycler,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,"CompiledLayoutPresenter/3[int,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>]",updater,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,getLayoutResId/0,layoutId,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,recycle/1[com.google.android.agera.rvadapter.View],recycler,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,sendDiscardedValuesTo/1[com.google.android.agera.Receiver],CONFIG,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,sendDiscardedValuesTo/1[com.google.android.agera.Receiver],discardedValueDisposer,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,checkGoLazyUnused/0,goLazyUsed,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,endFlow/1[boolean],CONFIG,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,endFlow/1[boolean],expect,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,endFlow/1[boolean],directives,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,start/1[java.lang.Object],expect,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,start/1[java.lang.Object],FIRST_EVENT_SOURCE,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,start/1[java.lang.Object],NOTHING,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,start/1[java.lang.Object],initialValue,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,goTo/1[java.util.concurrent.Executor],directives,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,goTo/1[java.util.concurrent.Executor],FLOW,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"mergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",directives,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"mergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",FLOW,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,checkExpect/1[int],expect,1
