file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,bind/1[com.google.android.agera.rvadapter.View],false,101,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,"CompiledLayoutPresenter/3[int,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>]",true,89,4,1,1,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,getLayoutResId/0,false,96,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,recycle/1[com.google.android.agera.rvadapter.View],false,106,2,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,sendDiscardedValuesTo/1[com.google.android.agera.Receiver],false,408,4,2,0,2,1,2,5,1,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,21,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,checkGoLazyUnused/0,false,126,1,3,2,1,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,endFlow/1[boolean],false,257,1,6,5,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,start/1[java.lang.Object],false,111,2,3,2,1,1,1,6,1,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,23,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,thenSkip/0,false,227,2,1,0,1,1,1,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,goTo/1[java.util.concurrent.Executor],false,318,3,3,0,3,1,3,6,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,false
