file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,bind/1[com.google.android.agera.rvadapter.View],view,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,"CompiledLayoutPresenter/3[int,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>]",layoutId,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,"CompiledLayoutPresenter/3[int,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>]",recycler,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,"CompiledLayoutPresenter/3[int,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>,com.google.android.agera.Receiver<com.google.android.agera.rvadapter.View>]",updater,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/main/java/com/google/android/agera/rvadapter/LayoutPresenters.java,com.google.android.agera.rvadapter.LayoutPresenters$CompiledLayoutPresenter,recycle/1[com.google.android.agera.rvadapter.View],view,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,sendDiscardedValuesTo/1[com.google.android.agera.Receiver],disposer,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,endFlow/1[boolean],skip,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,start/1[java.lang.Object],initialValue,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,goTo/1[java.util.concurrent.Executor],executor,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"mergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",supplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"mergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",merger,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,checkExpect/1[int],accept,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"check/2[com.google.android.agera.Function,com.google.android.agera.Predicate]",predicate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"check/2[com.google.android.agera.Function,com.google.android.agera.Predicate]",function,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,check/1[com.google.android.agera.Predicate],predicate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,thenGetFrom/1[com.google.android.agera.Supplier],supplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"attemptMergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",attemptMerger,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"attemptMergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",supplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"thenAttemptMergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",attemptMerger,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"thenAttemptMergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",supplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,notifyIf/1[com.google.android.agera.Merger],notifyChecker,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,getFrom/1[com.google.android.agera.Supplier],supplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,attemptTransform/1[com.google.android.agera.Function],attemptFunction,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,terminate/1[com.google.android.agera.Function],valueFunction,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"checkExpect/2[int,int]",accept2,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"checkExpect/2[int,int]",accept1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,compileRepositoryAndReset/0,repository,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,recycle/1[com.google.android.agera.RepositoryCompiler],compiler,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,compileIntoRepositoryWithInitialValue/1[java.lang.Object],repository,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,compileIntoRepositoryWithInitialValue/1[java.lang.Object],value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,repositoryWithInitialValue/1[TVal],compiler,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,repositoryWithInitialValue/1[TVal],initialValue,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,thenAttemptGetFrom/1[com.google.android.agera.Supplier],attemptSupplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"thenMergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",supplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"thenMergeIn/2[com.google.android.agera.Supplier,com.google.android.agera.Merger]",merger,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,onDeactivation/1[int],deactivationConfig,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,onConcurrentUpdate/1[int],concurrentUpdateConfig,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,orEnd/1[com.google.android.agera.Function],valueFunction,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,observe/1[com.google.android.agera.Observable[]],observables,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,observe/1[com.google.android.agera.Observable[]],observable,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,attemptGetFrom/1[com.google.android.agera.Supplier],attemptSupplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"bindWith/2[com.google.android.agera.Supplier,com.google.android.agera.Binder]",secondValueSupplier,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,"bindWith/2[com.google.android.agera.Supplier,com.google.android.agera.Binder]",binder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,thenAttemptTransform/1[com.google.android.agera.Function],attemptFunction,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,onUpdatesPer/1[int],millis,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,sendTo/1[com.google.android.agera.Receiver],receiver,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,thenTransform/1[com.google.android.agera.Function],function,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,compile/0,repository,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/agera/src/main/java/com/google/android/agera/RepositoryCompiler.java,com.google.android.agera.RepositoryCompiler,transform/1[com.google.android.agera.Function],function,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/test/java/com/google/android/agera/rvadapter/RepositoryPresentersTest.java,com.google.android.agera.rvadapter.RepositoryPresentersTest,shouldReturnZeroForCountOfRepositoryPresenterOfFailedResult/0,resultRepositoryPresenter,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/agera_04045ccbf41ac5fc6806724127b33cbe0dda372c/extensions/rvadapter/src/test/java/com/google/android/agera/rvadapter/RepositoryPresentersTest.java,com.google.android.agera.rvadapter.RepositoryPresentersTest,shouldBindRepositoryPresenterOfCollection/0,repositoryPresenter,1
