file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/state/services/MetricsRetrievalService.java,org.apache.ambari.server.state.services.MetricsRetrievalService$MetricRunnable,innerclass,4,4,0,4,14,1,0,15,13,0.6666667,0.0,0.0,6,0,1,2,2,1,4,2,2,0,4,0,0,2,2,0,4,0,3,60,2,0,4,1,1,5,2,13,2,10,2,0,0,0,149,1034,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/controller/StackConfigurationResponse.java,org.apache.ambari.server.controller.StackConfigurationResponse,class,6,14,8,6,28,1,1,10,300,0.89285725,0.11640212,0.61904764,28,0,28,0,0,0,28,0,0,0,13,0,0,13,0,0,0,0,0,115,13,0,0,0,0,11,0,13,0,13,0,0,1,0,57,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/test/java/org/apache/ambari/server/orm/entities/BlueprintConfigEntityTest.java,org.apache.ambari.server.orm.entities.BlueprintConfigEntityTest,class,3,3,0,3,4,1,0,10,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,6,0,5,0,5,0,0,0,0,16,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/logging/ProfiledReentrantReadWriteLock.java,org.apache.ambari.server.logging.ProfiledReentrantReadWriteLock$ProfiledWriteLock,innerclass,3,3,0,3,11,2,0,14,0,0.45454544,0.8363636,1.0,11,0,10,0,0,1,11,0,0,0,2,0,0,2,0,0,2,0,0,50,7,0,0,0,0,0,0,8,0,8,0,0,0,0,32,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/orm/dao/KerberosKeytabPrincipalDAO.java,org.apache.ambari.server.orm.dao.KerberosKeytabPrincipalDAO$KerberosKeytabPrincipalFilter,innerclass,1,1,0,1,13,1,0,1,32,0.7083334,0.17777778,0.26666668,12,2,10,2,0,0,10,0,0,0,4,0,0,4,0,0,0,0,1,45,6,0,1,0,1,0,0,8,0,4,0,0,0,0,20,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/api/resources/StackServiceComponentResourceDefinition.java,org.apache.ambari.server.api.resources.StackServiceComponentResourceDefinition,class,2,3,1,2,4,2,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,14,3,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/api/predicate/QueryLexer.java,org.apache.ambari.server.api.predicate.QueryLexer,class,15,17,2,15,15,10,0,32,6,0.7636364,0.16666667,0.16666667,5,0,3,2,0,0,4,0,0,0,11,11,8,3,0,0,11,0,2,344,4,4,3,0,0,25,4,28,1,21,2,0,11,0,131,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/controller/utilities/DatabaseChecker.java,org.apache.ambari.server.controller.utilities.DatabaseChecker,class,23,24,1,23,45,1,0,48,0,0.4375,1.0,1.0,4,4,3,1,0,0,3,0,0,0,4,4,0,1,0,3,1,0,7,172,3,8,18,1,0,35,7,51,10,38,8,0,0,0,127,1,19
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/orm/dao/AlertsDAO.java,org.apache.ambari.server.orm.dao.AlertsDAO$CurrentPredicateVisitor,innerclass,4,4,0,4,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ambari_2bc4779a1e6aabe638101fc8b0e28cd1963d6b13/ambari-server/src/main/java/org/apache/ambari/server/security/SecurityFilter.java,org.apache.ambari.server.security.SecurityFilter,class,3,4,1,3,13,1,0,14,6,0.73333335,0.16666667,0.16666667,5,1,4,1,0,0,4,0,0,0,3,3,0,3,0,0,1,0,5,55,6,0,1,1,0,13,0,6,3,6,2,0,0,0,52,1,6
