file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/workspaceresolver/WorkspaceIvySettings.java,org.apache.ivyde.internal.eclipse.workspaceresolver.WorkspaceIvySettings,class,8,10,2,8,6,2,0,9,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,26,4,0,2,0,0,2,0,3,1,3,1,0,0,0,28,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/workspaceresolver/IvyDEStrategy.java,org.apache.ivyde.internal.eclipse.workspaceresolver.IvyDEStrategy$MridComparator,innerclass,2,2,0,2,19,1,0,10,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,48,10,1,0,0,0,15,10,13,0,9,2,0,0,0,22,16,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/eclipse/NopMessageLogger.java,org.apache.ivyde.eclipse.NopMessageLogger,class,2,4,2,2,19,1,0,1,171,1.0,0.0,0.0,19,0,19,0,0,0,19,0,0,0,1,1,1,0,0,0,1,0,3,45,4,0,0,0,0,0,0,1,0,1,0,0,0,0,34,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/IvyDEClasspathContainerDecorator.java,org.apache.ivyde.internal.eclipse.ui.IvyDEClasspathContainerDecorator,class,7,7,0,7,7,1,0,4,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,21,4,0,1,0,0,2,0,1,1,1,1,0,0,0,29,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/core/IvyFileEditorInput.java,org.apache.ivyde.internal.eclipse.ui.core.IvyFileEditorInput,class,9,13,4,9,14,1,0,12,22,0.3846154,0.35897437,0.35897437,13,0,13,0,0,0,13,0,0,0,1,0,0,1,0,0,1,0,0,47,13,0,0,0,1,3,0,2,1,2,1,0,0,0,34,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,class,42,61,19,42,25,3,0,73,36,0.8475935,0.5277778,1.0,17,0,9,8,0,0,9,0,0,0,22,0,0,22,0,0,5,0,3,324,3,1,4,0,1,18,5,31,3,32,3,13,1,0,145,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/ClasspathSetupTab.java,org.apache.ivyde.internal.eclipse.ui.ClasspathSetupTab,class,9,10,1,9,5,2,0,5,0,0.25,0.5,0.5,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,1,23,2,0,0,0,0,1,0,1,0,1,1,0,0,0,19,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/common/model/IvyBooleanTagAttribute.java,org.apache.ivyde.common.model.IvyBooleanTagAttribute,class,2,4,2,2,3,2,0,1,0,0.5,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,2,1,0,1,0,2,0,0,21,0,0,0,0,0,2,0,2,0,2,0,1,0,0,24,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/editors/IvySettingsEditor.java,org.apache.ivyde.internal.eclipse.ui.editors.IvySettingsEditor,class,18,19,1,18,19,2,0,33,35,0.77272725,0.18181819,0.18181819,11,0,8,0,2,1,11,0,0,0,2,1,1,1,0,0,1,0,1,90,1,1,3,1,3,3,3,10,0,8,2,2,0,0,100,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/console/ConsoleDocument.java,org.apache.ivyde.internal.eclipse.ui.console.ConsoleDocument,class,3,5,2,3,14,1,0,1,0,0.36,0.6,0.6,5,0,5,0,0,0,5,0,0,0,5,1,0,5,0,0,1,0,0,62,3,1,3,0,0,0,10,18,0,8,2,0,1,0,41,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/handlers/ResolveHandler.java,org.apache.ivyde.internal.eclipse.handlers.ResolveHandler,class,3,3,0,3,1,3,0,1,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,18,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/validator/IValidationReaction.java,org.apache.ivyde.internal.eclipse.validator.IValidationReaction,interface,0,9,9,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/AdvancedSetupTab.java,org.apache.ivyde.internal.eclipse.ui.AdvancedSetupTab,class,9,10,1,9,5,2,0,5,0,0.25,0.5,0.5,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,1,23,2,0,0,0,0,1,0,1,0,1,1,0,0,0,22,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/cpcontainer/IvyClasspathContainerMapper.java,org.apache.ivyde.internal.eclipse.cpcontainer.IvyClasspathContainerMapper$ArtifactMatcher,interface,1,1,0,1,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/editors/pages/IvyInfoSection.java,org.apache.ivyde.internal.eclipse.ui.editors.pages.IvyInfoSection,class,9,11,2,9,7,2,0,16,10,0.8,0.0,0.0,5,0,3,1,1,0,4,0,0,0,2,1,0,2,0,0,2,0,0,42,0,0,1,0,1,11,3,13,0,9,0,0,0,0,53,1,0
