file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/workspaceresolver/WorkspaceIvySettings.java,org.apache.ivyde.internal.eclipse.workspaceresolver.WorkspaceIvySettings,WorkspaceIvySettings/1[org.apache.ivyde.internal.eclipse.workspaceresolver.IProject],project,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/workspaceresolver/WorkspaceIvySettings.java,org.apache.ivyde.internal.eclipse.workspaceresolver.WorkspaceIvySettings,decorate/1[org.apache.ivyde.internal.eclipse.workspaceresolver.DependencyResolver],project,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/core/IvyFileEditorInput.java,org.apache.ivyde.internal.eclipse.ui.core.IvyFileEditorInput,getName/0,ivyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/core/IvyFileEditorInput.java,org.apache.ivyde.internal.eclipse.ui.core.IvyFileEditorInput,getPath/0,ivyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/core/IvyFileEditorInput.java,org.apache.ivyde.internal.eclipse.ui.core.IvyFileEditorInput,IvyFileEditorInput/1[org.apache.ivyde.internal.eclipse.ui.core.IFile],ivyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/core/IvyFileEditorInput.java,org.apache.ivyde.internal.eclipse.ui.core.IvyFileEditorInput,getStorage/0,ivyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/core/IvyFileEditorInput.java,org.apache.ivyde.internal.eclipse.ui.core.IvyFileEditorInput,toString/0,ivyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/core/IvyFileEditorInput.java,org.apache.ivyde.internal.eclipse.ui.core.IvyFileEditorInput,getFile/0,ivyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/core/IvyFileEditorInput.java,org.apache.ivyde.internal.eclipse.ui.core.IvyFileEditorInput,getToolTipText/0,ivyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse/src/java/org/apache/ivyde/internal/eclipse/ui/core/IvyFileEditorInput.java,org.apache.ivyde.internal.eclipse.ui.core.IvyFileEditorInput,exists/0,ivyFile,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,focusOnContainer/1[org.apache.ivyde.eclipse.cp.IvyClasspathContainer],forceHiddenFilter,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,focusOnContainer/1[org.apache.ivyde.eclipse.cp.IvyClasspathContainer],historyStack,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,focusOnContainer/1[org.apache.ivyde.eclipse.cp.IvyClasspathContainer],visualizationForm,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,focusOnContainer/1[org.apache.ivyde.eclipse.cp.IvyClasspathContainer],historyAction,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,focusOnContainer/1[org.apache.ivyde.eclipse.cp.IvyClasspathContainer],currentRoot,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,ResolveVisualizerView/0,contentProvider,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,ResolveVisualizerView/0,historyStack,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,ResolveVisualizerView/0,forceHiddenFilter,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,ResolveVisualizerView/0,forwardStack,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,setFocus/0,viewer,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,focusOn/1[org.apache.ivyde.eclipse.resolvevisualizer.model.IvyNodeElement],viewer,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,focusOn/1[org.apache.ivyde.eclipse.resolvevisualizer.model.IvyNodeElement],visualizationForm,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,focusOn/1[org.apache.ivyde.eclipse.resolvevisualizer.model.IvyNodeElement],focusOnSelectionAction,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,focusOn/1[org.apache.ivyde.eclipse.resolvevisualizer.model.IvyNodeElement],currentRoot,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,getContentProvider/0,contentProvider,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,getZoomableViewer/0,viewer,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,hookContextMenu/0,viewer,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,setAutoSelectDecorator/1[org.apache.ivyde.eclipse.resolvevisualizer.label.ILabelDecoratorAlgorithm],viewer,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,setAutoSelectDecorator/1[org.apache.ivyde.eclipse.resolvevisualizer.label.ILabelDecoratorAlgorithm],labelProvider,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant-ivyde_d7f55c6475627ad6a899e3fbb88eb49f572ba63b/org.apache.ivyde.eclipse.resolvevisualizer/src/org/apache/ivyde/eclipse/resolvevisualizer/ResolveVisualizerView.java,org.apache.ivyde.eclipse.resolvevisualizer.ResolveVisualizerView,createPartControl/1[org.apache.ivyde.eclipse.resolvevisualizer.Composite],contentProvider,1
