file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/tests/junit/org/apache/tools/ant/taskdefs/optional/script/ScriptDefTest.java,org.apache.tools.ant.taskdefs.optional.script.ScriptDefTest,class,10,10,0,10,14,1,0,18,0,0.30769232,1.0,1.0,13,0,13,0,0,0,13,0,0,0,2,0,2,0,0,0,0,0,21,86,0,0,0,0,0,40,0,17,4,17,1,0,0,0,83,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/taskdefs/optional/XSLTTraceSupport.java,org.apache.tools.ant.taskdefs.optional.XSLTTraceSupport,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/taskdefs/Mkdir.java,org.apache.tools.ant.taskdefs.Mkdir,class,3,4,1,3,11,2,0,8,0,0.5,1.0,1.0,4,0,3,1,0,0,3,0,0,0,2,1,0,2,0,0,1,0,1,44,5,0,1,1,0,8,1,3,4,3,3,0,0,0,86,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/taskdefs/optional/depend/constantpool/ConstantPoolEntry.java,org.apache.tools.ant.taskdefs.optional.depend.constantpool.ConstantPoolEntry,class,18,31,13,18,23,1,8,2,11,0.82706755,0.23809524,0.47619048,7,1,7,0,0,0,7,1,1,0,19,16,16,3,0,0,16,0,0,97,4,0,0,0,0,1,16,37,1,21,1,0,0,0,149,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/taskdefs/VerifyJar.java,org.apache.tools.ant.taskdefs.VerifyJar,class,11,12,1,11,19,5,0,27,0,0.6666667,0.16666667,0.16666667,5,0,2,1,2,0,4,0,0,0,6,3,2,4,0,0,3,0,0,123,0,1,6,2,0,10,0,18,4,14,2,0,2,0,145,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/tests/junit/org/apache/tools/ant/types/AddTypeTest.java,org.apache.tools.ant.types.AddTypeTest$MyValue,innerclass,0,0,0,0,2,1,0,0,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,1,0,2,0,1,0,0,0,0,10,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/taskdefs/optional/vss/MSVSSCHECKOUT.java,org.apache.tools.ant.taskdefs.optional.vss.MSVSSCHECKOUT,class,6,6,0,6,11,3,0,24,45,0.0,0.0,0.0,10,0,9,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,1,0,0,1,0,2,0,2,1,0,0,0,120,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/taskdefs/optional/junitlauncher/LauncherSupport.java,org.apache.tools.ant.taskdefs.optional.junitlauncher.LauncherSupport,class,23,26,3,23,71,2,0,102,32,0.6666667,0.33333334,0.33333334,13,0,2,10,0,1,3,0,0,0,3,0,0,3,0,0,2,0,22,465,19,5,14,11,2,27,3,58,6,56,5,0,5,2,269,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/taskdefs/optional/junit/JUnitTaskMirror.java,org.apache.tools.ant.taskdefs.optional.junit.JUnitTaskMirror$JUnitResultFormatterMirror,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/util/SplitClassLoader.java,org.apache.tools.ant.util.SplitClassLoader,class,4,5,1,4,9,3,0,9,1,0.33333334,0.0,0.0,3,0,1,1,1,0,2,0,0,1,1,0,0,1,0,0,1,0,0,30,5,1,1,0,0,0,1,4,2,3,2,0,0,0,50,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/types/FilterSet.java,org.apache.tools.ant.types.FilterSet$FiltersFile,innerclass,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/types/resources/First.java,org.apache.tools.ant.types.resources.First,class,4,4,0,4,1,6,0,6,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/taskdefs/optional/jlink/ClassNameReader.java,org.apache.tools.ant.taskdefs.optional.jlink.ConstantPool,class,1,2,1,1,14,1,0,7,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,1,0,0,0,3,1,0,0,47,0,1,0,0,0,0,13,25,0,17,2,0,0,0,56,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ant_9722f062dc68d6c321faf751621162ac8444c585/src/main/org/apache/tools/ant/taskdefs/optional/ejb/IPlanetEjbc.java,org.apache.tools.ant.taskdefs.optional.ejb.IPlanetEjbc$RedirectOutput,innerclass,0,0,0,0,4,2,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,17,0,1,1,1,1,0,0,3,0,3,2,0,0,0,50,10,0
