file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/activator/CxfJaxrsBundleActivator.java,org.apache.aries.jax.rs.whiteboard.activator.CxfJaxrsBundleActivator,registerSseEventSourceFactory/0,_log,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/activator/CxfJaxrsBundleActivator.java,org.apache.aries.jax.rs.whiteboard.activator.CxfJaxrsBundleActivator,"runWhiteboard/2[org.apache.aries.jax.rs.whiteboard.activator.BundleContext,java.util.Dictionary<java.lang.String,?>]",_log,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/activator/CxfJaxrsBundleActivator.java,org.apache.aries.jax.rs.whiteboard.activator.CxfJaxrsBundleActivator,start/1[org.apache.aries.jax.rs.whiteboard.activator.BundleContext],_defaultOSGiResult,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/activator/CxfJaxrsBundleActivator.java,org.apache.aries.jax.rs.whiteboard.activator.CxfJaxrsBundleActivator,start/1[org.apache.aries.jax.rs.whiteboard.activator.BundleContext],_log,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/activator/CxfJaxrsBundleActivator.java,org.apache.aries.jax.rs.whiteboard.activator.CxfJaxrsBundleActivator,registerClient/0,_log,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/activator/CxfJaxrsBundleActivator.java,org.apache.aries.jax.rs.whiteboard.activator.CxfJaxrsBundleActivator,stop/1[org.apache.aries.jax.rs.whiteboard.activator.BundleContext],_defaultOSGiResult,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/activator/CxfJaxrsBundleActivator.java,org.apache.aries.jax.rs.whiteboard.activator.CxfJaxrsBundleActivator,stop/1[org.apache.aries.jax.rs.whiteboard.activator.BundleContext],_log,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,cleanUp/0,authzConfig,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,cleanUp/0,reg,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,cleanUp/0,authcConfig,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,testRoleAuthPresent/0,realm,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,testRoleAuthWithRolePresent/0,realm,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,setupConfigs/0,authzConfig,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,setupConfigs/0,reg,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,setupConfigs/0,realm,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,setupConfigs/0,authcConfig,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,testGuestAuthPresent/0,realm,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/integrations/shiro/shiro-itest/src/main/java/test/ShiroTest.java,test.ShiroTest,testAuthenticatedAuthPresent/0,realm,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/AriesJaxrsServiceRuntime.java,org.apache.aries.jax.rs.whiteboard.internal.AriesJaxrsServiceRuntime$ApplicationRuntimeInformation,hashCode/0,_cachingServiceReference,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/AriesJaxrsServiceRuntime.java,org.apache.aries.jax.rs.whiteboard.internal.AriesJaxrsServiceRuntime$ApplicationRuntimeInformation,"ApplicationRuntimeInformation/2[org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<?>,org.apache.aries.jax.rs.whiteboard.internal.cxf.CxfJaxrsServiceRegistrator]",_cxfJaxRsServiceRegistrator,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/AriesJaxrsServiceRuntime.java,org.apache.aries.jax.rs.whiteboard.internal.AriesJaxrsServiceRuntime$ApplicationRuntimeInformation,"ApplicationRuntimeInformation/2[org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<?>,org.apache.aries.jax.rs.whiteboard.internal.cxf.CxfJaxrsServiceRegistrator]",_cachingServiceReference,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/AriesJaxrsServiceRuntime.java,org.apache.aries.jax.rs.whiteboard.internal.AriesJaxrsServiceRuntime$ApplicationRuntimeInformation,equals/1[java.lang.Object],_cachingServiceReference,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,start/1[org.apache.aries.jax.rs.whiteboard.internal.BundleContext],_configurationMap,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,start/1[org.apache.aries.jax.rs.whiteboard.internal.BundleContext],_runtimeReference,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,start/1[org.apache.aries.jax.rs.whiteboard.internal.BundleContext],_counter,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,start/1[org.apache.aries.jax.rs.whiteboard.internal.BundleContext],_program,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,start/1[org.apache.aries.jax.rs.whiteboard.internal.BundleContext],_runtimeRegistration,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,start/1[org.apache.aries.jax.rs.whiteboard.internal.BundleContext],_osgiResult,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,start/1[org.apache.aries.jax.rs.whiteboard.internal.BundleContext],_bundleContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,isApplication/1[org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<?>],_applicationsFilter,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,"waitForApplicationContext/3[org.apache.aries.jax.rs.whiteboard.internal.OSGi<org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<org.apache.aries.jax.rs.whiteboard.internal.Application>>,java.util.function.Consumer<org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<org.apache.aries.jax.rs.whiteboard.internal.Application>>,java.util.function.Consumer<org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<org.apache.aries.jax.rs.whiteboard.internal.Application>>]",_configurationMap,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,"waitForApplicationContext/3[org.apache.aries.jax.rs.whiteboard.internal.OSGi<org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<org.apache.aries.jax.rs.whiteboard.internal.Application>>,java.util.function.Consumer<org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<org.apache.aries.jax.rs.whiteboard.internal.Application>>,java.util.function.Consumer<org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<org.apache.aries.jax.rs.whiteboard.internal.Application>>]",_runtime,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jax-rs-whiteboard_73ef94bb74159e97bbe834c3e17a7eb3c34b7bf6/jax-rs.whiteboard/src/main/java/org/apache/aries/jax/rs/whiteboard/internal/Whiteboard.java,org.apache.aries.jax.rs.whiteboard.internal.Whiteboard,"safeRegisterEndpoint/3[org.apache.aries.jax.rs.whiteboard.internal.CachingServiceReference<T>,org.apache.aries.jax.rs.whiteboard.internal.utils.PropertyHolder,org.apache.aries.jax.rs.whiteboard.internal.cxf.CxfJaxrsServiceRegistrator]",_runtime,6
