file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,addTransformer/1[org.apache.aries.jpa.eclipselink.adapter.ClassTransformer],delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,"PersistenceUnitProxyWithTargetServer/3[org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitInfo,org.apache.aries.jpa.eclipselink.adapter.Bundle,java.util.Map<java.lang.String,java.lang.Object>]",delegate,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,"PersistenceUnitProxyWithTargetServer/3[org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitInfo,org.apache.aries.jpa.eclipselink.adapter.Bundle,java.util.Map<java.lang.String,java.lang.Object>]",unionClassLoader,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getMappingFileNames/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getSharedCacheMode/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getTransactionType/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getNewTempClassLoader/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getValidationMode/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getClassLoader/0,unionClassLoader,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getProperties/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getPersistenceProviderClassName/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getJarFileUrls/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getPersistenceXMLSchemaVersion/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,excludeUnlistedClasses/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getJtaDataSource/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getPersistenceUnitRootUrl/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getManagedClassNames/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getNonJtaDataSource/0,delegate,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aries-jpa_f8a04dfabbf0853af07926e4d8f8028b0d829bc8/jpa-container-eclipselink-adapter/src/main/java/org/apache/aries/jpa/eclipselink/adapter/PersistenceUnitProxyWithTargetServer.java,org.apache.aries.jpa.eclipselink.adapter.PersistenceUnitProxyWithTargetServer,getPersistenceUnitName/0,delegate,1
