file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/client/client-v2/src/main/java/org/apache/atlas/AtlasClientV2.java,org.apache.atlas.AtlasClientV2$API_V2,innerclass,3,3,0,3,1,2,0,0,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,32,32,32,0,0,0,32,0,0,37,0,0,0,0,0,11,0,32,13,32,0,0,0,0,26,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/intg/src/main/java/org/apache/atlas/type/AtlasArrayType.java,org.apache.atlas.type.AtlasArrayType,class,5,11,6,5,121,2,0,35,3,0.6869565,0.6052632,1.0,23,0,19,3,0,1,20,0,0,0,5,1,0,5,0,0,2,0,24,430,47,19,28,0,5,25,13,88,10,56,7,0,0,0,87,1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/webapp/src/main/java/org/apache/atlas/web/filters/AtlasCSRFPreventionFilter.java,org.apache.atlas.web.filters.AtlasCSRFPreventionFilter$ServletFilterHttpInteraction,innerclass,5,5,0,5,5,1,0,10,0,0.4,0.8,1.0,5,0,5,0,0,0,5,0,0,0,3,0,0,3,0,0,3,0,0,27,2,0,0,0,0,3,0,4,0,4,0,0,0,0,40,26,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/common/src/main/java/org/apache/atlas/groovy/LogicalExpression.java,org.apache.atlas.groovy.LogicalExpression,class,4,5,1,4,4,3,0,3,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,1,0,0,0,3,0,0,0,0,0,1,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/intg/src/main/java/org/apache/atlas/model/instance/AtlasEntity.java,org.apache.atlas.model.instance.AtlasEntity$AtlasEntityWithExtInfo,innerclass,9,9,0,9,18,2,0,12,0,0.55,0.8,0.8,10,0,10,0,0,0,10,0,0,0,2,1,0,2,0,0,1,0,2,58,7,0,7,0,0,4,1,7,0,4,2,0,0,0,42,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/addons/hive-bridge/src/main/java/org/apache/atlas/hive/hook/events/AlterTable.java,org.apache.atlas.hive.hook.events.AlterTable,class,6,8,2,6,4,3,1,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,1,0,0,0,0,3,0,2,1,0,0,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/webapp/src/test/java/org/apache/atlas/web/integration/BasicSearchIT.java,org.apache.atlas.web.integration.BasicSearchIT$Anonymous1,anonymous,0,0,0,0,1,1,0,2,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/repository/src/main/java/org/apache/atlas/query/antlr4/AtlasDSLParser.java,org.apache.atlas.query.antlr4.AtlasDSLParser$SpaceDelimitedQueriesContext,innerclass,6,6,0,6,6,2,0,4,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,1,0,0,0,0,0,1,0,0,0,28,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/intg/src/main/java/org/apache/atlas/utils/AtlasJson.java,org.apache.atlas.utils.AtlasJson$ReferenceableSerializer,innerclass,4,4,0,4,2,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,1,0,0,0,12,8,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/atlas_af1719a3472d1d436d0fc685fe9f88d8a754ef94/notification/src/main/java/org/apache/atlas/notification/NotificationConsumer.java,org.apache.atlas.notification.NotificationConsumer,interface,3,16,13,3,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,0
