file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/core/runtime/src/test/java/org/apache/polygene/regression/qi382/Qi382Test.java,org.apache.polygene.regression.qi382.Qi382Test,givenCreationOfTwoEntitiesWhenAssigningOneToOtherExpectCompletionToSucceed/0,FERRARI,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/core/runtime/src/test/java/org/apache/polygene/regression/qi382/Qi382Test.java,org.apache.polygene.regression.qi382.Qi382Test,givenCreationOfTwoEntitiesWhenAssigningOneToOtherExpectCompletionToSucceed/0,NICLAS,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/libraries/jmx/src/main/java/org/apache/polygene/library/jmx/ConfigurationManagerService.java,org.apache.polygene.library.jmx.ConfigurationManagerService$Mixin$EditableConfiguration,getAttribute/1[java.lang.String],identity,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/libraries/jmx/src/main/java/org/apache/polygene/library/jmx/ConfigurationManagerService.java,org.apache.polygene.library.jmx.ConfigurationManagerService$Mixin$EditableConfiguration,getAttribute/1[java.lang.String],propertyNames,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/libraries/jmx/src/main/java/org/apache/polygene/library/jmx/ConfigurationManagerService.java,org.apache.polygene.library.jmx.ConfigurationManagerService$Mixin$EditableConfiguration,getMBeanInfo/0,info,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/libraries/jmx/src/main/java/org/apache/polygene/library/jmx/ConfigurationManagerService.java,org.apache.polygene.library.jmx.ConfigurationManagerService$Mixin$EditableConfiguration,"EditableConfiguration/3[javax.management.MBeanInfo,java.lang.String,java.util.Map<java.lang.String,java.lang.reflect.AccessibleObject>]",identity,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/libraries/jmx/src/main/java/org/apache/polygene/library/jmx/ConfigurationManagerService.java,org.apache.polygene.library.jmx.ConfigurationManagerService$Mixin$EditableConfiguration,"EditableConfiguration/3[javax.management.MBeanInfo,java.lang.String,java.util.Map<java.lang.String,java.lang.reflect.AccessibleObject>]",propertyNames,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/libraries/jmx/src/main/java/org/apache/polygene/library/jmx/ConfigurationManagerService.java,org.apache.polygene.library.jmx.ConfigurationManagerService$Mixin$EditableConfiguration,"EditableConfiguration/3[javax.management.MBeanInfo,java.lang.String,java.util.Map<java.lang.String,java.lang.reflect.AccessibleObject>]",info,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/libraries/jmx/src/main/java/org/apache/polygene/library/jmx/ConfigurationManagerService.java,org.apache.polygene.library.jmx.ConfigurationManagerService$Mixin$EditableConfiguration,setAttribute/1[javax.management.Attribute],identity,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/attic-polygene-java_031beef870302a0bd01bd5895ce849e00f2d5d5b/libraries/jmx/src/main/java/org/apache/polygene/library/jmx/ConfigurationManagerService.java,org.apache.polygene.library.jmx.ConfigurationManagerService$Mixin$EditableConfiguration,setAttribute/1[javax.management.Attribute],propertyNames,1
