file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/elastictranscoder/src/main/java/aws/example/elastictranscoder/utils/SqsQueueNotificationWorker.java,com.amazonaws.services.elastictranscoder.samples.utils.SqsQueueNotificationWorker,removeHandler/1[com.amazonaws.services.elastictranscoder.samples.model.JobStatusNotificationHandler],false,70,1,0,0,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/elastictranscoder/src/main/java/aws/example/elastictranscoder/utils/SqsQueueNotificationWorker.java,com.amazonaws.services.elastictranscoder.samples.utils.SqsQueueNotificationWorker,run/0,false,77,6,2,0,2,6,13,23,0,3,0,13,1,1,3,1,1,0,1,0,3,1,5,0,0,0,45,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/elastictranscoder/src/main/java/aws/example/elastictranscoder/utils/SqsQueueNotificationWorker.java,com.amazonaws.services.elastictranscoder.samples.utils.SqsQueueNotificationWorker,"SqsQueueNotificationWorker/2[com.amazonaws.services.elastictranscoder.samples.utils.AmazonSQS,java.lang.String]",true,58,2,1,1,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/elastictranscoder/src/main/java/aws/example/elastictranscoder/utils/SqsQueueNotificationWorker.java,com.amazonaws.services.elastictranscoder.samples.utils.SqsQueueNotificationWorker,shutdown/0,false,118,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/elastictranscoder/src/main/java/aws/example/elastictranscoder/utils/SqsQueueNotificationWorker.java,com.amazonaws.services.elastictranscoder.samples.utils.SqsQueueNotificationWorker,addHandler/1[com.amazonaws.services.elastictranscoder.samples.model.JobStatusNotificationHandler],false,64,1,1,1,0,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/elastictranscoder/src/main/java/aws/example/elastictranscoder/utils/SqsQueueNotificationWorker.java,com.amazonaws.services.elastictranscoder.samples.utils.SqsQueueNotificationWorker,parseNotification/1[com.amazonaws.services.elastictranscoder.samples.utils.Message],false,113,4,2,1,1,1,3,6,1,1,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/javav2/example_code/iam/src/main/java/com/example/iam/AttachRolePolicy.java,com.example.iam.AttachRolePolicy,main/1[java.lang.String[]],false,41,6,0,0,0,6,20,38,1,12,1,20,0,0,1,2,0,0,5,4,14,3,2,0,0,1,51,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/s3/src/main/java/CopyObjectSingleOperation.java,CopyObjectSingleOperation,main/1[java.lang.String[]],false,37,3,0,0,0,3,6,17,0,6,1,6,0,0,0,0,1,0,4,0,6,0,1,0,0,0,34,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/javav2/example_code/iam/src/main/java/com/example/iam/CreateAccountAlias.java,com.example.iam.CreateAccountAlias,main/1[java.lang.String[]],false,36,4,0,0,0,2,7,13,0,6,1,7,0,0,0,1,0,0,3,3,6,2,1,0,0,0,25,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/iam/src/main/java/aws/example/iam/DetachRolePolicy.java,aws.example.iam.DetachRolePolicy,main/1[java.lang.String[]],false,33,3,0,0,0,2,6,13,0,6,1,6,0,0,0,1,0,0,4,4,6,2,1,0,0,0,28,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/datamodeling/DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,getId/0,false,369,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/datamodeling/DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,setId/1[java.lang.String],false,373,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/datamodeling/DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,getPostedBy/0,false,397,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/datamodeling/DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,setPostedBy/1[java.lang.String],false,401,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/datamodeling/DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,getMessage/0,false,388,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/datamodeling/DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,getReplyDateTime/0,false,379,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/datamodeling/DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,setMessage/1[java.lang.String],false,392,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/datamodeling/DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,setReplyDateTime/1[java.lang.String],false,383,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/gsg/MoviesCreateTable.java,com.amazonaws.codesamples.gsg.MoviesCreateTable,main/1[java.lang.String[]],false,44,7,0,0,0,2,11,15,0,4,1,11,0,0,0,0,1,0,10,2,4,1,1,0,0,0,24,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/s3/src/main/java/RestoreArchivedObject.java,RestoreArchivedObject,main/1[java.lang.String[]],false,38,4,0,0,0,4,9,19,0,7,1,9,0,0,0,0,1,0,6,1,7,0,1,0,0,0,37,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/ec2/src/main/java/aws/example/ec2/CreateSecurityGroup.java,aws.example.ec2.CreateSecurityGroup,main/1[java.lang.String[]],false,39,7,0,0,0,2,15,20,0,12,1,15,0,0,0,1,0,0,7,9,12,1,1,0,0,0,45,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/lowlevel/LowLevelQuery.java,com.amazonaws.codesamples.lowlevel.LowLevelQuery,main/1[java.lang.String[]],false,46,1,5,0,5,1,5,9,0,2,1,5,5,6,0,0,0,0,2,0,2,0,0,0,0,0,27,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/lowlevel/LowLevelQuery.java,com.amazonaws.codesamples.lowlevel.LowLevelQuery,"findRepliesInLast15DaysWithConfig/2[java.lang.String,java.lang.String]",false,92,5,3,1,2,2,15,15,0,8,2,15,2,1,1,0,0,2,3,5,8,2,1,0,0,0,43,10,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/lowlevel/LowLevelQuery.java,com.amazonaws.codesamples.lowlevel.LowLevelQuery,"findRepliesPostedWithinTimePeriod/2[java.lang.String,java.lang.String]",false,116,5,3,1,2,2,14,15,0,9,2,14,2,1,1,0,0,4,3,10,9,4,1,0,0,0,39,10,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/lowlevel/LowLevelQuery.java,com.amazonaws.codesamples.lowlevel.LowLevelQuery,"findRepliesUsingAFilterExpression/2[java.lang.String,java.lang.String]",false,139,5,3,1,2,2,11,10,0,4,2,11,2,1,1,0,0,0,4,0,4,0,1,0,0,0,27,10,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/lowlevel/LowLevelQuery.java,com.amazonaws.codesamples.lowlevel.LowLevelQuery,"printItem/1[java.util.Map<java.lang.String,com.amazonaws.codesamples.lowlevel.AttributeValue>]",false,156,1,5,5,0,8,10,7,0,2,1,10,0,0,1,6,0,6,19,0,2,7,1,0,0,0,10,10,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-doc-sdk-examples_0f9bfb8105a92c04550b49d2ebfc582315fd4a01/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/lowlevel/LowLevelQuery.java,com.amazonaws.codesamples.lowlevel.LowLevelQuery,"makeReplyKeyConditions/2[java.lang.String,java.lang.String]",false,174,2,4,4,0,1,4,7,1,3,2,4,0,0,0,0,0,0,2,0,3,1,0,0,0,0,32,10,0,true
