file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/test/java/org/springframework/build/aws/maven/TransferProgressFileInputStreamTest.java,org.springframework.build.aws.maven.TransferProgressFileInputStreamTest,readyByteArrayOffsetLength/0,false,76,4,3,0,3,1,6,8,0,3,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,13,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/test/java/org/springframework/build/aws/maven/TransferProgressFileInputStreamTest.java,org.springframework.build.aws.maven.TransferProgressFileInputStreamTest,readByteArray/0,false,59,4,3,0,3,1,5,6,0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/test/java/org/springframework/build/aws/maven/TransferProgressFileInputStreamTest.java,org.springframework.build.aws.maven.TransferProgressFileInputStreamTest,readyByteArrayLength/0,false,67,4,3,0,3,1,5,6,0,2,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,11,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/test/java/org/springframework/build/aws/maven/TransferProgressFileInputStreamTest.java,org.springframework.build.aws.maven.TransferProgressFileInputStreamTest,TransferProgressFileInputStreamTest/0,true,41,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/test/java/org/springframework/build/aws/maven/TransferProgressFileInputStreamTest.java,org.springframework.build.aws.maven.TransferProgressFileInputStreamTest,read/0,false,52,4,3,0,3,1,5,5,0,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/test/java/org/springframework/build/aws/maven/TransferProgressFileInputStreamTest.java,org.springframework.build.aws.maven.TransferProgressFileInputStreamTest,closeStream/0,false,47,2,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/StandardTransferListenerSupport.java,org.springframework.build.aws.maven.StandardTransferListenerSupport,removeTransferListener/1[org.springframework.build.aws.maven.TransferListener],false,45,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/StandardTransferListenerSupport.java,org.springframework.build.aws.maven.StandardTransferListenerSupport,"fireTransferCompleted/2[org.springframework.build.aws.maven.Resource,int]",false,79,2,0,0,0,2,1,6,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/StandardTransferListenerSupport.java,org.springframework.build.aws.maven.StandardTransferListenerSupport,StandardTransferListenerSupport/1[org.springframework.build.aws.maven.Wagon],true,33,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/StandardTransferListenerSupport.java,org.springframework.build.aws.maven.StandardTransferListenerSupport,"fireTransferInitiated/2[org.springframework.build.aws.maven.Resource,int]",false,55,2,0,0,0,2,1,6,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/StandardTransferListenerSupport.java,org.springframework.build.aws.maven.StandardTransferListenerSupport,addTransferListener/1[org.springframework.build.aws.maven.TransferListener],false,38,1,0,0,0,2,1,5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/StandardTransferListenerSupport.java,org.springframework.build.aws.maven.StandardTransferListenerSupport,"fireTransferProgress/4[org.springframework.build.aws.maven.Resource,int,byte[],int]",false,71,3,0,0,0,2,1,6,0,1,4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,9,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/StandardTransferListenerSupport.java,org.springframework.build.aws.maven.StandardTransferListenerSupport,"fireTransferError/3[org.springframework.build.aws.maven.Resource,int,java.lang.Exception]",false,87,2,0,0,0,2,1,6,0,1,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,9,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/StandardTransferListenerSupport.java,org.springframework.build.aws.maven.StandardTransferListenerSupport,hasTransferListener/1[org.springframework.build.aws.maven.TransferListener],false,50,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/StandardTransferListenerSupport.java,org.springframework.build.aws.maven.StandardTransferListenerSupport,"fireTransferStarted/2[org.springframework.build.aws.maven.Resource,int]",false,63,2,0,0,0,2,1,6,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/AuthenticationInfoAWSCredentials.java,org.springframework.build.aws.maven.AuthenticationInfoAWSCredentials,AuthenticationInfoAWSCredentials/1[org.springframework.build.aws.maven.AuthenticationInfo],true,26,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/AuthenticationInfoAWSCredentials.java,org.springframework.build.aws.maven.AuthenticationInfoAWSCredentials,getAWSSecretKey/0,false,36,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/AuthenticationInfoAWSCredentials.java,org.springframework.build.aws.maven.AuthenticationInfoAWSCredentials,getAWSAccessKeyId/0,false,31,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/aws-maven_ce6a4ffbd8a59029ebe147124ac2d7ff1a7afd18/src/main/java/org/springframework/build/aws/maven/NullProtectingProxyInfoProvider.java,org.springframework.build.aws.maven.NullProtectingProxyInfoProvider,getProxyInfo/1[java.lang.String],false,31,1,4,4,0,4,2,8,2,0,1,2,0,0,0,2,0,2,0,0,0,0,1,0,0,0,5,1,0,false
