file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin/src/com/microsoft/alm/plugin/external/exceptions/WorkspaceAlreadyExistsException.java,com.microsoft.alm.plugin.external.exceptions.WorkspaceAlreadyExistsException,WorkspaceAlreadyExistsException/1[java.lang.String],true,12,0,1,1,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin/src/com/microsoft/alm/plugin/external/exceptions/WorkspaceAlreadyExistsException.java,com.microsoft.alm.plugin.external.exceptions.WorkspaceAlreadyExistsException,getMessageParameters/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/src/org/jetbrains/tfsIntegration/core/tfs/workitems/WorkItemField.java,org.jetbrains.tfsIntegration.core.tfs.workitems.WorkItemField,WorkItemField/1[java.lang.String],true,45,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/src/org/jetbrains/tfsIntegration/core/tfs/workitems/WorkItemField.java,org.jetbrains.tfsIntegration.core.tfs.workitems.WorkItemField,getSerialized/0,false,49,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/multiple/TestMultipleConflicts.java,org.jetbrains.tfsIntegration.tests.conflicts.multiple.TestMultipleConflicts$ContentMergerImpl,"mergeContent/6[org.jetbrains.tfsIntegration.tests.conflicts.multiple.Conflict,org.jetbrains.tfsIntegration.tests.conflicts.multiple.ContentTriplet,org.jetbrains.tfsIntegration.tests.conflicts.multiple.Project,org.jetbrains.tfsIntegration.tests.conflicts.multiple.VirtualFile,java.lang.String,org.jetbrains.tfsIntegration.tests.conflicts.multiple.VcsRevisionNumber]",false,187,7,5,0,5,1,9,8,1,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/multiple/TestMultipleConflicts.java,org.jetbrains.tfsIntegration.tests.conflicts.multiple.TestMultipleConflicts$ContentMergerImpl,"ContentMergerImpl/1[java.util.Map<java.lang.Integer,org.jetbrains.tfsIntegration.tests.conflicts.multiple.TestMultipleConflicts.ConflictingItem>]",true,177,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin.idea/src/com/microsoft/alm/plugin/idea/common/ui/workitem/VcsWorkItemsController.java,com.microsoft.alm.plugin.idea.common.ui.workitem.VcsWorkItemsController,VcsWorkItemsController/1[com.microsoft.alm.plugin.idea.common.ui.workitem.Project],true,23,6,5,2,3,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin.idea/src/com/microsoft/alm/plugin/idea/common/ui/workitem/VcsWorkItemsController.java,com.microsoft.alm.plugin.idea.common.ui.workitem.VcsWorkItemsController,"update/2[java.util.Observable,java.lang.Object]",false,45,2,2,0,2,2,4,6,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin.idea/src/com/microsoft/alm/plugin/idea/common/ui/workitem/VcsWorkItemsController.java,com.microsoft.alm.plugin.idea.common.ui.workitem.VcsWorkItemsController,performAction/1[java.awt.event.ActionEvent],false,29,2,3,0,3,4,6,14,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,preparePaths/0,false,42,1,1,0,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,prepareTargetRevision/0,false,51,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,canMerge/0,false,38,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,getExpectedTheirsContent/0,false,121,1,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,testAcceptYours/0,false,127,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,mergeContent/0,false,103,1,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,getExpectedYoursContent/0,false,115,1,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,prepareBaseRevision/0,false,47,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,mergeName/0,false,97,1,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,checkConflictProperties/1[org.jetbrains.tfsIntegration.tests.conflicts.Conflict],false,85,3,3,0,3,1,14,10,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,getExpectedBaseContent/0,false,109,1,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,checkResolvedTheirsState/0,false,74,2,3,0,3,1,3,5,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,testAcceptTheirs/0,false,132,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,testAcceptMerge/0,false,137,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,checkResolvedYoursState/0,false,67,2,4,0,4,1,4,5,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,makeLocalChanges/0,false,55,1,3,0,3,2,5,9,0,0,0,5,0,0,0,0,1,0,2,0,0,0,1,0,0,0,16,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/tfsIntegration/tests/org/jetbrains/tfsIntegration/tests/conflicts/TestFolderYoursDeletedTheirsRenamed.java,org.jetbrains.tfsIntegration.tests.conflicts.TestFolderYoursDeletedTheirsRenamed,checkResolvedMergeState/0,false,81,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin.idea/src/com/microsoft/alm/plugin/idea/tfvc/core/TFSCheckinEnvironment.java,com.microsoft.alm.plugin.idea.tfvc.core.TFSCheckinEnvironment$Anonymous2,run/0,false,231,1,191,0,191,1,6,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin.idea/src/com/microsoft/alm/plugin/idea/tfvc/core/TFSCheckinEnvironment.java,com.microsoft.alm.plugin.idea.tfvc.core.TFSCheckinEnvironment$Anonymous1,"hyperlinkUpdate/2[com.microsoft.alm.plugin.idea.tfvc.core.Notification,javax.swing.event.HyperlinkEvent]",false,204,2,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin/src/com/microsoft/alm/plugin/events/ServerEvent.java,com.microsoft.alm.plugin.events.ServerEvent,getEventId/0,false,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin/src/com/microsoft/alm/plugin/events/ServerEvent.java,com.microsoft.alm.plugin.events.ServerEvent,ServerEvent/1[int],true,15,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin.idea/src/com/microsoft/alm/plugin/idea/common/ui/settings/TeamServicesSettingsModel.java,com.microsoft.alm.plugin.idea.common.ui.settings.TeamServicesSettingsModel,loadSettings/0,false,60,1,4,2,2,1,2,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-devops-intellij_d18eccf7a391fd5f2591bfed2458c28e907435da/plugin.idea/src/com/microsoft/alm/plugin/idea/common/ui/settings/TeamServicesSettingsModel.java,com.microsoft.alm.plugin.idea.common.ui.settings.TeamServicesSettingsModel,populateContextTable/0,false,77,3,11,4,7,9,17,29,0,5,0,17,0,0,1,4,0,0,0,0,6,0,2,0,0,0,26,2,0,true
