file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/azuretools-core/src/com/microsoft/azuretools/core/mvp/model/rediscache/RedisConnectionPools.java,com.microsoft.azuretools.core.mvp.model.rediscache.RedisConnectionPools,class,6,11,5,6,10,1,0,18,0,0.6,0.33333334,0.33333334,5,1,3,2,0,0,3,0,0,2,4,3,0,4,0,0,3,0,1,44,2,0,4,0,0,1,2,10,0,10,2,0,1,0,53,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/hdinsight-node-common/src/com/microsoft/azure/cosmosspark/serverexplore/cosmossparknode/CosmosSparkClusterOps.java,com.microsoft.azure.cosmosspark.serverexplore.cosmossparknode.CosmosSparkClusterOps,class,5,8,3,5,9,1,0,1,22,0.7916666,0.0,0.0,9,1,8,1,0,0,8,0,0,0,8,1,0,8,0,0,7,0,0,43,8,0,0,0,0,0,0,8,0,8,0,0,0,0,23,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/rest/azure/datalake/analytics/job/models/JobStatisticsVertexStage.java,com.microsoft.azure.hdinsight.sdk.rest.azure.datalake.analytics.job.models.JobStatisticsVertexStage,class,4,6,2,4,39,1,0,0,727,0.96875006,0.009446694,0.009446694,39,0,39,0,0,0,39,0,0,0,32,0,0,32,0,0,0,0,0,158,39,0,0,0,0,32,0,7,0,32,0,0,0,0,107,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/AzureAuthenticationFilter/src/main/java/com/microsoft/azure/oidc/application/settings/ApplicationSettings.java,com.microsoft.azure.oidc.application.settings.ApplicationSettings,interface,5,13,8,5,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/azure/cosmosspark/serverexplore/ui/CosmosSparkClusterMonitorDialog.java,com.microsoft.azure.cosmosspark.serverexplore.ui.CosmosSparkClusterMonitorDialog$Anonymous1,anonymous,0,0,0,0,3,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,1,0,2,1,0,0,2,10,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/AzureAuthenticationFilter/src/main/java/com/microsoft/azure/oidc/token/TokenFactory.java,com.microsoft.azure.oidc.token.TokenFactory,interface,9,11,2,9,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/AzureAuthenticationFilter/src/main/java/com/microsoft/azure/oidc/filter/configuration/algorithm/AlgorithmConfigurationService.java,com.microsoft.azure.oidc.filter.configuration.algorithm.AlgorithmConfigurationService,interface,2,5,3,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/PluginsAndFeatures/azure-toolkit-for-eclipse/com.microsoft.azuretools.docker/src/com/microsoft/azuretools/docker/ui/wizards/publish/AzureSelectDockerHostPage.java,com.microsoft.azuretools.docker.ui.wizards.publish.AzureSelectDockerHostPage$DockerHostsTableSelection,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,2,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/PluginsAndFeatures/azure-toolkit-for-eclipse/com.microsoft.azuretools.docker/src/com/microsoft/azuretools/docker/ui/wizards/createhost/AzureNewDockerWizard.java,com.microsoft.azuretools.docker.ui.wizards.createhost.AzureNewDockerWizard,class,14,21,7,14,16,2,0,22,52,0.81318676,0.16666667,0.43939394,13,0,12,1,0,0,12,0,0,0,7,1,0,7,0,0,1,0,1,185,9,0,3,0,0,6,1,19,1,13,1,1,0,0,76,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/common/AzureDataLakeHttpObservable.java,com.microsoft.azure.hdinsight.sdk.common.AzureDataLakeHttpObservable,class,2,4,2,2,3,4,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,1,0,0,1,0,1,0,1,0,0,0,0,12,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/cluster/ClusterOperationImpl.java,com.microsoft.azure.hdinsight.sdk.cluster.ClusterOperationImpl$Anonymous4$Anonymous5,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/intellij/util/MavenRunTaskUtil.java,com.microsoft.intellij.util.MavenRunTaskUtil,class,11,23,12,11,21,1,0,32,26,0.75,0.0,0.0,8,8,7,1,0,0,7,0,0,0,1,1,0,1,0,0,1,0,2,67,8,1,4,0,3,5,5,14,6,12,3,0,0,0,58,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/azuretools-core/src/com/microsoft/azuretools/authmanage/DCAuthManager.java,com.microsoft.azuretools.authmanage.DCAuthManager$LazyLoader,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/azure/hdinsight/projects/SparkVersionOptionsPanel.java,com.microsoft.azure.hdinsight.projects.SparkVersionOptionsPanel,class,3,6,3,3,9,5,0,20,0,0.5,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,41,1,2,2,0,0,1,3,8,0,7,2,0,0,1,37,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/sdk/rest/azure/datalake/analytics/accounts/models/UpdateFirewallRuleParameters.java,com.microsoft.azure.hdinsight.sdk.rest.azure.datalake.analytics.accounts.models.UpdateFirewallRuleParameters$Properties,innerclass,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,27,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/PluginsAndFeatures/azure-toolkit-for-intellij/src/com/microsoft/intellij/helpers/tasks/CancellableTaskHandleImpl.java,com.microsoft.intellij.helpers.tasks.CancellableTaskHandleImpl,class,5,10,5,5,8,1,0,5,3,0.5,0.42857143,0.42857143,7,0,7,0,0,0,7,0,0,0,2,0,0,2,0,0,0,0,0,25,4,0,1,0,0,0,0,2,0,2,0,0,0,0,18,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/azure-explorer-common/src/com/microsoft/tooling/msservices/serviceexplorer/azure/webapp/WebAppPropertyViewPresenter.java,com.microsoft.tooling.msservices.serviceexplorer.azure.webapp.WebAppPropertyViewPresenter,class,4,4,0,4,3,3,0,4,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/azuretools-core/src/com/microsoft/azuretools/adauth/UriUtils.java,com.microsoft.azuretools.adauth.UriUtils,class,1,5,4,1,7,1,0,17,6,0.0,0.0,0.0,4,4,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,6,29,4,2,0,0,0,6,3,6,1,6,2,0,0,0,27,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/azure-explorer-common/src/com/microsoft/azure/docker/model/DockerImage.java,com.microsoft.azure.docker.model.DockerImage,class,2,7,5,2,3,1,0,0,1,0.85,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,20,0,20,0,0,0,0,0,0,37,0,0,0,0,0,0,0,9,0,20,0,0,0,0,36,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/hdinsight-node-common/src/com/microsoft/azure/hdinsight/common/HDIEnvironment.java,com.microsoft.azure.hdinsight.common.HDIEnvironment$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/azure-explorer-common/src/com/microsoft/tooling/msservices/helpers/azure/rest/RestServiceManager.java,com.microsoft.tooling.msservices.helpers.azure.rest.RestServiceManager$ContentType,enum,1,1,0,1,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,3,0,1,0,1,0,0,0,0,9,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/PluginsAndFeatures/azure-toolkit-for-eclipse/com.microsoft.azuretools.azureexplorer/src/com/microsoft/azuretools/azureexplorer/forms/AddNewClusterForm.java,com.microsoft.azuretools.azureexplorer.forms.AddNewClusterForm,class,18,21,3,18,6,3,0,47,3,0.51515156,0.4,0.4,6,0,3,1,2,0,5,0,0,0,11,0,0,11,0,0,0,0,1,177,1,0,0,0,0,16,12,71,1,20,1,3,0,1,99,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/azure-tools-for-java_d121e8ac9cc3ab400e5b49c8b372280ae332f3fb/Utils/azuretools-core/src/com/microsoft/azuretools/azurecommons/rediscacheprocessors/StdWithExistResGrp.java,com.microsoft.azuretools.azurecommons.rediscacheprocessors.StdWithExistResGrp,class,6,9,3,6,4,3,0,9,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,1,0,1,0,1,0,0,0,0,31,1,0
