file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduColumnInfo.java,org.apache.flink.streaming.connectors.kudu.connector.KuduColumnInfo$Encoding,Encoding/1[ColumnSchema.Encoding],encode,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduRowIterator.java,org.apache.flink.streaming.connectors.kudu.connector.KuduRowIterator,hasNext/0,scanner,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduRowIterator.java,org.apache.flink.streaming.connectors.kudu.connector.KuduRowIterator,hasNext/0,rowIterator,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduRowIterator.java,org.apache.flink.streaming.connectors.kudu.connector.KuduRowIterator,KuduRowIterator/1[org.apache.flink.streaming.connectors.kudu.connector.KuduScanner],scanner,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduRowIterator.java,org.apache.flink.streaming.connectors.kudu.connector.KuduRowIterator,close/0,scanner,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduRowIterator.java,org.apache.flink.streaming.connectors.kudu.connector.KuduRowIterator,next/0,rowIterator,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduRowIterator.java,org.apache.flink.streaming.connectors.kudu.connector.KuduRowIterator,nextRows/0,scanner,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduRowIterator.java,org.apache.flink.streaming.connectors.kudu.connector.KuduRowIterator,nextRows/0,rowIterator,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/SiddhiStream.java,org.apache.flink.streaming.siddhi.SiddhiStream,getCepEnvironment/0,cepEnvironment,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/SiddhiStream.java,org.apache.flink.streaming.siddhi.SiddhiStream,SiddhiStream/1[org.apache.flink.streaming.siddhi.SiddhiCEP],cepEnvironment,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-activemq/src/test/java/org/apache/flink/streaming/connectors/activemq/ActiveMQConnectorITCase.java,org.apache.flink.streaming.connectors.activemq.ActiveMQConnectorITCase$Anonymous2,"invoke/2[java.lang.String,org.apache.flink.streaming.connectors.activemq.Context]",set,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduFilterInfo.java,org.apache.flink.streaming.connectors.kudu.connector.KuduFilterInfo,toPredicate/1[org.apache.flink.streaming.connectors.kudu.connector.ColumnSchema],column,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduFilterInfo.java,org.apache.flink.streaming.connectors.kudu.connector.KuduFilterInfo,toPredicate/1[org.apache.flink.streaming.connectors.kudu.connector.ColumnSchema],type,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduFilterInfo.java,org.apache.flink.streaming.connectors.kudu.connector.KuduFilterInfo,toPredicate/1[org.apache.flink.streaming.connectors.kudu.connector.ColumnSchema],value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduFilterInfo.java,org.apache.flink.streaming.connectors.kudu.connector.KuduFilterInfo,toPredicate/1[org.apache.flink.streaming.connectors.kudu.connector.Schema],column,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduFilterInfo.java,org.apache.flink.streaming.connectors.kudu.connector.KuduFilterInfo,predicateComparator/1[org.apache.flink.streaming.connectors.kudu.connector.ColumnSchema],column,13
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduFilterInfo.java,org.apache.flink.streaming.connectors.kudu.connector.KuduFilterInfo,predicateComparator/1[org.apache.flink.streaming.connectors.kudu.connector.ColumnSchema],type,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduFilterInfo.java,org.apache.flink.streaming.connectors.kudu.connector.KuduFilterInfo,predicateComparator/1[org.apache.flink.streaming.connectors.kudu.connector.ColumnSchema],value,10
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,setPort/1[int],port,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,setMinIdle/1[int],minIdle,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,setHost/1[java.lang.String],host,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,setDatabase/1[int],database,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,build/0,password,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,build/0,database,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,build/0,minIdle,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,build/0,maxIdle,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,build/0,port,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,build/0,maxTotal,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,build/0,host,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,build/0,timeout,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,setMaxTotal/1[int],maxTotal,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-redis/src/main/java/org/apache/flink/streaming/connectors/redis/common/config/FlinkJedisPoolConfig.java,org.apache.flink.streaming.connectors.redis.common.config.FlinkJedisPoolConfig$Builder,setMaxIdle/1[int],maxIdle,4
