file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduColumnInfo.java,org.apache.flink.streaming.connectors.kudu.connector.KuduColumnInfo$Encoding,Encoding/1[ColumnSchema.Encoding],encode,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/serde/KuduSerialization.java,org.apache.flink.streaming.connectors.kudu.serde.KuduSerialization,serialize/1[T],value,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/serde/KuduSerialization.java,org.apache.flink.streaming.connectors.kudu.serde.KuduSerialization,withSchema/1[org.apache.flink.streaming.connectors.kudu.serde.Schema],schema,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-flume/src/main/java/org/apache/flink/streaming/connectors/flume/FlumeEventBuilder.java,org.apache.flink.streaming.connectors.flume.FlumeEventBuilder,"createFlumeEvent/2[IN,org.apache.flink.streaming.connectors.flume.RuntimeContext]",ctx,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-flume/src/main/java/org/apache/flink/streaming/connectors/flume/FlumeEventBuilder.java,org.apache.flink.streaming.connectors.flume.FlumeEventBuilder,"createFlumeEvent/2[IN,org.apache.flink.streaming.connectors.flume.RuntimeContext]",value,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduRowIterator.java,org.apache.flink.streaming.connectors.kudu.connector.KuduRowIterator,KuduRowIterator/1[org.apache.flink.streaming.connectors.kudu.connector.KuduScanner],scanner,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-connector-kudu/src/main/java/org/apache/flink/streaming/connectors/kudu/connector/KuduRowIterator.java,org.apache.flink.streaming.connectors.kudu.connector.KuduRowIterator,next/0,row,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/operator/StreamRecordComparator.java,org.apache.flink.streaming.siddhi.operator.StreamRecordComparator,"compare/2[org.apache.flink.streaming.siddhi.operator.StreamRecord<IN>,org.apache.flink.streaming.siddhi.operator.StreamRecord<IN>]",o1,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/operator/StreamRecordComparator.java,org.apache.flink.streaming.siddhi.operator.StreamRecordComparator,"compare/2[org.apache.flink.streaming.siddhi.operator.StreamRecord<IN>,org.apache.flink.streaming.siddhi.operator.StreamRecord<IN>]",o2,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/SiddhiStream.java,org.apache.flink.streaming.siddhi.SiddhiStream,"convertDataStream/2[org.apache.flink.streaming.siddhi.DataStream<T>,java.lang.String]",streamId,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/SiddhiStream.java,org.apache.flink.streaming.siddhi.SiddhiStream,"convertDataStream/2[org.apache.flink.streaming.siddhi.DataStream<T>,java.lang.String]",keySelectorInClosure,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/SiddhiStream.java,org.apache.flink.streaming.siddhi.SiddhiStream,"convertDataStream/2[org.apache.flink.streaming.siddhi.DataStream<T>,java.lang.String]",dataStream,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/SiddhiStream.java,org.apache.flink.streaming.siddhi.SiddhiStream,"convertDataStream/2[org.apache.flink.streaming.siddhi.DataStream<T>,java.lang.String]",keySelector,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/bahir-flink_45b6beb522ada24b644e11c470cb743551469ae1/flink-library-siddhi/src/main/java/org/apache/flink/streaming/siddhi/SiddhiStream.java,org.apache.flink.streaming.siddhi.SiddhiStream,"convertDataStream/2[org.apache.flink.streaming.siddhi.DataStream<T>,java.lang.String]",streamIdInClosure,0
