file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklylib-core/src/main/java/com/google/blockly/android/BlocklyActivityHelper.java,com.google.blockly.android.BlocklyActivityHelper,class,39,45,6,39,68,1,0,82,32,0.85714287,0.45806453,0.6989247,32,0,23,1,8,0,31,0,0,0,14,1,0,1,13,0,1,0,6,313,12,5,15,7,0,20,0,49,2,45,3,5,0,0,439,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklylib-core/src/main/java/com/google/blockly/model/BlocklyEvent.java,com.google.blockly.model.BlocklyEvent,class,16,37,21,16,43,6,10,20,66,0.894665,0.24175824,0.4945055,17,7,9,4,4,0,14,1,0,0,43,39,26,13,4,0,42,0,3,552,26,1,2,0,3,35,15,52,10,47,1,0,5,0,263,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklydemo/src/main/java/com/google/blockly/android/demo/StylesActivity.java,com.google.blockly.android.demo.StylesActivity,class,4,4,0,4,6,3,0,1,15,0.87499994,0.0,0.0,6,0,0,0,6,0,6,0,0,0,4,3,0,3,0,1,3,0,0,26,6,0,0,0,0,5,1,5,0,5,0,0,0,0,64,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklylib-core/src/main/java/com/google/blockly/android/ui/mutator/IfElseMutatorFragment.java,com.google.blockly.android.ui.mutator.IfElseMutatorFragment,class,16,21,5,16,6,3,0,23,0,0.59999996,0.33333334,0.33333334,5,0,3,2,0,0,3,0,0,0,7,1,1,6,0,0,1,0,1,81,1,0,1,0,0,0,2,14,1,14,1,5,0,0,90,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklylib-core/src/main/java/com/google/blockly/model/Input.java,com.google.blockly.model.Input$InputValue,innerclass,10,10,0,10,6,2,0,4,15,0.0,0.0,0.0,6,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0,0,3,0,0,0,0,0,0,0,0,38,25,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklylib-core/src/main/java/com/google/blockly/android/ui/BlockView.java,com.google.blockly.android.ui.BlockView,interface,13,41,28,13,17,1,0,0,136,0.0,0.0,0.0,17,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,142,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklytest/src/androidTest/java/com/google/blockly/android/ui/fieldview/BasicFieldDropdownViewTest.java,com.google.blockly.android.ui.fieldview.BasicFieldDropdownViewTest,class,10,11,1,10,5,2,0,21,0,0.4666667,1.0,1.0,5,0,4,0,1,0,5,0,0,0,3,0,0,3,0,0,0,0,1,50,1,0,0,0,0,7,7,7,0,7,0,0,0,0,33,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklylib-core/src/main/java/com/google/blockly/android/ui/fieldview/BasicFieldImageView.java,com.google.blockly.android.ui.fieldview.BasicFieldImageView,class,11,16,5,11,18,2,0,26,33,0.87500006,0.13333334,0.13333334,10,0,6,0,3,1,10,0,0,0,8,4,0,4,4,0,4,0,4,131,5,0,4,0,0,6,4,16,3,14,2,2,0,0,95,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklylib-core/src/main/java/com/google/blockly/android/ui/AbstractBlockView.java,com.google.blockly.android.ui.AbstractBlockView,class,29,38,9,29,59,3,0,65,186,0.9028571,0.1884058,0.49275362,25,0,15,1,9,0,24,2,0,0,21,0,0,2,19,0,14,0,0,256,17,7,19,0,1,1,10,65,4,51,3,0,1,0,299,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/blockly-android_fb0a186576ad3f95b2a18440a6305a3db87a4825/blocklylib-core/src/main/java/com/google/blockly/android/ui/BlockListUI.java,com.google.blockly.android.ui.BlockListUI,interface,4,10,6,4,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,1,0
