file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client/src/main/java/org/cloudfoundry/uaa/groups/_Member.java,org.cloudfoundry.uaa.groups._Member$MemberDeserializer,"deserialize/2[org.cloudfoundry.uaa.groups.JsonParser,org.cloudfoundry.uaa.groups.DeserializationContext]",p,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client/src/main/java/org/cloudfoundry/uaa/groups/_Member.java,org.cloudfoundry.uaa.groups._Member$MemberDeserializer,"deserialize/2[org.cloudfoundry.uaa.groups.JsonParser,org.cloudfoundry.uaa.groups.DeserializationContext]",codec,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client/src/main/java/org/cloudfoundry/uaa/groups/_Member.java,org.cloudfoundry.uaa.groups._Member$MemberDeserializer,"deserialize/2[org.cloudfoundry.uaa.groups.JsonParser,org.cloudfoundry.uaa.groups.DeserializationContext]",ctxt,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client/src/main/java/org/cloudfoundry/uaa/groups/_Member.java,org.cloudfoundry.uaa.groups._Member$MemberDeserializer,"deserialize/2[org.cloudfoundry.uaa.groups.JsonParser,org.cloudfoundry.uaa.groups.DeserializationContext]",builder,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client/src/main/java/org/cloudfoundry/uaa/groups/_Member.java,org.cloudfoundry.uaa.groups._Member$MemberDeserializer,"deserialize/2[org.cloudfoundry.uaa.groups.JsonParser,org.cloudfoundry.uaa.groups.DeserializationContext]",tree,8
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client/src/main/java/org/cloudfoundry/uaa/groups/_Member.java,org.cloudfoundry.uaa.groups._Member$MemberDeserializer,"deserialize/2[org.cloudfoundry.uaa.groups.JsonParser,org.cloudfoundry.uaa.groups.DeserializationContext]",type,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client/src/main/java/org/cloudfoundry/uaa/groups/_Member.java,org.cloudfoundry.uaa.groups._Member$MemberDeserializer,"deserialize/2[org.cloudfoundry.uaa.groups.JsonParser,org.cloudfoundry.uaa.groups.DeserializationContext]",entity,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client/src/main/java/org/cloudfoundry/client/v3/servicebindings/ServiceBindingType.java,org.cloudfoundry.client.v3.servicebindings.ServiceBindingType,ServiceBindingType/1[java.lang.String],value,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/v3/FilterBuilder.java,org.cloudfoundry.reactor.client.v3.FilterBuilder,"processCollection/3[org.cloudfoundry.reactor.client.v3.UriComponentsBuilder,java.lang.String,java.lang.Object]",s,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/v3/FilterBuilder.java,org.cloudfoundry.reactor.client.v3.FilterBuilder,"processCollection/3[org.cloudfoundry.reactor.client.v3.UriComponentsBuilder,java.lang.String,java.lang.Object]",builder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/v3/FilterBuilder.java,org.cloudfoundry.reactor.client.v3.FilterBuilder,"processCollection/3[org.cloudfoundry.reactor.client.v3.UriComponentsBuilder,java.lang.String,java.lang.Object]",name,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/v3/FilterBuilder.java,org.cloudfoundry.reactor.client.v3.FilterBuilder,"processCollection/3[org.cloudfoundry.reactor.client.v3.UriComponentsBuilder,java.lang.String,java.lang.Object]",value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/v3/FilterBuilder.java,org.cloudfoundry.reactor.client.v3.FilterBuilder,"processCollection/3[org.cloudfoundry.reactor.client.v3.UriComponentsBuilder,java.lang.String,java.lang.Object]",o,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/v3/FilterBuilder.java,org.cloudfoundry.reactor.client.v3.FilterBuilder,"getValue/2[java.lang.reflect.Method,java.lang.Object]",instance,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cf-java-client_6fabcf647302158b638cf2c44cee389e1df9b964/cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/client/v3/FilterBuilder.java,org.cloudfoundry.reactor.client.v3.FilterBuilder,"getValue/2[java.lang.reflect.Method,java.lang.Object]",method,1
