file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.standalone.ui/src/org/eclipse/cft/server/standalone/ui/internal/startcommand/JavaTypeResolver.java,org.eclipse.cft.server.standalone.ui.internal.startcommand.JavaTypeResolver$Anonymous1,run/0,false,107,3,68,0,68,4,11,14,0,3,0,11,0,0,0,2,0,0,0,3,5,0,2,0,0,0,11,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.core/src/org/eclipse/cft/server/core/internal/ProcessLauncher.java,org.eclipse.cft.server.core.internal.ProcessLauncher,"getErrorStatus/2[java.lang.String,java.lang.Exception]",false,144,3,4,1,3,2,3,4,1,1,2,3,1,1,0,1,0,0,2,0,1,1,0,0,0,0,14,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.core/src/org/eclipse/cft/server/core/internal/ProcessLauncher.java,org.eclipse.cft.server.core.internal.ProcessLauncher,getLaunchName/0,false,150,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1028,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.core/src/org/eclipse/cft/server/core/internal/ProcessLauncher.java,org.eclipse.cft.server.core.internal.ProcessLauncher,getErrorStatus/1[java.lang.String],false,140,2,2,1,1,1,1,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.core/src/org/eclipse/cft/server/core/internal/ProcessLauncher.java,org.eclipse.cft.server.core.internal.ProcessLauncher,"handleProcessIOAsynch/3[java.lang.Process,java.lang.StringBuffer,java.lang.StringBuffer]",false,125,2,4,1,3,3,4,10,0,2,3,4,1,1,0,2,0,0,0,0,2,0,1,0,0,0,24,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.core/src/org/eclipse/cft/server/core/internal/ProcessLauncher.java,org.eclipse.cft.server.core.internal.ProcessLauncher,getProcessArguments/0,false,152,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1028,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.core/src/org/eclipse/cft/server/core/internal/ProcessLauncher.java,org.eclipse.cft.server.core.internal.ProcessLauncher,run/0,false,49,3,5,0,5,15,17,54,0,7,0,17,4,4,1,7,1,0,3,2,11,1,5,0,0,0,57,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.core/src/org/eclipse/cft/server/core/internal/ProcessLauncher.java,org.eclipse.cft.server.core.internal.ProcessLauncher,getEnvironmentVariables/0,false,154,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1028,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.core/src/org/eclipse/cft/server/core/internal/client/CFInfo.java,org.eclipse.cft.server.core.internal.client.CFInfo,getAuthorizationUrl/0,false,50,1,2,1,1,1,1,3,1,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cft_36e7a593b3a7d935e540f6632828b01f88842be6/org.eclipse.cft.server.core/src/org/eclipse/cft/server/core/internal/client/CFInfo.java,org.eclipse.cft.server.core.internal.client.CFInfo,getCloudControllerUrl/0,false,66,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
