file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,get/1[java.lang.String],fFallbackEnabled,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,get/1[java.lang.String],fFallbackKey,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,get/1[java.lang.String],fSingleValueEnabled,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,get/1[java.lang.String],fMap,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,getMap/0,fMap,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,remove/1[java.lang.String],fMap,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,enableKeyFallback/1[java.lang.String],fFallbackEnabled,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,enableKeyFallback/1[java.lang.String],fFallbackKey,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,enableSingeValueFallback/0,fSingleValueEnabled,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/chemistry-opencmis_ef8513d708e5e21710afe5cafb8b32a62a0ae532/chemistry-opencmis-client/chemistry-opencmis-client-bindings/src/main/java/org/apache/chemistry/opencmis/client/bindings/cache/impl/AbstractMapCacheLevel.java,org.apache.chemistry.opencmis.client.bindings.cache.impl.AbstractMapCacheLevel,"setMap/1[java.util.Map<java.lang.String,java.lang.Object>]",fMap,1
