file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/access/ReadOnlyException.java,org.apache.clerezza.rdf.core.access.ReadOnlyException,ReadOnlyException/1[java.lang.String],action,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/access/ReadOnlyException.java,org.apache.clerezza.rdf.core.access.ReadOnlyException,getAction/0,action,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,getImmutableGraph/1[org.apache.clerezza.rdf.core.access.providers.IRI],mGraphList,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,listMGraphs/0,mGraphList,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/sparql/query/impl/SimpleQuery.java,org.apache.clerezza.rdf.core.sparql.query.impl.SimpleQuery,getQueryPattern/0,queryPattern,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/sparql/query/impl/SimpleQuery.java,org.apache.clerezza.rdf.core.sparql.query.impl.SimpleQuery,setQueryPattern/1[org.apache.clerezza.rdf.core.sparql.query.GroupGraphPattern],queryPattern,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/sparql/query/impl/SimpleQuery.java,org.apache.clerezza.rdf.core.sparql.query.impl.SimpleQuery,addDefaultGraph/1[org.apache.clerezza.rdf.core.sparql.query.impl.IRI],dataSet,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/sparql/query/impl/SimpleQuery.java,org.apache.clerezza.rdf.core.sparql.query.impl.SimpleQuery,addNamedGraph/1[org.apache.clerezza.rdf.core.sparql.query.impl.IRI],dataSet,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/sparql/query/impl/SimpleQuery.java,org.apache.clerezza.rdf.core.sparql.query.impl.SimpleQuery,setInlineData/1[org.apache.clerezza.rdf.core.sparql.query.InlineData],inlineData,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/sparql/query/impl/SimpleQuery.java,org.apache.clerezza.rdf.core.sparql.query.impl.SimpleQuery,getDataSet/0,dataSet,1
