file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/impl/util/SimpleLiteralFactory.java,org.apache.clerezza.rdf.core.impl.util.SimpleLiteralFactory$IntegerConverter,createObject/1[org.apache.clerezza.rdf.core.impl.util.Literal],literal,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/impl/util/SimpleLiteralFactory.java,org.apache.clerezza.rdf.core.impl.util.SimpleLiteralFactory$IntegerConverter,createLiteral/1[java.lang.Integer],value,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/serializedform/UnsupportedFormatException.java,org.apache.clerezza.rdf.core.serializedform.UnsupportedFormatException,UnsupportedFormatException/1[java.lang.String],message,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/simple.storage/src/test/java/org/apache/clerezza/rdf/simple/storage/AccessViaTcManager.java,org.apache.clerezza.rdf.simple.storage.AccessViaTcManager,simple/0,g,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/serializedform/Serializer.java,org.apache.clerezza.rdf.core.serializedform.Serializer$Anonymous1,"compare/2[org.apache.clerezza.rdf.core.serializedform.SerializingProvider,org.apache.clerezza.rdf.core.serializedform.SerializingProvider]",s1,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/serializedform/Serializer.java,org.apache.clerezza.rdf.core.serializedform.Serializer$Anonymous1,"compare/2[org.apache.clerezza.rdf.core.serializedform.SerializingProvider,org.apache.clerezza.rdf.core.serializedform.SerializingProvider]",s2,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/main/java/org/apache/clerezza/rdf/core/access/ReadOnlyException.java,org.apache.clerezza.rdf.core.access.ReadOnlyException,ReadOnlyException/1[java.lang.String],action,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,getMGraph/1[org.apache.clerezza.rdf.core.access.providers.IRI],name,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,getNames/1[org.apache.clerezza.rdf.core.access.providers.ImmutableGraph],ImmutableGraph,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,createGraph/1[org.apache.clerezza.rdf.core.access.providers.IRI],name,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,getImmutableGraph/1[org.apache.clerezza.rdf.core.access.providers.IRI],mResult,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,getImmutableGraph/1[org.apache.clerezza.rdf.core.access.providers.IRI],name,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,deleteGraph/1[org.apache.clerezza.rdf.core.access.providers.IRI],name,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,"createImmutableGraph/2[org.apache.clerezza.rdf.core.access.providers.IRI,org.apache.clerezza.rdf.core.access.providers.Graph]",triples,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clerezza_ab278b609cfe1fee9704abb563679ae952bcc47f/rdf/core/src/test/java/org/apache/clerezza/rdf/core/access/providers/WeightedA.java,org.apache.clerezza.rdf.core.access.providers.WeightedA,"createImmutableGraph/2[org.apache.clerezza.rdf.core.access.providers.IRI,org.apache.clerezza.rdf.core.access.providers.Graph]",name,0
