file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/util/ssl/NonValidatingTrustManager.java,ru.yandex.clickhouse.util.ssl.NonValidatingTrustManager,class,0,1,1,0,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/BodyEntityWrapper.java,ru.yandex.clickhouse.BodyEntityWrapper,class,3,4,1,3,6,2,0,4,3,0.5,0.4,0.4,6,0,6,0,0,0,6,0,0,0,2,0,0,2,0,0,2,0,0,25,3,0,0,0,0,1,1,2,1,2,0,0,0,0,36,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/test/java/ru/yandex/clickhouse/util/ClickHouseBlockChecksumTest.java,ru.yandex.clickhouse.util.ClickHouseBlockChecksumTest,class,3,3,0,3,2,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,2,15,0,0,0,0,0,2,7,7,2,7,0,0,0,0,33,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/response/ClickHouseResultSet.java,ru.yandex.clickhouse.response.ClickHouseResultSet,class,15,25,10,15,144,2,1,83,2521,0.94950205,0.026775956,0.10382514,74,7,60,13,0,1,61,0,0,0,19,1,0,16,3,0,10,0,33,461,94,3,23,6,2,38,23,55,15,47,5,0,0,0,162,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/util/ClickHouseVersionNumberUtil.java,ru.yandex.clickhouse.util.ClickHouseVersionNumberUtil,class,0,2,2,0,5,1,0,5,1,0.33333334,1.0,1.0,3,2,2,1,0,0,2,0,0,0,1,1,0,1,0,0,1,0,3,13,2,0,0,0,0,1,4,3,0,3,0,0,0,0,37,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/ClickHouseConnectionImpl.java,ru.yandex.clickhouse.ClickHouseConnectionImpl,class,21,25,4,21,84,1,0,57,1973,0.93283576,0.04278846,0.06586538,67,0,62,2,0,3,65,0,0,0,8,2,0,8,0,0,4,0,14,278,39,0,4,6,0,11,5,22,4,17,2,0,0,0,164,1,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/ClickHousePreparedStatementImpl.java,ru.yandex.clickhouse.ClickHousePreparedStatementImpl$BatchHttpEntity,innerclass,2,2,0,2,7,2,0,1,13,0.6666667,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,23,3,1,0,0,0,0,1,1,0,1,1,0,0,0,27,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/util/ClickHouseStreamHttpEntity.java,ru.yandex.clickhouse.util.ClickHouseStreamHttpEntity,class,4,5,1,4,6,2,0,2,13,0.6666667,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,3,0,0,27,4,0,0,0,0,0,1,4,0,4,0,0,0,0,39,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/test/java/ru/yandex/clickhouse/integration/OnTime.java,ru.yandex.clickhouse.integration.OnTime,class,4,4,0,4,5,1,0,12,0,0.33333334,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,27,0,2,0,0,0,25,0,8,3,8,1,0,0,0,71,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/ClickHouseDatabaseMetadata.java,ru.yandex.clickhouse.ClickHouseDatabaseMetadata,class,10,13,3,10,221,1,0,49,16232,0.9792817,0.0014766307,0.0029532614,181,1,177,4,0,0,177,0,0,0,4,2,0,3,0,1,4,0,25,736,182,8,22,2,2,241,59,52,12,41,2,0,0,0,307,1,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/test/java/ru/yandex/clickhouse/settings/ClickHousePropertiesTest.java,ru.yandex.clickhouse.settings.ClickHousePropertiesTest$Anonymous1,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/test/java/ru/yandex/clickhouse/settings/ClickHousePropertiesTest.java,ru.yandex.clickhouse.settings.ClickHousePropertiesTest$Anonymous2,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/test/java/ru/yandex/clickhouse/integration/ClickHousePreparedStatementTest.java,ru.yandex.clickhouse.integration.ClickHousePreparedStatementTest,class,12,13,1,12,23,1,0,61,0,0.47619048,1.0,1.0,21,0,20,1,0,0,20,0,0,0,2,0,0,2,0,0,0,0,8,315,1,1,1,1,2,113,164,63,10,61,1,0,0,0,138,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/test/java/ru/yandex/clickhouse/integration/TimeZoneTest.java,ru.yandex.clickhouse.integration.TimeZoneTest$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/util/ClickHouseFormat.java,ru.yandex.clickhouse.util.ClickHouseFormat,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/main/java/ru/yandex/clickhouse/util/guava/StreamUtils.java,ru.yandex.clickhouse.util.guava.StreamUtils,class,4,7,3,4,11,1,0,11,8,0.73333335,0.1,0.1,5,5,5,0,0,0,5,0,0,0,3,3,1,2,0,0,3,0,3,48,5,1,3,2,0,3,4,8,2,7,2,0,0,0,42,1,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/clickhouse-jdbc_b0f66b311bd94a22bf6208918d438eff9c7d381c/src/test/java/ru/yandex/clickhouse/settings/ClickHousePropertiesTest.java,ru.yandex.clickhouse.settings.ClickHousePropertiesTest,class,5,5,0,5,8,1,0,26,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,72,0,0,0,0,0,16,7,16,0,16,0,2,0,0,74,1,0
