file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,setUp/0,false,78,0,0,0,0,2,3,25,0,0,0,3,0,0,0,0,0,0,10,0,18,0,1,0,0,0,22,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,"convertValueNoPattern/4[org.apache.commons.beanutils2.locale.BaseLocaleConverter,java.lang.String,java.lang.Object,java.lang.Object]",false,171,1,11,10,1,2,3,9,0,0,4,3,0,0,0,0,1,0,3,0,1,2,1,0,0,0,31,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,"convertNull/2[org.apache.commons.beanutils2.locale.BaseLocaleConverter,java.lang.Object]",false,209,2,73,72,1,1,1,3,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,10,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,"convertValueWithPattern/4[org.apache.commons.beanutils2.locale.BaseLocaleConverter,java.lang.Object,java.lang.String,java.lang.Object]",false,142,2,73,72,1,1,1,3,0,0,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,17,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,tearDown/0,false,121,0,0,0,0,2,1,9,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,0,0,0,17,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,"convertValueNoPattern/3[org.apache.commons.beanutils2.locale.BaseLocaleConverter,java.lang.Object,java.lang.Object]",false,164,2,73,72,1,1,1,3,0,0,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,19,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,"convertValueToType/6[org.apache.commons.beanutils2.locale.BaseLocaleConverter,java.lang.String,java.lang.Class<?>,java.lang.Object,java.lang.String,java.lang.Object]",false,194,1,2,1,1,2,3,9,0,0,6,3,0,0,0,0,1,0,3,0,1,2,1,0,0,0,26,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,"convertValueWithPattern/5[org.apache.commons.beanutils2.locale.BaseLocaleConverter,java.lang.String,java.lang.Object,java.lang.String,java.lang.Object]",false,149,1,11,10,1,2,3,9,0,0,5,3,0,0,0,0,1,0,3,0,1,2,1,0,0,0,29,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,"convertValueToType/5[org.apache.commons.beanutils2.locale.BaseLocaleConverter,java.lang.Class<?>,java.lang.Object,java.lang.String,java.lang.Object]",false,187,2,1,0,1,1,1,3,0,0,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,13,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-beanutils_33a067788f2a414c0b019f8d8974cc455c1982a4/src/test/java/org/apache/commons/beanutils2/locale/converters/BaseLocaleConverterTestCase.java,org.apache.commons.beanutils2.locale.converters.BaseLocaleConverterTestCase,"convertNull/3[org.apache.commons.beanutils2.locale.BaseLocaleConverter,java.lang.String,java.lang.Object]",false,216,1,11,10,1,3,4,14,0,0,3,4,0,0,0,1,1,0,5,0,1,3,1,0,0,0,22,4,0,true
