file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/OpenSslInfoNative.java,org.apache.commons.crypto.OpenSslInfoNative,class,0,1,1,0,6,1,0,0,15,1.0,0.0,0.0,6,5,5,1,0,0,5,0,0,0,2,2,2,0,0,0,2,0,0,11,0,0,0,0,0,0,2,2,0,2,0,0,0,0,62,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/cipher/OpenSsl.java,org.apache.commons.crypto.cipher.OpenSsl$Transform,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,10,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/test/java/org/apache/commons/crypto/jna/CbcNoPaddingCipherJnaStreamTest.java,org.apache.commons.crypto.jna.CbcNoPaddingCipherJnaStreamTest,class,1,1,0,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/test/java/org/apache/commons/crypto/examples/StreamExample.java,org.apache.commons.crypto.examples.StreamExample,class,4,5,1,4,3,1,0,8,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,28,1,1,0,2,1,7,4,13,3,12,2,0,0,0,49,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/stream/PositionedCryptoInputStream.java,org.apache.commons.crypto.stream.PositionedCryptoInputStream$CipherState,innerclass,1,1,0,1,4,1,0,0,0,0.375,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,17,2,0,0,0,0,0,0,3,0,2,0,0,0,0,17,2,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/test/java/org/apache/commons/crypto/random/AbstractRandomTest.java,org.apache.commons.crypto.random.AbstractRandomTest,class,4,10,6,4,9,1,4,9,6,0.0,0.0,0.0,4,0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,43,0,3,0,2,0,0,8,8,0,8,3,1,0,0,32,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/test/java/org/apache/commons/crypto/stream/PositionedCryptoInputStreamTest.java,org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest,class,13,15,2,13,31,1,1,37,0,0.7692308,0.0,0.0,18,0,3,14,1,0,4,0,0,0,13,0,0,13,0,0,1,0,10,258,2,4,0,9,0,6,49,46,12,41,3,0,1,0,86,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/random/JavaCryptoRandom.java,org.apache.commons.crypto.random.JavaCryptoRandom,class,2,5,3,2,4,2,0,3,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,2,0,1,1,0,0,0,56,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/random/CryptoRandomFactory.java,org.apache.commons.crypto.random.CryptoRandomFactory$RandomProvider,enum,3,3,0,3,3,1,0,1,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,63,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/test/java/org/apache/commons/crypto/jna/CryptoJnaBenchmark.java,org.apache.commons.crypto.jna.CryptoJnaBenchmark,class,9,9,0,9,4,2,0,7,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,2,0,2,0,0,2,0,2,16,0,0,0,0,0,1,4,2,0,2,0,0,0,0,47,1,0
