file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/cipher/OpenSsl.java,org.apache.commons.crypto.cipher.OpenSsl$Transform,"Transform/3[java.lang.String,java.lang.String,java.lang.String]",mode,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/cipher/OpenSsl.java,org.apache.commons.crypto.cipher.OpenSsl$Transform,"Transform/3[java.lang.String,java.lang.String,java.lang.String]",padding,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/cipher/OpenSsl.java,org.apache.commons.crypto.cipher.OpenSsl$Transform,"Transform/3[java.lang.String,java.lang.String,java.lang.String]",algorithm,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/stream/PositionedCryptoInputStream.java,org.apache.commons.crypto.stream.PositionedCryptoInputStream$CipherState,reset/1[boolean],reset,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/stream/PositionedCryptoInputStream.java,org.apache.commons.crypto.stream.PositionedCryptoInputStream$CipherState,getCryptoCipher/0,cryptoCipher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/stream/PositionedCryptoInputStream.java,org.apache.commons.crypto.stream.PositionedCryptoInputStream$CipherState,isReset/0,reset,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/stream/PositionedCryptoInputStream.java,org.apache.commons.crypto.stream.PositionedCryptoInputStream$CipherState,CipherState/1[org.apache.commons.crypto.cipher.CryptoCipher],cryptoCipher,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/main/java/org/apache/commons/crypto/stream/PositionedCryptoInputStream.java,org.apache.commons.crypto.stream.PositionedCryptoInputStream$CipherState,CipherState/1[org.apache.commons.crypto.cipher.CryptoCipher],reset,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/test/java/org/apache/commons/crypto/stream/PositionedCryptoInputStreamTest.java,org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest,"testPositionedReadNone/4[java.lang.String,int,int,int]",length,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/test/java/org/apache/commons/crypto/stream/PositionedCryptoInputStreamTest.java,org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest,"testPositionedReadNone/4[java.lang.String,int,int,int]",bufferSize,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-crypto_7b7a36d603ad943ac033469b1e889946c947a385/src/test/java/org/apache/commons/crypto/stream/PositionedCryptoInputStreamTest.java,org.apache.commons.crypto.stream.PositionedCryptoInputStreamTest,"testSeekFailed/3[java.lang.String,int,int]",bufferSize,2
