file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"TagInfoFloats/4[java.lang.String,int,int,org.apache.commons.imaging.formats.tiff.constants.TiffDirectoryType]",true,26,1,0,0,0,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"getValue/2[java.nio.ByteOrder,byte[]]",false,30,3,3,2,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"encodeValue/2[java.nio.ByteOrder,float[]]",false,34,3,2,1,1,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/common/itu_t4/T4_T6_Tables.java,org.apache.commons.imaging.common.itu_t4.T4_T6_Tables$Entry,"Entry/2[java.lang.String,int]",true,247,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/common/itu_t4/T4_T6_Tables.java,org.apache.commons.imaging.common.itu_t4.T4_T6_Tables$Entry,writeBits/1[org.apache.commons.imaging.common.itu_t4.BitArrayOutputStream],false,252,1,6,5,1,3,3,10,0,1,1,3,0,0,1,1,0,0,0,3,1,0,2,0,0,0,8,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/test/java/org/apache/commons/imaging/formats/tiff/write/TiffOutputDirectoryTest.java,org.apache.commons.imaging.formats.tiff.write.TiffOutputDirectoryTest,setUp/0,false,34,2,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/test/java/org/apache/commons/imaging/formats/tiff/write/TiffOutputDirectoryTest.java,org.apache.commons.imaging.formats.tiff.write.TiffOutputDirectoryTest,testFindField/0,false,39,3,0,0,0,1,7,8,0,2,0,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,29,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/test/java/org/apache/commons/imaging/formats/pcx/PcxReadTest.java,org.apache.commons.imaging.formats.pcx.PcxReadTest,test/0,false,38,4,1,0,1,2,9,15,0,7,0,9,0,0,1,0,0,0,2,1,7,0,1,0,0,0,18,1,2,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/test/java/org/apache/commons/imaging/formats/psd/dataparsers/DataParserGrayscaleTest.java,org.apache.commons.imaging.formats.psd.dataparsers.DataParserGrayscaleTest,testGetBasicChannelsCount/0,false,26,2,0,0,0,1,2,4,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/palette/ColorSpaceSubset.java,org.apache.commons.imaging.palette.ColorSpaceSubset,getArea/0,false,127,0,0,0,0,1,0,7,1,4,0,0,0,0,0,0,0,0,0,9,4,7,0,0,0,0,6,1,0,false
