file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"TagInfoFloats/4[java.lang.String,int,int,org.apache.commons.imaging.formats.tiff.constants.TiffDirectoryType]",name,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"TagInfoFloats/4[java.lang.String,int,int,org.apache.commons.imaging.formats.tiff.constants.TiffDirectoryType]",length,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"TagInfoFloats/4[java.lang.String,int,int,org.apache.commons.imaging.formats.tiff.constants.TiffDirectoryType]",tag,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"TagInfoFloats/4[java.lang.String,int,int,org.apache.commons.imaging.formats.tiff.constants.TiffDirectoryType]",directoryType,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"getValue/2[java.nio.ByteOrder,byte[]]",bytes,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"getValue/2[java.nio.ByteOrder,byte[]]",byteOrder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"encodeValue/2[java.nio.ByteOrder,float[]]",values,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/formats/tiff/taginfos/TagInfoFloats.java,org.apache.commons.imaging.formats.tiff.taginfos.TagInfoFloats,"encodeValue/2[java.nio.ByteOrder,float[]]",byteOrder,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/common/itu_t4/T4_T6_Tables.java,org.apache.commons.imaging.common.itu_t4.T4_T6_Tables$Entry,"Entry/2[java.lang.String,int]",bitString,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/common/itu_t4/T4_T6_Tables.java,org.apache.commons.imaging.common.itu_t4.T4_T6_Tables$Entry,"Entry/2[java.lang.String,int]",value,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/common/itu_t4/T4_T6_Tables.java,org.apache.commons.imaging.common.itu_t4.T4_T6_Tables$Entry,writeBits/1[org.apache.commons.imaging.common.itu_t4.BitArrayOutputStream],i,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/main/java/org/apache/commons/imaging/common/itu_t4/T4_T6_Tables.java,org.apache.commons.imaging.common.itu_t4.T4_T6_Tables$Entry,writeBits/1[org.apache.commons.imaging.common.itu_t4.BitArrayOutputStream],outputStream,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/test/java/org/apache/commons/imaging/formats/tiff/write/TiffOutputDirectoryTest.java,org.apache.commons.imaging.formats.tiff.write.TiffOutputDirectoryTest,testFindField/0,field,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-imaging_fa7c16f434061d441d1c0d9dbcfd0f4c3092c880/src/test/java/org/apache/commons/imaging/formats/tiff/write/TiffOutputDirectoryTest.java,org.apache.commons.imaging.formats.tiff.write.TiffOutputDirectoryTest,testFindField/0,documentNameAsBytes,1
