file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,testCleanDirWithASymlinkDir/0,false,84,3,3,0,3,2,9,21,1,4,0,9,1,1,0,0,0,0,9,5,4,0,1,0,0,0,25,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,testIdentifiesBrokenSymlinkFile/0,false,214,3,2,0,2,2,6,14,1,4,0,6,1,1,0,0,0,0,7,0,4,0,1,0,0,0,16,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,testIdentifiesSymlinkFile/0,false,197,3,3,0,3,2,7,11,1,2,0,7,1,1,0,0,0,0,4,0,2,0,1,0,0,0,11,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,testIdentifiesSymlinkDir/0,false,180,3,2,0,2,2,7,11,1,2,0,7,1,1,0,0,0,0,4,0,2,0,1,0,0,0,13,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,"setupSymlink/2[java.io.File,java.io.File]",false,256,0,8,8,0,1,7,10,0,2,2,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,testCorrectlyIdentifySymlinkWithParentSymLink/0,false,234,3,2,0,2,2,7,15,1,4,0,7,1,1,0,0,0,0,6,0,4,0,1,0,0,0,18,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,testCleanDirWithSymlinkFile/0,false,49,3,3,0,3,2,11,21,1,5,0,11,1,1,0,0,0,0,7,3,5,0,1,0,0,0,17,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,testCleanDirWithParentSymlinks/0,false,119,3,3,0,3,2,9,24,1,5,0,9,1,1,0,0,0,0,10,6,5,0,1,0,0,0,25,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,testStillClearsIfGivenDirectoryIsASymlink/0,false,158,3,3,0,3,2,9,14,1,2,0,9,1,1,0,0,0,0,5,3,2,0,1,0,0,0,17,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/FileUtilsCleanSymlinksTestCase.java,org.apache.commons.io.FileUtilsCleanSymlinksTestCase,setUp/0,false,44,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/filefilter/IOFileFilterAbstractTestCase.java,org.apache.commons.io.filefilter.IOFileFilterAbstractTestCase$TesterFalseFileFilter,"accept/2[java.io.File,java.lang.String]",false,135,1,1,0,1,1,2,4,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/filefilter/IOFileFilterAbstractTestCase.java,org.apache.commons.io.filefilter.IOFileFilterAbstractTestCase$TesterFalseFileFilter,accept/1[java.io.File],false,129,1,1,0,1,1,2,4,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/filefilter/IOFileFilterAbstractTestCase.java,org.apache.commons.io.filefilter.IOFileFilterAbstractTestCase$TesterFalseFileFilter,setInvoked/1[boolean],false,144,0,3,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/filefilter/IOFileFilterAbstractTestCase.java,org.apache.commons.io.filefilter.IOFileFilterAbstractTestCase$TesterFalseFileFilter,reset/0,false,148,1,2,1,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/filefilter/IOFileFilterAbstractTestCase.java,org.apache.commons.io.filefilter.IOFileFilterAbstractTestCase$TesterFalseFileFilter,isInvoked/0,false,140,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/testtools/YellOnFlushAndCloseOutputStream.java,org.apache.commons.io.testtools.YellOnFlushAndCloseOutputStream,"YellOnFlushAndCloseOutputStream/3[java.io.OutputStream,boolean,boolean]",true,39,0,62,62,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/testtools/YellOnFlushAndCloseOutputStream.java,org.apache.commons.io.testtools.YellOnFlushAndCloseOutputStream,close/0,false,56,1,0,0,0,2,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/testtools/YellOnFlushAndCloseOutputStream.java,org.apache.commons.io.testtools.YellOnFlushAndCloseOutputStream,off/0,false,63,0,43,43,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/test/java/org/apache/commons/io/testtools/YellOnFlushAndCloseOutputStream.java,org.apache.commons.io.testtools.YellOnFlushAndCloseOutputStream,flush/0,false,47,1,24,24,0,2,1,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,13,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/main/java/org/apache/commons/io/comparator/AbstractFileComparator.java,org.apache.commons.io.comparator.AbstractFileComparator,sort/1[java.util.List<java.io.File>],false,59,0,2,2,0,2,1,6,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,20,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/main/java/org/apache/commons/io/comparator/AbstractFileComparator.java,org.apache.commons.io.comparator.AbstractFileComparator,sort/1[java.io.File[]],false,42,0,2,2,0,2,1,6,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-io_19cd138d25fb461dc57125589a026ca0fa8f7805/src/main/java/org/apache/commons/io/comparator/AbstractFileComparator.java,org.apache.commons.io.comparator.AbstractFileComparator,toString/0,false,72,0,1,1,0,1,2,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
