file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/ConstraintTag.java,org.apache.commons.jelly.tags.swing.ConstraintTag,beforeSetAttributes/0,e,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/ConstraintTag.java,org.apache.commons.jelly.tags.swing.ConstraintTag,ConstraintTag/1[org.apache.commons.jelly.tags.swing.Factory],factory,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/ConstraintTag.java,org.apache.commons.jelly.tags.swing.ConstraintTag,"setAttribute/2[java.lang.String,java.lang.Object]",e,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/ConstraintTag.java,org.apache.commons.jelly.tags.swing.ConstraintTag,"setAttribute/2[java.lang.String,java.lang.Object]",name,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/ConstraintTag.java,org.apache.commons.jelly.tags.swing.ConstraintTag,"setAttribute/2[java.lang.String,java.lang.Object]",value,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/ConstraintTag.java,org.apache.commons.jelly.tags.swing.ConstraintTag,createBean/1[org.apache.commons.jelly.tags.swing.Factory],factory,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/ConstraintTag.java,org.apache.commons.jelly.tags.swing.ConstraintTag,doTag/1[org.apache.commons.jelly.XMLOutput],output,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/xml/src/main/java/org/apache/commons/jelly/tags/xml/ParamTag.java,org.apache.commons.jelly.tags.xml.ParamTag,doTag/1[org.apache.commons.jelly.XMLOutput],output,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/xml/src/main/java/org/apache/commons/jelly/tags/xml/ParamTag.java,org.apache.commons.jelly.tags.xml.ParamTag,doTag/1[org.apache.commons.jelly.XMLOutput],tag,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/xml/src/main/java/org/apache/commons/jelly/tags/xml/ParamTag.java,org.apache.commons.jelly.tags.xml.ParamTag,doTag/1[org.apache.commons.jelly.XMLOutput],value,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/xml/src/main/java/org/apache/commons/jelly/tags/xml/ParamTag.java,org.apache.commons.jelly.tags.xml.ParamTag,setValue/1[java.lang.Object],value,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/xml/src/main/java/org/apache/commons/jelly/tags/xml/ParamTag.java,org.apache.commons.jelly.tags.xml.ParamTag,setName/1[java.lang.String],name,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"setBeanProperties/2[java.lang.Object,java.util.Map]",insetString,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"setBeanProperties/2[java.lang.Object,java.util.Map]",parts,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"setBeanProperties/2[java.lang.Object,java.util.Map]",parentGbc,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"setBeanProperties/2[java.lang.Object,java.util.Map]",gbc,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"setBeanProperties/2[java.lang.Object,java.util.Map]",attributes,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"setBeanProperties/2[java.lang.Object,java.util.Map]",bean,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"setBeanProperties/2[java.lang.Object,java.util.Map]",parentLayoutTag,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"setBeanProperties/2[java.lang.Object,java.util.Map]",ins,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"setBeanProperties/2[java.lang.Object,java.util.Map]",parentGbcTag,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"findAncestorWithClass/3[org.apache.commons.jelly.Tag,java.lang.Class,org.apache.commons.jelly.Tag]",parent,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"findAncestorWithClass/3[org.apache.commons.jelly.Tag,java.lang.Class,org.apache.commons.jelly.Tag]",tagClass,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"findAncestorWithClass/3[org.apache.commons.jelly.Tag,java.lang.Class,org.apache.commons.jelly.Tag]",from,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,convertToClass/1[java.lang.Object],classObject,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"addChild/2[java.awt.Component,java.lang.Object]",component,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-jelly_48c008cc2328402e0976295625b32c5197ba2324/jelly-tags/swing/src/main/java/org/apache/commons/jelly/tags/swing/GbcTag.java,org.apache.commons.jelly.tags.swing.GbcTag,"addChild/2[java.awt.Component,java.lang.Object]",tag,2
