file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-combinatorics/src/main/java/org/apache/commons/numbers/combinatorics/BinomialCoefficientDouble.java,org.apache.commons.numbers.combinatorics.BinomialCoefficientDouble,class,2,5,3,2,8,1,0,4,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,23,5,1,4,0,0,0,9,4,6,2,1,0,0,0,45,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-combinatorics/src/test/java/org/apache/commons/numbers/combinatorics/LogBinomialCoefficientTest.java,org.apache.commons.numbers.combinatorics.LogBinomialCoefficientTest,class,7,7,0,7,14,1,0,5,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,16,53,0,5,0,2,0,5,50,18,6,15,3,0,0,0,51,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-quaternion/src/main/java/org/apache/commons/numbers/quaternion/Quaternion.java,org.apache.commons.numbers.quaternion.Quaternion$Type,enum,1,1,0,1,4,1,0,2,0,0.5,0.5,1.0,4,0,0,0,0,4,4,0,0,0,3,0,0,3,0,0,3,0,0,40,3,0,0,0,0,0,0,3,0,3,0,0,2,0,38,2,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-arrays/src/main/java/org/apache/commons/numbers/arrays/SafeNorm.java,org.apache.commons.numbers.arrays.SafeNorm,class,1,3,2,1,11,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,5,63,1,1,3,0,7,0,14,26,26,16,5,0,0,0,36,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-combinatorics/src/main/java/org/apache/commons/numbers/combinatorics/Combinations.java,org.apache.commons.numbers.combinatorics.Combinations,class,5,6,1,5,8,1,0,1,0,0.33333334,0.8333333,1.0,5,0,4,1,0,0,4,0,0,0,3,0,0,3,0,0,3,0,1,173,4,0,2,0,0,1,1,3,0,3,1,0,4,0,207,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-combinatorics/src/main/java/org/apache/commons/numbers/combinatorics/LogFactorial.java,org.apache.commons.numbers.combinatorics.LogFactorial,class,5,8,3,5,13,1,0,3,0,0.5,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,2,1,0,2,0,0,2,0,4,36,5,2,1,0,0,0,7,8,3,6,1,0,0,0,71,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-field/src/test/java/org/apache/commons/numbers/field/FieldParametricTest.java,org.apache.commons.numbers.field.FieldParametricTest,class,8,9,1,8,12,1,0,14,0,0.33333334,0.8181818,0.8181818,12,1,11,1,0,0,11,0,0,0,4,0,0,4,0,0,4,0,1,63,1,0,0,0,0,2,0,22,1,22,0,0,0,0,34,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-fraction/src/test/java/org/apache/commons/numbers/fraction/FractionTest.java,org.apache.commons.numbers.fraction.FractionTest,class,4,5,1,4,53,1,0,35,406,0.0,0.0,0.0,29,0,27,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,9,515,0,1,0,23,4,25,644,137,76,56,1,0,0,0,76,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-primes/src/main/java/org/apache/commons/numbers/primes/SmallPrimes.java,org.apache.commons.numbers.primes.SmallPrimes,class,2,5,3,2,22,1,0,8,8,0.70000005,0.0,0.0,5,4,4,1,0,0,4,0,0,0,2,2,2,0,0,0,2,0,7,83,7,5,10,0,6,0,535,27,10,17,4,0,0,0,130,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-numbers_cfad08c08b18bec5cde044aa547e8c060e9bfac4/commons-numbers-combinatorics/src/main/java/org/apache/commons/numbers/combinatorics/CombinatoricsException.java,org.apache.commons.numbers.combinatorics.CombinatoricsException,class,0,8,8,0,2,5,0,2,0,0.8,1.0,1.0,2,0,1,0,0,1,2,0,0,0,5,4,0,1,1,3,4,0,1,14,1,0,0,0,0,3,1,5,0,5,0,0,0,0,58,0,0
