file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/test/java/org/apache/commons/text/similarity/CosineSimilarityTest.java,org.apache.commons.text.similarity.CosineSimilarityTest,class,4,4,0,4,4,1,0,8,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,1,5,9,0,9,1,0,0,2,28,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/test/java/org/apache/commons/text/StrTokenizerTest.java,org.apache.commons.text.StrTokenizerTest,class,6,7,1,6,79,1,0,61,2143,0.97727275,4.960318E-4,4.960318E-4,66,0,62,2,0,2,64,0,0,0,2,2,0,2,0,0,2,0,49,666,0,9,4,0,0,275,52,147,10,132,1,3,0,6,149,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/test/java/org/apache/commons/text/similarity/ParameterizedLevenshteinDistanceTest.java,org.apache.commons.text.similarity.ParameterizedLevenshteinDistanceTest,class,4,4,0,4,2,1,0,5,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,77,69,1,0,1,0,0,0,0,16,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/main/java/org/apache/commons/text/translate/OctalUnescaper.java,org.apache.commons.text.translate.OctalUnescaper,class,2,5,3,2,15,2,0,9,3,0.0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,27,4,0,1,0,0,0,11,5,6,5,3,0,0,0,68,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/main/java/org/apache/commons/text/similarity/LevenshteinDetailedDistance.java,org.apache.commons.text.similarity.LevenshteinDetailedDistance,class,4,6,2,4,66,1,0,9,16,0.6875,0.3,0.3,8,4,5,3,0,0,5,0,0,0,2,1,0,2,0,0,2,0,13,218,13,11,24,0,4,4,104,86,35,44,3,0,0,0,189,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/test/java/org/apache/commons/text/lookup/NullStringLookupTest.java,org.apache.commons.text.lookup.NullStringLookupTest,class,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/test/java/org/apache/commons/text/lookup/ConstantStringLookupBasicTest.java,org.apache.commons.text.lookup.ConstantStringLookupBasicTest,class,5,6,1,5,4,1,0,5,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,1,0,0,0,1,0,2,15,0,0,0,0,0,2,0,1,1,1,0,0,0,0,34,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/main/java/org/apache/commons/text/lookup/JavaPlatformStringLookup.java,org.apache.commons.text.lookup.JavaPlatformStringLookup,class,3,6,3,3,18,2,0,15,41,0.8000001,0.04761905,0.04761905,10,1,2,3,0,5,7,0,0,0,7,7,0,6,0,1,7,0,2,66,15,0,1,0,0,44,0,8,7,8,1,0,0,0,116,16,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/test/java/org/apache/commons/text/FormattableUtilsTest.java,org.apache.commons.text.FormattableUtilsTest,class,4,4,0,4,8,1,0,12,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,61,96,0,0,0,0,0,165,162,2,0,2,1,0,1,2,33,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/main/java/org/apache/commons/text/matcher/AbstractStringMatcher.java,org.apache.commons.text.matcher.AbstractStringMatcher$StringMatcher,innerclass,2,2,0,2,6,2,0,3,0,0.0,1.0,1.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,22,4,1,1,0,0,0,3,3,2,3,2,0,0,0,57,24,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/commons-text_fba62805615082bc1ce02c46a6b1c8d0383aa09b/src/test/java/org/apache/commons/text/StrLookupTest.java,org.apache.commons.text.StrLookupTest,class,3,3,0,3,8,1,0,19,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,32,71,0,0,0,2,0,32,1,13,2,13,1,0,0,1,58,1,0
