file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgModule.java,com.google.copybara.hg.HgModule,HgModule/1[com.google.copybara.Options],options,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgModule.java,com.google.copybara.hg.HgModule,"origin/3[java.lang.String,java.lang.String,com.google.copybara.hg.Location]",ref,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgModule.java,com.google.copybara.hg.HgModule,"origin/3[java.lang.String,java.lang.String,com.google.copybara.hg.Location]",location,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgModule.java,com.google.copybara.hg.HgModule,"origin/3[java.lang.String,java.lang.String,com.google.copybara.hg.Location]",url,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,newWriter/1[com.google.copybara.WriterContext],writerContext,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"HgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",repoUrl,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"HgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",fetch,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"HgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",hgOptions,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"HgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",generalOptions,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"HgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",push,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"newHgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",fetch,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"newHgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",hgOptions,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"newHgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",generalOptions,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"newHgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",url,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/java/com/google/copybara/hg/HgDestination.java,com.google.copybara.hg.HgDestination,"newHgDestination/5[java.lang.String,java.lang.String,java.lang.String,com.google.copybara.GeneralOptions,com.google.copybara.hg.HgOptions]",push,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,canSetAuthorOfIndividualChanges/0,authoring,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,canSetAuthorOfIndividualChanges/0,origin,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,canSetAuthorOfIndividualChanges/0,changes,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,exceptionWhenParsingNonNumericReference/0,origin,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,exceptionWhenParsingOutOfRangeReference/0,origin,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,testCanSpecifyMessage/0,authoring,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,testCanSpecifyMessage/0,reader,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,testCanSpecifyMessage/0,origin,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,testCanSpecifyMessage/0,changes,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/copybara_76e3e6b1313d2bbea77fad3e7e1b53bc21949113/javatests/com/google/copybara/testing/DummyOriginTest.java,com.google.copybara.testing.DummyOriginTest,testResolveNullReturnsHead/0,origin,3
