file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/ui/cargo/OptionLabelProvider.java,org.eclipse.corrosion.ui.cargo.OptionLabelProvider,class,3,4,1,3,6,2,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,26,3,0,1,0,2,4,2,6,1,3,2,0,0,0,16,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,class,16,17,1,16,21,2,0,37,6,0.75,0.0,0.0,4,1,3,1,0,0,3,0,0,0,1,1,1,0,0,0,1,0,21,90,3,0,3,3,0,15,0,23,0,21,2,0,0,1,60,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,class,11,18,7,11,51,1,0,50,37,0.9375,0.06666667,0.06666667,10,9,6,4,0,0,6,0,0,1,8,8,6,2,0,0,7,0,27,216,19,5,15,5,4,28,19,55,2,47,5,1,0,2,109,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion.tests/src/org/eclipse/corrosion/tests/TestDebugConfiguration.java,org.eclipse.corrosion.tests.TestDebugConfiguration,class,22,25,3,22,24,2,0,49,24,0.75,0.071428575,0.071428575,8,5,5,0,0,3,8,0,0,0,2,2,0,2,0,0,0,0,8,80,7,5,3,0,3,8,3,9,0,10,3,1,0,1,95,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/ui/OptionalDefaultInputComponent.java,org.eclipse.corrosion.ui.OptionalDefaultInputComponent,class,6,10,4,6,7,2,0,16,0,0.4166667,0.73333335,1.0,6,0,5,0,1,0,6,0,0,0,2,0,0,2,0,0,0,0,0,37,1,0,0,0,0,0,3,4,0,4,1,0,0,1,28,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/wizards/importexisting/ImportPage.java,org.eclipse.corrosion.wizards.importexisting.ImportPage,class,5,6,1,5,2,2,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,3,0,3,0,0,0,0,17,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion.tests/src/org/eclipse/corrosion/tests/TestRunConfiguration.java,org.eclipse.corrosion.tests.TestRunConfiguration$Anonymous3,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion.tests/src/org/eclipse/corrosion/tests/TestRunConfiguration.java,org.eclipse.corrosion.tests.TestRunConfiguration$Anonymous2,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion.tests/src/org/eclipse/corrosion/tests/TestLSPExtensions.java,org.eclipse.corrosion.tests.TestLSPExtensions$Anonymous2,anonymous,1,1,0,1,2,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/CorrosionPreferencePage.java,org.eclipse.corrosion.CorrosionPreferencePage,class,20,21,1,20,77,2,0,95,202,0.8833333,0.3,0.3,24,1,2,19,3,0,5,0,0,0,20,3,1,17,2,0,3,0,20,459,27,3,10,2,4,18,48,78,1,72,2,1,0,14,132,1,0
