file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/ui/cargo/OptionLabelProvider.java,org.eclipse.corrosion.ui.cargo.OptionLabelProvider,getImage/1[java.lang.Object],false,21,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/ui/cargo/OptionLabelProvider.java,org.eclipse.corrosion.ui.cargo.OptionLabelProvider,getText/1[java.lang.Object],false,25,1,2,0,2,5,5,21,2,3,1,5,0,0,0,1,0,2,4,2,6,1,2,0,0,0,13,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",false,67,9,4,0,4,15,30,61,2,16,4,30,0,0,0,3,1,0,13,0,18,0,2,0,0,1,35,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/2[org.eclipse.corrosion.test.ISelection,java.lang.String]",false,45,5,4,0,4,2,4,9,0,1,2,4,1,1,0,0,1,0,0,0,1,0,1,0,0,0,12,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,getLaunchConfiguration/1[org.eclipse.corrosion.test.IResource],false,138,4,3,2,1,2,4,8,1,2,1,4,0,0,0,0,0,0,1,0,2,0,1,0,0,0,10,10,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/2[org.eclipse.corrosion.test.IEditorPart,java.lang.String]",false,56,5,4,0,4,2,4,9,0,1,2,4,1,1,0,0,1,0,0,0,1,0,1,0,0,0,13,1,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,getDefaultToolchain/0,false,58,1,4,2,2,9,12,38,7,6,0,12,0,0,1,3,2,0,4,5,7,0,5,0,0,0,22,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,setDefaultToolchain/1[java.lang.String],false,98,1,2,2,0,2,2,34,1,0,1,2,0,0,0,1,0,0,0,0,1,0,1,1,0,0,28,41,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,"createRustupCommandJob/3[java.lang.String,java.lang.String,java.lang.String[]]",false,155,1,2,1,1,2,3,10,2,2,3,3,0,0,0,0,0,0,0,5,3,1,1,0,0,0,8,10,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,"sendDidChangeConfigurationsMessage/1[java.util.Map<java.lang.String,java.lang.String>]",false,145,3,2,1,1,2,6,8,0,3,1,6,1,1,0,1,0,0,0,0,2,0,1,0,0,1,22,10,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,getRlsConfigurationPath/0,false,262,3,2,1,1,2,8,9,1,3,0,8,0,0,0,0,0,0,0,0,3,0,1,0,0,0,12,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,getRLS/0,false,275,3,3,1,2,4,10,17,1,5,0,10,0,0,0,2,0,0,3,2,7,0,1,0,0,0,18,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,getToolchains/0,false,192,1,3,1,2,10,12,36,3,7,0,12,0,0,1,3,2,0,5,5,10,0,5,0,0,0,19,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,RustManager/0,true,54,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,setSystemProperties/0,false,228,3,3,1,2,11,12,28,2,9,0,12,0,0,0,5,0,2,10,2,11,1,2,0,0,0,26,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/RustManager.java,org.eclipse.corrosion.RustManager,infoFromOpenEditors/0,false,167,4,1,1,0,8,16,23,2,4,0,16,0,0,3,0,1,2,1,0,3,0,5,0,0,1,29,10,0,false
