file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/ui/cargo/OptionLabelProvider.java,org.eclipse.corrosion.ui.cargo.OptionLabelProvider,getImage/1[java.lang.Object],element,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/ui/cargo/OptionLabelProvider.java,org.eclipse.corrosion.ui.cargo.OptionLabelProvider,getText/1[java.lang.Object],returnString,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/ui/cargo/OptionLabelProvider.java,org.eclipse.corrosion.ui.cargo.OptionLabelProvider,getText/1[java.lang.Object],flag,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/ui/cargo/OptionLabelProvider.java,org.eclipse.corrosion.ui.cargo.OptionLabelProvider,getText/1[java.lang.Object],arguments,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/ui/cargo/OptionLabelProvider.java,org.eclipse.corrosion.ui.cargo.OptionLabelProvider,getText/1[java.lang.Object],element,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",workingDirectoryString,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",cmdLine,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",process,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",finalWorkingDirectory,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",configuration,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",workingDirectory,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",cargoManifest,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",e,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",project,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",launch,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/corrosion_dfb300cb1dc4c41984496cc7620790e2856aa6b6/org.eclipse.corrosion/src/org/eclipse/corrosion/test/CargoTestDelegate.java,org.eclipse.corrosion.test.CargoTestDelegate,"launch/4[org.eclipse.corrosion.test.ILaunchConfiguration,java.lang.String,org.eclipse.corrosion.test.ILaunch,org.eclipse.corrosion.test.IProgressMonitor]",monitor,0
