file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/analysis/license/CDDL1LicenseTest.java,org.apache.rat.analysis.license.CDDL1LicenseTest,initSubject/0,subject,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/analysis/license/CDDL1LicenseTest.java,org.apache.rat.analysis.license.CDDL1LicenseTest,initLicensesUnderTest/0,licenseStringMap,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/analysis/license/CDDL1LicenseTest.java,org.apache.rat.analysis.license.CDDL1LicenseTest,initLicensesUnderTest/0,LICENSE_LINE,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/analysis/license/CDDL1LicenseTest.java,org.apache.rat.analysis.license.CDDL1LicenseTest,testNegativeMatches/0,subject,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/analysis/license/CDDL1LicenseTest.java,org.apache.rat.analysis.license.CDDL1LicenseTest,testNegativeMatches/0,licenseStringMap,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/analysis/license/CDDL1LicenseTest.java,org.apache.rat.analysis.license.CDDL1LicenseTest,testPositiveMatchInDocument/0,subject,10
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/analysis/license/CDDL1LicenseTest.java,org.apache.rat.analysis.license.CDDL1LicenseTest,testPositiveMatchInDocument/0,licenseStringMap,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/document/MockDocument.java,org.apache.rat.document.MockDocument,"MockDocument/2[java.io.Reader,java.lang.String]",reader,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/document/MockDocument.java,org.apache.rat.document.MockDocument,"MockDocument/2[java.io.Reader,java.lang.String]",name,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/creadur-rat_271cb2fdf3d3dea168c09cab358d566db7549102/apache-rat-core/src/test/java/org/apache/rat/document/MockDocument.java,org.apache.rat.document.MockDocument,getMetaData/0,metaData,1
