file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/services/idp-core/src/test/java/org/apache/cxf/fediz/service/idp/service/jpa/IdpDAOJPATest.java,org.apache.cxf.fediz.service.idp.service.jpa.IdpDAOJPATest,class,15,16,1,15,60,1,0,57,0,0.071428575,0.9259259,0.9259259,28,2,27,1,0,0,27,0,0,0,1,0,0,1,0,0,0,0,27,311,1,0,31,0,0,188,34,68,5,58,0,0,0,0,76,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/plugins/spring/src/main/java/org/apache/cxf/fediz/spring/authentication/GrantedAuthoritiesUserDetailsFederationService.java,org.apache.cxf.fediz.spring.authentication.GrantedAuthoritiesUserDetailsFederationService,class,7,7,0,7,5,2,0,5,0,0.0,1.0,1.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,15,1,1,1,0,1,2,0,3,1,2,2,0,0,0,44,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/plugins/spring/src/main/java/org/apache/cxf/fediz/spring/web/FederationLogoutSuccessHandler.java,org.apache.cxf.fediz.spring.web.FederationLogoutSuccessHandler,class,13,14,1,13,8,1,0,18,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,1,36,0,1,2,1,0,5,0,9,1,8,4,0,0,0,40,1,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/systests/custom/src/test/java/org/apache/cxf/fediz/systests/custom/CustomParametersTest.java,org.apache.cxf.fediz.systests.custom.CustomParametersTest,class,14,15,1,14,20,1,0,57,26,0.75,0.14285715,0.2857143,9,4,7,2,0,0,7,0,0,0,4,4,0,2,0,2,0,0,14,148,4,1,4,2,0,93,2,40,25,30,3,0,0,0,112,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/services/idp-core/src/main/java/org/apache/cxf/fediz/service/idp/spi/TrustedIdpProtocolHandler.java,org.apache.cxf.fediz.service.idp.spi.TrustedIdpProtocolHandler,interface,6,10,4,6,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/systests/kerberos/src/test/java/org/apache/cxf/fediz/systests/kerberos/KerberosServicePasswordCallback.java,org.apache.cxf.fediz.systests.kerberos.KerberosServicePasswordCallback,class,1,1,0,1,6,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,4,1,4,0,4,2,0,0,0,20,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/services/idp-core/src/main/java/org/apache/cxf/fediz/service/idp/util/WebUtils.java,org.apache.cxf.fediz.service.idp.util.WebUtils,class,6,25,19,6,29,1,0,31,210,0.0,0.0,0.0,21,20,20,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,12,107,18,1,5,0,0,4,3,13,2,13,3,0,0,0,64,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/systests/tomcat/src/test/java/org/apache/cxf/fediz/systests/tomcat/TokenExpiryTest.java,org.apache.cxf.fediz.systests.tomcat.TokenExpiryTest,class,8,9,1,8,15,2,0,35,11,0.67857146,0.3,0.6,7,4,5,2,0,0,5,0,0,0,4,4,0,2,0,2,0,0,9,90,4,0,4,1,0,40,1,17,8,16,3,0,0,0,53,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/services/idp-core/src/test/java/org/apache/cxf/fediz/service/idp/service/jpa/EntitlementDAOJPATest.java,org.apache.cxf.fediz.service.idp.service.jpa.EntitlementDAOJPATest,class,10,10,0,10,10,1,0,12,0,0.125,0.75,0.75,8,1,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,1,43,0,0,2,0,0,20,6,6,0,7,0,0,0,0,27,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/services/idp-core/src/main/java/org/apache/cxf/fediz/service/idp/beans/SigninParametersCacheAction.java,org.apache.cxf.fediz.service.idp.beans.SigninParametersCacheAction,class,9,10,1,9,30,1,0,21,4,0.625,0.16666667,0.16666667,4,0,3,0,1,0,4,0,0,0,2,2,1,1,0,0,2,0,21,121,2,0,21,2,0,15,0,25,2,14,4,0,0,0,63,1,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/plugins/core/src/main/java/org/apache/cxf/fediz/core/spi/WReqCallback.java,org.apache.cxf.fediz.core.spi.WReqCallback,class,2,8,6,2,3,2,0,0,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/cxf-fediz_553ae6e3adeb92b7d6300e5c0ad83ed6322e28bd/services/idp-core/src/test/java/org/apache/cxf/fediz/service/idp/service/jpa/TrustedIdpDAOJPATest.java,org.apache.cxf.fediz.service.idp.service.jpa.TrustedIdpDAOJPATest,class,11,12,1,11,11,1,0,30,0,0.2,0.7777778,0.7777778,10,2,9,1,0,0,9,0,0,0,1,0,0,1,0,0,0,0,5,93,1,0,0,0,0,64,3,13,0,11,0,0,0,0,35,1,0
