file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.plotting.api/src/org/eclipse/dawnsci/plotting/api/trace/PaletteEvent.java,org.eclipse.dawnsci.plotting.api.trace.PaletteEvent,class,3,5,2,3,6,1,0,0,0,0.6111111,0.6,1.0,6,0,6,0,0,0,6,0,0,0,3,1,0,1,2,0,1,0,0,25,3,0,0,0,0,0,1,5,0,3,0,0,0,0,27,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.analysis.dataset/src/org/eclipse/dawnsci/analysis/dataset/metadata/ARPESMetadataImpl.java,org.eclipse.dawnsci.analysis.dataset.metadata.ARPESMetadataImpl,class,7,8,1,7,46,1,0,33,469,0.92422354,0.06439394,0.40530303,35,2,33,2,0,0,33,0,0,0,23,9,0,9,0,14,9,0,5,201,20,0,2,3,0,9,12,54,0,30,2,0,0,0,86,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.plotting.api/src/org/eclipse/dawnsci/plotting/api/jreality/compositing/CompositeOp.java,org.eclipse.dawnsci.plotting.api.jreality.compositing.CompositeOp,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.analysis.dataset/src/org/eclipse/dawnsci/analysis/dataset/roi/GridPreferences.java,org.eclipse.dawnsci.analysis.dataset.roi.GridPreferences,class,1,3,2,1,29,1,0,7,169,0.73913044,0.12252964,0.2173913,23,0,23,0,0,0,23,0,0,0,4,0,0,4,0,0,0,0,12,96,22,0,5,0,11,0,12,19,26,8,1,0,0,0,87,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.plotting.api/src/org/eclipse/dawnsci/plotting/api/image/IPlotImageService.java,org.eclipse.dawnsci.plotting.api.image.IPlotImageService,interface,5,6,1,5,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.plotting.api/src/org/eclipse/dawnsci/plotting/api/annotation/AnnotationUtils.java,org.eclipse.dawnsci.plotting.api.annotation.AnnotationUtils,class,3,3,0,3,7,1,0,5,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,17,2,1,3,0,0,4,2,2,3,2,2,0,0,0,20,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.plotting.api/src/org/eclipse/dawnsci/plotting/api/region/IRegionAction.java,org.eclipse.dawnsci.plotting.api.region.IRegionAction,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.analysis.dataset/src/org/eclipse/dawnsci/analysis/dataset/roi/PolylineROIList.java,org.eclipse.dawnsci.analysis.dataset.roi.PolylineROIList,class,3,4,1,3,3,4,0,1,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,1,0,0,0,15,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.slicing.api/src/org/eclipse/dawnsci/slicing/api/system/SliceSource.java,org.eclipse.dawnsci.slicing.api.system.SliceSource,class,5,12,7,5,33,1,0,11,76,0.775,0.20952381,0.43809524,16,0,15,1,0,0,15,0,0,0,5,0,0,5,0,0,0,0,0,108,18,0,13,0,7,0,7,12,8,8,2,1,0,0,52,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/dawnsci_1131d5c65e9e8ea98141eecee1743cf1053544f4/org.eclipse.dawnsci.remotedataset.test/src/org/eclipse/dawnsci/remotedataset/test/server/RemoteDatasetPluginTest.java,org.eclipse.dawnsci.remotedataset.test.server.RemoteDatasetPluginTest,class,11,11,0,11,2,2,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,38,0,1,0,2,0,3,6,10,1,8,3,1,0,0,59,1,0
