file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/AuditMgrImpl.java,org.apache.directory.fortress.core.impl.AuditMgrImpl,searchUserSessions/1[org.apache.directory.fortress.core.model.UserAudit],false,166,5,3,0,3,1,3,6,1,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/AuditMgrImpl.java,org.apache.directory.fortress.core.impl.AuditMgrImpl,getUserAuthZs/1[org.apache.directory.fortress.core.model.UserAudit],false,122,5,3,0,3,1,3,6,1,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/AuditMgrImpl.java,org.apache.directory.fortress.core.impl.AuditMgrImpl,searchAdminMods/1[org.apache.directory.fortress.core.model.UserAudit],false,180,8,9,0,9,2,9,11,1,3,1,9,0,0,0,0,0,0,1,0,3,0,1,0,0,0,18,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/AuditMgrImpl.java,org.apache.directory.fortress.core.impl.AuditMgrImpl,searchBinds/1[org.apache.directory.fortress.core.model.UserAudit],false,152,5,3,0,3,1,3,6,1,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,13,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/AuditMgrImpl.java,org.apache.directory.fortress.core.impl.AuditMgrImpl,searchAuthZs/1[org.apache.directory.fortress.core.model.UserAudit],false,137,5,3,0,3,1,3,6,1,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/AuditMgrImpl.java,org.apache.directory.fortress.core.impl.AuditMgrImpl,searchInvalidUsers/1[org.apache.directory.fortress.core.model.UserAudit],false,201,5,3,0,3,1,3,6,1,1,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,14,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/ConfigDAO.java,org.apache.directory.fortress.core.impl.ConfigDAO,ConfigDAO/0,true,106,1,8,6,2,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/ConfigDAO.java,org.apache.directory.fortress.core.impl.ConfigDAO,remove/1[java.lang.String],false,238,4,6,1,5,2,5,16,0,3,1,5,1,1,0,0,1,0,3,0,4,1,1,0,0,0,27,0,1,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/ConfigDAO.java,org.apache.directory.fortress.core.impl.ConfigDAO,getConfig/1[java.lang.String],false,305,6,8,1,7,3,7,23,1,6,1,7,1,1,0,0,1,0,5,0,8,2,1,0,0,0,38,0,1,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-fortress-core_180e1f017d9077756eebe02cb852e86a39f84f99/src/main/java/org/apache/directory/fortress/core/impl/ConfigDAO.java,org.apache.directory.fortress.core.impl.ConfigDAO,"update/2[java.lang.String,java.util.Properties]",false,164,6,8,1,7,4,8,24,1,4,2,8,1,1,0,0,1,0,3,1,6,1,2,0,0,0,41,0,1,true
