file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/codec/core/src/main/java/org/apache/directory/api/ldap/codec/actions/request/search/filter/InitAssertionValueFilter.java,org.apache.directory.api.ldap.codec.actions.request.search.filter.InitAssertionValueFilter,action/1[org.apache.directory.api.ldap.codec.api.LdapMessageContainer<org.apache.directory.api.ldap.codec.actions.request.search.filter.SearchRequest>],LOG,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/model/src/main/java/org/apache/directory/api/ldap/model/schema/AttributeTypeOptions.java,org.apache.directory.api.ldap.model.schema.AttributeTypeOptions,hasOption/0,options,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/model/src/main/java/org/apache/directory/api/ldap/model/schema/AttributeTypeOptions.java,org.apache.directory.api.ldap.model.schema.AttributeTypeOptions,getOptions/0,options,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/model/src/main/java/org/apache/directory/api/ldap/model/schema/AttributeTypeOptions.java,org.apache.directory.api.ldap.model.schema.AttributeTypeOptions,toString/0,attributeType,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/model/src/main/java/org/apache/directory/api/ldap/model/schema/AttributeTypeOptions.java,org.apache.directory.api.ldap.model.schema.AttributeTypeOptions,toString/0,options,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/model/src/main/java/org/apache/directory/api/ldap/model/schema/AttributeTypeOptions.java,org.apache.directory.api.ldap.model.schema.AttributeTypeOptions,"AttributeTypeOptions/2[org.apache.directory.api.ldap.model.schema.AttributeType,java.util.Set<java.lang.String>]",attributeType,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/model/src/main/java/org/apache/directory/api/ldap/model/schema/AttributeTypeOptions.java,org.apache.directory.api.ldap.model.schema.AttributeTypeOptions,"AttributeTypeOptions/2[org.apache.directory.api.ldap.model.schema.AttributeType,java.util.Set<java.lang.String>]",options,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/model/src/main/java/org/apache/directory/api/ldap/model/schema/AttributeTypeOptions.java,org.apache.directory.api.ldap.model.schema.AttributeTypeOptions,equals/1[java.lang.Object],attributeType,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/model/src/main/java/org/apache/directory/api/ldap/model/schema/AttributeTypeOptions.java,org.apache.directory.api.ldap.model.schema.AttributeTypeOptions,addOptions/1[java.util.Set<java.lang.String>],options,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/directory-ldap-api_5b93e102556ad2191b5d30411708410d1b1a9d71/ldap/model/src/main/java/org/apache/directory/api/ldap/model/schema/AttributeTypeOptions.java,org.apache.directory.api.ldap.model.schema.AttributeTypeOptions,AttributeTypeOptions/1[org.apache.directory.api.ldap.model.schema.AttributeType],attributeType,4
