file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setSingleton/1[boolean],singleton,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,createInstance/0,schema,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,createInstance/0,driver,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,createInstance/0,databaseClass,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,createInstance/0,linkName,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,createInstance/0,preparedStatementsEnabled,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,createInstance/0,earlyOpen,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setDatabaseClass/1[java.lang.Class<? extends org.apache.empire.spring.DBDatabase>],databaseClass,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setSchema/1[java.lang.String],schema,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setDriver/1[org.apache.empire.spring.DBDatabaseDriver],driver,3
