file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setSingleton/1[boolean],singleton,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,createInstance/0,database,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,createInstance/0,e,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setDatabaseClass/1[java.lang.Class<? extends org.apache.empire.spring.DBDatabase>],databaseClass,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setSchema/1[java.lang.String],schema,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setDriver/1[org.apache.empire.spring.DBDatabaseDriver],driver,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setPreparedStatementsEnabled/1[boolean],preparedStatementsEnabled,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setLinkName/1[java.lang.String],linkName,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setEarlyOpen/1[boolean],earlyOpen,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-spring/src/main/java/org/apache/empire/spring/DBDatabaseFactoryBean.java,org.apache.empire.spring.DBDatabaseFactoryBean,setDriverClass/1[java.lang.Class<org.apache.empire.spring.DBDatabaseDriver>],driverClass,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db/src/main/java/org/apache/empire/exceptions/ItemNotFoundException.java,org.apache.empire.exceptions.ItemNotFoundException,ItemNotFoundException/1[java.lang.Object],item,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-examples/empire-db-example-vue/src/main/java/org/apache/empire/vue/sample/db/records/DepartmentRecord.java,org.apache.empire.vue.sample.db.records.DepartmentRecord,"DepartmentRecord/2[org.apache.empire.vue.sample.db.SampleDB,org.apache.empire.vue.sample.db.RecordContext]",recordContext,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-examples/empire-db-example-vue/src/main/java/org/apache/empire/vue/sample/db/records/DepartmentRecord.java,org.apache.empire.vue.sample.db.records.DepartmentRecord,"DepartmentRecord/2[org.apache.empire.vue.sample.db.SampleDB,org.apache.empire.vue.sample.db.RecordContext]",db,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db/src/main/java/org/apache/empire/db/sqlserver/DBDatabaseDriverMSSQL.java,org.apache.empire.db.sqlserver.DBDatabaseDriverMSSQL$DBCommandMSSQL,DBCommandMSSQL/1[org.apache.empire.db.DBDatabase],db,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db/src/main/java/org/apache/empire/db/sqlserver/DBDatabaseDriverMSSQL.java,org.apache.empire.db.sqlserver.DBDatabaseDriverMSSQL$DBCommandMSSQL,limitRows/1[int],numRows,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db/src/main/java/org/apache/empire/db/sqlserver/DBDatabaseDriverMSSQL.java,org.apache.empire.db.sqlserver.DBDatabaseDriverMSSQL$DBCommandMSSQL,addSelect/1[java.lang.StringBuilder],buf,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db/src/main/java/org/apache/empire/db/hsql/DBDatabaseDriverHSql.java,org.apache.empire.db.hsql.DBDatabaseDriverHSql$DBCommandHSql,DBCommandHSql/1[org.apache.empire.db.DBDatabase],db,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-examples/empire-db-example-jsf2/src/main/java/org/apache/empire/jsf2/websample/db/SampleDB.java,org.apache.empire.jsf2.websample.db.SampleDB$TEmployees,TEmployees/1[org.apache.empire.db.DBDatabase],genders,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-examples/empire-db-example-jsf2/src/main/java/org/apache/empire/jsf2/websample/db/SampleDB.java,org.apache.empire.jsf2.websample.db.SampleDB$TEmployees,TEmployees/1[org.apache.empire.db.DBDatabase],retired,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db-examples/empire-db-example-jsf2/src/main/java/org/apache/empire/jsf2/websample/db/SampleDB.java,org.apache.empire.jsf2.websample.db.SampleDB$TEmployees,TEmployees/1[org.apache.empire.db.DBDatabase],db,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareNotExpr.java,org.apache.empire.db.expr.compare.DBCompareNotExpr,addReferencedColumns/1[java.util.Set<org.apache.empire.db.DBColumn>],list,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/empire-db_933dce5536fe157cd6b5e924a2c623acfb6cb083/empire-db/src/main/java/org/apache/empire/db/expr/compare/DBCompareNotExpr.java,org.apache.empire.db.expr.compare.DBCompareNotExpr,DBCompareNotExpr/1[org.apache.empire.db.expr.compare.DBCompareExpr],expr,2
