file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-channels/flume-file-channel/src/main/java/org/apache/flume/channel/file/encryption/CipherProvider.java,org.apache.flume.channel.file.encryption.CipherProvider$Encryptor$Builder,setKey/1[java.security.Key],key,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-sdk/src/test/java/org/apache/flume/api/ThriftTestingSource.java,org.apache.flume.api.ThriftTestingSource,"ThriftTestingSource/7[java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",server,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-sdk/src/test/java/org/apache/flume/api/ThriftTestingSource.java,org.apache.flume.api.ThriftTestingSource,setDelay/1[java.util.concurrent.atomic.AtomicLong],delay,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-sdk/src/test/java/org/apache/flume/api/ThriftTestingSource.java,org.apache.flume.api.ThriftTestingSource,"ThriftTestingSource/3[java.lang.String,int,java.lang.String]",server,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-sdk/src/test/java/org/apache/flume/api/ThriftTestingSource.java,org.apache.flume.api.ThriftTestingSource,stop/0,server,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-node/src/test/java/org/apache/flume/node/TestPollingZooKeeperConfigurationProvider.java,org.apache.flume.node.TestPollingZooKeeperConfigurationProvider$EventSync,reset/0,notified,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-node/src/test/java/org/apache/flume/node/TestPollingZooKeeperConfigurationProvider.java,org.apache.flume.node.TestPollingZooKeeperConfigurationProvider$EventSync,notifyEvent/1[org.apache.flume.node.MaterializedConfiguration],notified,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-node/src/test/java/org/apache/flume/node/TestPollingZooKeeperConfigurationProvider.java,org.apache.flume.node.TestPollingZooKeeperConfigurationProvider$EventSync,awaitEvent/0,notified,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-core/src/main/java/org/apache/flume/lifecycle/LifecycleController.java,org.apache.flume.lifecycle.LifecycleController,"waitForOneOf/3[org.apache.flume.lifecycle.LifecycleAware,org.apache.flume.lifecycle.LifecycleState[],long]",shortestSleepDuration,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-core/src/main/java/org/apache/flume/lifecycle/LifecycleController.java,org.apache.flume.lifecycle.LifecycleController,"waitForOneOf/3[org.apache.flume.lifecycle.LifecycleAware,org.apache.flume.lifecycle.LifecycleState[],long]",logger,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-core/src/main/java/org/apache/flume/lifecycle/LifecycleController.java,org.apache.flume.lifecycle.LifecycleController,"waitForOneOf/3[org.apache.flume.lifecycle.LifecycleAware,org.apache.flume.lifecycle.LifecycleState[],long]",maxNumberOfChecks,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-core/src/main/java/org/apache/flume/formatter/output/RollTimePathManager.java,org.apache.flume.formatter.output.RollTimePathManager,nextFile/0,formatter,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-core/src/main/java/org/apache/flume/formatter/output/RollTimePathManager.java,org.apache.flume.formatter.output.RollTimePathManager,nextFile/0,lastRoll,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-sinks/flume-ng-morphline-solr-sink/src/main/java/org/apache/flume/sink/solr/morphline/UUIDInterceptor.java,org.apache.flume.sink.solr.morphline.UUIDInterceptor$Builder,build/0,context,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-sinks/flume-ng-morphline-solr-sink/src/main/java/org/apache/flume/sink/solr/morphline/UUIDInterceptor.java,org.apache.flume.sink.solr.morphline.UUIDInterceptor$Builder,configure/1[org.apache.flume.Context],context,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-auth/src/main/java/org/apache/flume/auth/SimpleAuthenticator.java,org.apache.flume.auth.SimpleAuthenticator,proxyAs/1[java.lang.String],proxyCache,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/CountingSinkRunner.java,org.apache.flume.channel.file.CountingSinkRunner,shutdown/0,run,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/CountingSinkRunner.java,org.apache.flume.channel.file.CountingSinkRunner,getCount/0,count,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/CountingSinkRunner.java,org.apache.flume.channel.file.CountingSinkRunner,getErrors/0,errors,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/CountingSinkRunner.java,org.apache.flume.channel.file.CountingSinkRunner,"CountingSinkRunner/2[org.apache.flume.channel.file.Sink,int]",sink,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/CountingSinkRunner.java,org.apache.flume.channel.file.CountingSinkRunner,"CountingSinkRunner/2[org.apache.flume.channel.file.Sink,int]",until,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/CountingSinkRunner.java,org.apache.flume.channel.file.CountingSinkRunner,run/0,sink,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/flume_7d3396f26dc1541e9d2a540d50d15a15c38acb74/flume-ng-channels/flume-file-channel/src/test/java/org/apache/flume/channel/file/CountingSinkRunner.java,org.apache.flume.channel.file.CountingSinkRunner,run/0,count,2
