file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/NumberLiteral.java,freemarker.core.NumberLiteral,evalAndCoerceToPlainText/1[freemarker.core.Environment],env,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/NumberLiteral.java,freemarker.core.NumberLiteral,getParameterRole/1[int],idx,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/NumberLiteral.java,freemarker.core.NumberLiteral,"deepCloneWithIdentifierReplaced_inner/3[java.lang.String,freemarker.core.Expression,freemarker.core.Expression.ReplacemenetState]",replacedIdentifier,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/NumberLiteral.java,freemarker.core.NumberLiteral,"deepCloneWithIdentifierReplaced_inner/3[java.lang.String,freemarker.core.Expression,freemarker.core.Expression.ReplacemenetState]",replacement,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/NumberLiteral.java,freemarker.core.NumberLiteral,"deepCloneWithIdentifierReplaced_inner/3[java.lang.String,freemarker.core.Expression,freemarker.core.Expression.ReplacemenetState]",replacementState,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/NumberLiteral.java,freemarker.core.NumberLiteral,NumberLiteral/1[java.lang.Number],value,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/NumberLiteral.java,freemarker.core.NumberLiteral,getParameterValue/1[int],idx,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/NumberLiteral.java,freemarker.core.NumberLiteral,_eval/1[freemarker.core.Environment],env,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/core/BuiltInsForNumbers.java,freemarker.core.BuiltInsForNumbers$lower_abcBI,toABC/1[int],n,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/cache/NotMatcher.java,freemarker.cache.NotMatcher,NotMatcher/1[freemarker.cache.TemplateSourceMatcher],matcher,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/freemarker_02fa5edb3cde53f284551c09ecc13301b0e83d0b/src/main/java/freemarker/cache/NotMatcher.java,freemarker.cache.NotMatcher,"matches/2[java.lang.String,java.lang.Object]",templateSource,1
