file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/data/photos/TagData.java,com.google.gdata.data.photos.TagData,interface,2,4,2,2,2,1,0,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,3,3,3,0,0,0,3,0,0,7,0,0,0,0,0,1,0,3,1,3,0,0,0,0,91,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/data/sites/AnnouncementsPageEntry.java,com.google.gdata.data.sites.AnnouncementsPageEntry,class,11,12,1,11,15,7,0,12,78,0.96153843,0.0,0.0,13,0,12,0,1,0,13,0,0,0,2,2,2,0,0,0,2,0,0,53,9,0,1,0,0,7,0,2,2,2,1,0,0,0,84,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/sample/util/CommonUtils.java,sample.util.CommonUtils,class,4,4,0,4,3,1,0,3,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,4,0,0,0,0,38,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/data/acl/AclWithKey.java,com.google.gdata.data.acl.AclWithKey,class,9,11,2,9,17,3,0,19,75,0.82222223,0.14285715,0.14285715,15,0,13,0,2,0,15,0,0,0,3,2,0,2,0,1,2,0,1,61,6,0,2,0,0,5,0,5,1,3,1,0,0,0,72,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/model/gd/Namespaces.java,com.google.gdata.model.gd.Namespaces,class,1,1,0,1,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,8,0,0,0,0,0,3,0,4,1,4,0,0,0,0,22,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/sample/gtt/DownloadDocumentCommand.java,sample.gtt.DownloadDocumentCommand,class,7,8,1,7,6,1,0,13,3,1.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,1,0,1,39,1,1,3,1,1,9,1,12,3,10,2,0,0,0,60,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/data/AbstractExtension.java,com.google.gdata.data.AbstractExtension$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/sample/appsforyourdomain/gmailsettings/InvalidUserException.java,sample.appsforyourdomain.gmailsettings.InvalidUserException,class,0,0,0,0,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/data/calendar/GuestsCanModifyProperty.java,com.google.gdata.data.calendar.GuestsCanModifyProperty,class,7,9,2,7,17,3,0,15,0,0.7666667,0.54545456,0.54545456,12,1,9,0,3,0,12,0,0,0,5,4,2,2,0,1,4,0,3,62,8,0,4,0,0,4,1,11,3,8,1,0,0,0,85,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/data/projecthosting/ProjectLabel.java,com.google.gdata.data.projecthosting.ProjectLabel,class,4,6,2,4,4,3,0,4,6,0.75,0.0,0.0,4,1,4,0,0,0,4,0,0,0,1,1,0,0,0,1,1,0,1,18,2,0,0,0,0,3,0,2,1,2,0,0,0,0,41,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/data/docs/LastCommented.java,com.google.gdata.data.docs.LastCommented,class,7,9,2,7,16,2,0,15,10,0.6666667,0.42424244,0.42424244,12,1,9,0,3,0,12,0,0,0,2,1,0,1,0,1,1,0,2,56,8,0,3,0,0,3,1,8,3,5,1,0,0,0,78,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/model/gd/EventEntry.java,com.google.gdata.model.gd.EventEntry,class,18,19,1,18,50,3,0,27,0,0.707483,0.0025510204,0.0025510204,49,1,47,0,2,0,49,0,0,0,3,3,3,0,0,0,3,0,2,180,40,0,0,0,0,2,0,4,1,4,1,0,0,0,131,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gdata-java-client_c6202a55f5f29afb37ffcf876674dca372f3fb4c/java/src/com/google/gdata/util/common/base/Objects.java,com.google.gdata.util.common.base.Objects$ToStringHelper,innerclass,4,4,0,4,6,1,0,15,6,0.6,0.16666667,0.16666667,5,1,3,1,0,1,4,0,0,0,3,1,0,3,0,0,3,0,5,27,4,0,1,0,0,2,3,7,2,6,1,0,0,0,63,9,0
