file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/dnd/DelegatingDropAdapter.java,org.eclipse.gef.dnd.DelegatingDropAdapter,addDropTargetListener/1[org.eclipse.gef.dnd.TransferDropTargetListener],false,44,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/dnd/DelegatingDropAdapter.java,org.eclipse.gef.dnd.DelegatingDropAdapter,removeDropTargetListener/1[org.eclipse.gef.dnd.TransferDropTargetListener],false,64,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/dnd/DelegatingDropAdapter.java,org.eclipse.gef.dnd.DelegatingDropAdapter,getTransferTypes/0,false,54,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,getDragTracker/1[org.eclipse.gef.Request],false,482,3,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,getModelTargetConnections/0,false,538,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,primRemoveTargetConnection/1[org.eclipse.gef.ConnectionEditPart],false,631,1,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,"fireRemovingSourceConnection/2[org.eclipse.gef.ConnectionEditPart,int]",false,368,3,3,1,2,3,4,9,1,2,2,4,0,0,1,1,0,0,0,0,3,0,1,0,0,0,39,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,primRemoveSourceConnection/1[org.eclipse.gef.ConnectionEditPart],false,618,1,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,refreshTargetConnections/0,false,728,3,8,1,7,11,12,35,0,8,0,12,6,5,4,3,0,1,0,4,15,1,3,0,0,0,77,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,"reorderChild/2[org.eclipse.gef.EditPart,int]",false,869,5,5,0,5,2,6,8,0,3,2,6,2,3,0,1,0,1,0,0,4,0,1,0,0,0,28,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,removeNodeListener/1[org.eclipse.gef.NodeListener],false,798,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,setFigure/1[org.eclipse.draw2d.IFigure],false,920,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,"reorderSourceConnection/2[org.eclipse.gef.ConnectionEditPart,int]",false,893,2,3,1,2,1,2,4,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,activate/0,false,194,2,2,0,2,2,5,5,0,2,0,5,1,1,1,0,0,1,0,1,2,0,1,0,0,0,12,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,deactivate/0,false,349,2,2,0,2,2,5,5,0,2,0,5,1,1,1,0,0,1,0,1,2,0,1,0,0,0,22,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/gef-legacy_14563a9e1f2af636a5364d195cf07dbff6f35fa6/org.eclipse.gef/src/org/eclipse/gef/editparts/AbstractGraphicalEditPart.java,org.eclipse.gef.editparts.AbstractGraphicalEditPart,"addSourceConnection/2[org.eclipse.gef.ConnectionEditPart,int]",false,253,5,8,1,7,3,8,8,0,1,2,8,2,1,0,1,0,0,0,0,1,0,1,0,0,0,62,4,0,true
