file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"readRobotsTxt/3[com.esri.geoportal.commons.robots.MatchingStrategy,com.esri.geoportal.commons.robots.WinningStrategy,java.net.URL]",httpClient,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"readRobotsTxt/3[com.esri.geoportal.commons.robots.MatchingStrategy,com.esri.geoportal.commons.robots.WinningStrategy,java.net.URL]",LOG,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"readRobotsTxt/3[com.esri.geoportal.commons.robots.MatchingStrategy,com.esri.geoportal.commons.robots.WinningStrategy,java.net.URL]",botsConfig,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"getInstance/2[com.esri.geoportal.commons.robots.BotsConfig,com.esri.geoportal.commons.robots.HttpClient]",httpClient,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"getInstance/2[com.esri.geoportal.commons.robots.BotsConfig,com.esri.geoportal.commons.robots.HttpClient]",LOG,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"getInstance/2[com.esri.geoportal.commons.robots.BotsConfig,com.esri.geoportal.commons.robots.HttpClient]",botsConfig,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,getRobotsTxtUrl/1[java.net.URL],LOG,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,getUserAgent/0,botsConfig,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"BotsParser/2[com.esri.geoportal.commons.robots.BotsConfig,com.esri.geoportal.commons.robots.HttpClient]",httpClient,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"BotsParser/2[com.esri.geoportal.commons.robots.BotsConfig,com.esri.geoportal.commons.robots.HttpClient]",botsConfig,4
