file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"readRobotsTxt/3[com.esri.geoportal.commons.robots.MatchingStrategy,com.esri.geoportal.commons.robots.WinningStrategy,java.net.URL]",false,104,8,7,3,4,6,14,27,2,5,3,14,2,2,0,3,1,0,5,1,5,0,5,0,0,0,59,1,4,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"getInstance/2[com.esri.geoportal.commons.robots.BotsConfig,com.esri.geoportal.commons.robots.HttpClient]",false,46,3,3,1,2,1,3,5,1,1,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,9,1,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,getRobotsTxtUrl/1[java.net.URL],false,152,0,1,1,0,4,5,16,3,0,1,5,0,0,0,1,1,0,3,1,0,0,3,0,0,0,12,2,1,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,getUserAgent/0,false,69,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"BotsParser/2[com.esri.geoportal.commons.robots.BotsConfig,com.esri.geoportal.commons.robots.HttpClient]",true,59,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"readRobotsTxt/3[com.esri.geoportal.commons.robots.MatchingStrategy,com.esri.geoportal.commons.robots.WinningStrategy,java.lang.String]",false,83,4,3,2,1,3,3,11,2,0,3,3,1,3,0,1,1,0,1,0,0,0,2,0,0,0,34,1,1,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-robots/src/main/java/com/esri/geoportal/commons/robots/BotsParser.java,com.esri.geoportal.commons.robots.BotsParser,"readRobotsTxt/3[com.esri.geoportal.commons.robots.MatchingStrategy,com.esri.geoportal.commons.robots.WinningStrategy,java.io.InputStream]",false,139,5,4,1,3,2,3,11,2,2,3,3,1,1,0,0,1,0,1,0,3,0,1,0,0,0,31,1,1,true
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-connectors/geoportal-harvester-jdbc/src/main/java/com/esri/geoportal/harvester/jdbc/JdbcValidator.java,com.esri.geoportal.harvester.jdbc.JdbcValidator,validateStatement/1[java.lang.String],false,43,1,1,1,0,3,5,8,0,2,1,5,0,0,0,0,0,0,2,1,1,0,2,0,0,1,13,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-connectors/geoportal-harvester-jdbc/src/main/java/com/esri/geoportal/harvester/jdbc/JdbcValidator.java,com.esri.geoportal.harvester.jdbc.JdbcValidator,getRegExp/0,false,52,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,false
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/geoportal-server-harvester_b8c69260e3d6ec10df6514c201219e690cfba048/geoportal-commons/geoportal-commons-agp-client/src/main/java/com/esri/geoportal/commons/agp/client/ItemResponse.java,com.esri.geoportal.commons.agp.client.ItemResponse,toString/0,false,28,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
