file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/test/java/gololang/DynamicObjectTest.java,gololang.DynamicObjectTest,class,5,6,1,5,32,1,0,37,378,0.0,0.0,0.0,28,5,23,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,73,203,5,2,0,1,0,115,72,51,1,46,2,0,1,0,79,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/test/java/org/eclipse/golo/compiler/testing/support/GoloTestHelperFields.java,org.eclipse.golo.compiler.testing.support.GoloTestHelperFields,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/main/java/org/eclipse/golo/runtime/ClosureReferenceSupport.java,org.eclipse.golo.runtime.ClosureReferenceSupport,class,2,4,2,2,5,1,0,12,3,0.0,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,19,2,1,1,0,0,1,2,6,0,5,1,0,0,0,27,17,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/test/java/gololang/EvaluationEnvironmentTest.java,gololang.EvaluationEnvironmentTest,class,5,5,0,5,12,1,0,22,45,0.9,0.0,0.0,10,0,10,0,0,0,10,0,0,0,2,2,0,2,0,0,2,0,0,87,0,0,0,2,0,22,12,25,1,25,1,1,0,0,63,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/test/java/org/eclipse/golo/runtime/MethodInvocationSupportTest.java,org.eclipse.golo.runtime.MethodInvocationSupportTest$Ploper,innerclass,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/main/java/org/eclipse/golo/compiler/parser/ASTReturn.java,org.eclipse.golo.compiler.parser.ASTReturn,class,3,4,1,3,4,3,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/test/java/org/eclipse/golo/runtime/PrimitiveArrayIteratorTest.java,org.eclipse.golo.runtime.PrimitiveArrayIteratorTest,class,2,2,0,2,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,9,6,0,6,0,0,0,0,18,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/main/java/org/eclipse/golo/compiler/parser/ASTAndExpression.java,org.eclipse.golo.compiler.parser.ASTAndExpression,class,3,4,1,3,6,3,0,1,9,0.5,0.06666667,0.06666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,0,0,0,21,3,0,0,0,0,1,2,2,0,1,0,0,0,0,19,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/main/java/org/eclipse/golo/cli/command/DocCommand.java,org.eclipse.golo.cli.command.DocCommand,class,13,14,1,13,12,1,0,19,0,0.41666666,0.0,0.0,2,0,1,1,0,0,2,0,0,0,6,1,0,2,0,4,1,0,4,60,1,2,1,2,0,15,0,10,0,10,3,0,1,0,47,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/golo-lang_96a489736fa2a3b0313f2fa5fb290612a84b937c/src/main/java/org/eclipse/golo/compiler/parser/ASTContinue.java,org.eclipse.golo.compiler.parser.ASTContinue,class,3,4,1,3,4,3,0,1,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,0
