file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/search/test/AbstractGrailsSearchParticipantTest.java,org.grails.ide.eclipse.search.test.AbstractGrailsSearchParticipantTest$MockSearchRequestor,reportMatch/1[org.grails.ide.eclipse.search.test.Match],actualMatches,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/search/test/AbstractGrailsSearchParticipantTest.java,org.grails.ide.eclipse.search.test.AbstractGrailsSearchParticipantTest$MockSearchRequestor,assertMatches/0,actualMatches,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/search/test/AbstractGrailsSearchParticipantTest.java,org.grails.ide.eclipse.search.test.AbstractGrailsSearchParticipantTest$MockSearchRequestor,assertMatches/0,expectedMatches,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/search/test/AbstractGrailsSearchParticipantTest.java,org.grails.ide.eclipse.search.test.AbstractGrailsSearchParticipantTest$MockSearchRequestor,MockSearchRequestor/1[org.grails.ide.eclipse.search.test.AbstractGrailsSearchParticipantTest.MatchInfo[]],expectedMatches,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/longrunning/test/TestConsoleProvider.java,org.grails.ide.eclipse.longrunning.test.TestConsoleProvider$AnswerProvider,"AnswerProvider/2[java.io.PrintStream,java.io.InputStream]",keyboard,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/longrunning/test/TestConsoleProvider.java,org.grails.ide.eclipse.longrunning.test.TestConsoleProvider$AnswerProvider,"AnswerProvider/2[java.io.PrintStream,java.io.InputStream]",grails,3
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/longrunning/test/TestConsoleProvider.java,org.grails.ide.eclipse.longrunning.test.TestConsoleProvider$AnswerProvider,readSome/0,grails,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/longrunning/test/TestConsoleProvider.java,org.grails.ide.eclipse.longrunning.test.TestConsoleProvider$AnswerProvider,readSome/0,currentLine,4
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/longrunning/test/TestConsoleProvider.java,org.grails.ide.eclipse.longrunning.test.TestConsoleProvider$AnswerProvider,answerQuestion/1[org.grails.ide.eclipse.longrunning.test.QuestionAnswer],keyboard,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/search/test/AbstractGrailsSearchParticipantTest.java,org.grails.ide.eclipse.search.test.AbstractGrailsSearchParticipantTest$MatchInfo,hashCode/0,len,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/search/test/AbstractGrailsSearchParticipantTest.java,org.grails.ide.eclipse.search.test.AbstractGrailsSearchParticipantTest$MatchInfo,hashCode/0,start,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/search/test/AbstractGrailsSearchParticipantTest.java,org.grails.ide.eclipse.search.test.AbstractGrailsSearchParticipantTest$MatchInfo,hashCode/0,element,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/grails-ide_cb5162c5a7fc60a2847c39d2750003ada7e80ff7/org.grails.ide.eclipse.test/src/org/grails/ide/eclipse/search/test/AbstractGrailsSearchParticipantTest.java,org.grails.ide.eclipse.search.test.AbstractGrailsSearchParticipantTest$MatchInfo,equals/1[java.lang.Object],len,1
