file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/metric/MetricController.java,org.apache.griffin.core.metric.MetricController,class,10,11,1,10,4,1,0,4,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,15,4,0,0,0,0,12,0,0,0,1,0,0,0,0,16,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/PropertiesConfig.java,org.apache.griffin.core.config.PropertiesConfig$Anonymous2,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/job/factory/AutowiringSpringBeanJobFactory.java,org.apache.griffin.core.job.factory.AutowiringSpringBeanJobFactory,class,7,9,2,7,3,2,0,5,0,0.25,1.0,1.0,2,0,1,0,1,0,2,0,0,0,2,1,0,2,0,0,1,0,0,18,2,0,0,1,0,1,0,3,0,3,1,0,0,0,31,17,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/PropertiesConfig.java,org.apache.griffin.core.config.PropertiesConfig$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/LoginConfig.java,org.apache.griffin.core.config.LoginConfig,class,6,6,0,6,3,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,8,0,0,8,0,0,0,0,0,20,3,0,0,0,0,10,0,0,0,8,1,0,0,0,21,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/job/LivyTaskSubmitHelper.java,org.apache.griffin.core.job.LivyTaskSubmitHelper,class,14,18,4,14,20,1,0,22,14,0.83928573,0.2857143,0.52380955,8,0,6,1,1,0,7,0,0,0,14,4,1,13,0,0,4,0,4,116,7,1,7,1,0,14,7,19,1,22,2,1,1,0,115,1,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/event/GriffinAbstractEvent.java,org.apache.griffin.core.event.GriffinAbstractEvent,class,5,6,1,5,5,1,0,0,2,0.6,0.4,1.0,5,0,5,0,0,0,5,0,0,0,4,0,0,4,0,0,0,0,0,24,4,0,0,0,0,0,0,4,0,4,0,0,0,0,11,1025,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/measure/MeasureServiceImpl.java,org.apache.griffin.core.measure.MeasureServiceImpl,class,17,20,3,17,18,1,0,17,0,0.765625,1.0,1.0,8,0,7,1,0,0,7,0,0,0,8,3,0,8,0,0,3,0,0,74,9,1,3,0,0,6,0,12,0,17,1,0,0,0,60,1,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/test/java/org/apache/griffin/core/util/JsonUtilTest.java,org.apache.griffin.core.util.JsonUtilTest,class,4,4,0,4,6,1,0,10,3,0.33333334,0.4,0.4,6,0,6,0,0,0,6,0,0,0,1,1,1,0,0,0,1,0,6,38,0,0,0,0,0,2,7,13,0,13,0,2,0,0,39,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/test/java/org/apache/griffin/core/measure/MeasureServiceImplTest.java,org.apache.griffin.core.measure.MeasureServiceImplTest,class,20,20,0,20,20,1,0,36,0,0.52000004,0.80526316,0.80526316,20,0,20,0,0,0,20,0,0,0,5,0,0,5,0,0,0,0,23,131,0,0,0,0,0,23,21,26,0,31,0,0,0,0,58,1,0
