file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/metric/MetricController.java,org.apache.griffin.core.metric.MetricController,addMetricValues/1[java.util.List<org.apache.griffin.core.metric.model.MetricValue>],metricService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/metric/MetricController.java,org.apache.griffin.core.metric.MetricController,"getMetricValues/4[java.lang.String,int,int,long]",metricService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/metric/MetricController.java,org.apache.griffin.core.metric.MetricController,getAllMetrics/0,metricService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/metric/MetricController.java,org.apache.griffin.core.metric.MetricController,deleteMetricValues/1[java.lang.String],metricService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/job/factory/AutowiringSpringBeanJobFactory.java,org.apache.griffin.core.job.factory.AutowiringSpringBeanJobFactory,setApplicationContext/1[org.apache.griffin.core.job.factory.ApplicationContext],beanFactory,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/job/factory/AutowiringSpringBeanJobFactory.java,org.apache.griffin.core.job.factory.AutowiringSpringBeanJobFactory,createJobInstance/1[org.apache.griffin.core.job.factory.TriggerFiredBundle],beanFactory,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/job/factory/AutowiringSpringBeanJobFactory.java,org.apache.griffin.core.job.factory.AutowiringSpringBeanJobFactory,createJobInstance/1[org.apache.griffin.core.job.factory.TriggerFiredBundle],LOGGER,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/LoginConfig.java,org.apache.griffin.core.config.LoginConfig,loginService/0,bindDN,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/LoginConfig.java,org.apache.griffin.core.config.LoginConfig,loginService/0,bindPassword,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/LoginConfig.java,org.apache.griffin.core.config.LoginConfig,loginService/0,searchBase,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/LoginConfig.java,org.apache.griffin.core.config.LoginConfig,loginService/0,searchPattern,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/LoginConfig.java,org.apache.griffin.core.config.LoginConfig,loginService/0,strategy,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/LoginConfig.java,org.apache.griffin.core.config.LoginConfig,loginService/0,sslSkipVerify,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/LoginConfig.java,org.apache.griffin.core.config.LoginConfig,loginService/0,url,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/config/LoginConfig.java,org.apache.griffin.core.config.LoginConfig,loginService/0,email,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/job/LivyTaskSubmitHelper.java,org.apache.griffin.core.job.LivyTaskSubmitHelper,init/0,logger,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/job/LivyTaskSubmitHelper.java,org.apache.griffin.core.job.LivyTaskSubmitHelper,init/0,env,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/griffin_1cf2a15452a9998da4ede6d61fe8a7138dd65341/service/src/main/java/org/apache/griffin/core/job/LivyTaskSubmitHelper.java,org.apache.griffin.core.job.LivyTaskSubmitHelper,init/0,uri,2
