file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/tests/src/test/java/org/eclipse/hono/tests/jms/CorrelationHelper.java,org.eclipse.hono.tests.jms.CorrelationHelper,"handle/2[java.lang.String,T]",handlers,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/tests/src/test/java/org/eclipse/hono/tests/jms/CorrelationHelper.java,org.eclipse.hono.tests.jms.CorrelationHelper,"handle/2[java.lang.String,T]",LOGGER,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/tests/src/test/java/org/eclipse/hono/tests/jms/CorrelationHelper.java,org.eclipse.hono.tests.jms.CorrelationHelper,"add/2[java.lang.String,java.util.function.Function<T,R>]",handlers,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/tests/src/test/java/org/eclipse/hono/tests/jms/CorrelationHelper.java,org.eclipse.hono.tests.jms.CorrelationHelper,size/0,handlers,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/service-base/src/main/java/org/eclipse/hono/service/auth/ValidityOnlyTrustManagerFactory.java,org.eclipse.hono.service.auth.ValidityOnlyTrustManagerFactory,engineGetTrustManagers/0,tm,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/service-base/src/test/java/org/eclipse/hono/service/tenant/CompleteBaseTenantServiceTest.java,org.eclipse.hono.service.tenant.CompleteBaseTenantServiceTest,testAddFailsForTrustedCaWithoutSubjectDn/1[org.eclipse.hono.service.tenant.TestContext],tenantService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/service-base/src/test/java/org/eclipse/hono/service/tenant/CompleteBaseTenantServiceTest.java,org.eclipse.hono.service.tenant.CompleteBaseTenantServiceTest,"createRequest/2[org.eclipse.hono.util.TenantConstants.TenantAction,org.eclipse.hono.service.tenant.JsonObject]",TEST_TENANT,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/service-base/src/test/java/org/eclipse/hono/service/tenant/CompleteBaseTenantServiceTest.java,org.eclipse.hono.service.tenant.CompleteBaseTenantServiceTest,testAddFailsForTrustedCaWithoutCertOrPk/1[org.eclipse.hono.service.tenant.TestContext],tenantService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/service-base/src/test/java/org/eclipse/hono/service/tenant/CompleteBaseTenantServiceTest.java,org.eclipse.hono.service.tenant.CompleteBaseTenantServiceTest,testAddSucceedsForTrustedCaWithSubjectDnAndPk/1[org.eclipse.hono.service.tenant.TestContext],tenantService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/service-base/src/test/java/org/eclipse/hono/service/tenant/CompleteBaseTenantServiceTest.java,org.eclipse.hono.service.tenant.CompleteBaseTenantServiceTest,testAddFailsForEmptyAdapterArray/1[org.eclipse.hono.service.tenant.TestContext],tenantService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/service-base/src/test/java/org/eclipse/hono/service/tenant/CompleteBaseTenantServiceTest.java,org.eclipse.hono.service.tenant.CompleteBaseTenantServiceTest,testAddSucceedsForTrustedCaWithSubjectDnAndCert/1[org.eclipse.hono.service.tenant.TestContext],tenantService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/service-base/src/test/java/org/eclipse/hono/service/tenant/CompleteBaseTenantServiceTest.java,org.eclipse.hono.service.tenant.CompleteBaseTenantServiceTest,testAddFailsForTrustedCaWithCertAndPk/1[org.eclipse.hono.service.tenant.TestContext],tenantService,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hono_ec84947227564c6459801f708bdeabd7687a8bf0/service-base/src/test/java/org/eclipse/hono/service/tenant/CompleteBaseTenantServiceTest.java,org.eclipse.hono.service.tenant.CompleteBaseTenantServiceTest,tearDown/0,testCertificate,1
