file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-kitchensink/src/main/java/io/mattcarroll/hover/hoverdemo/kitchensink/placeholder/PlaceholderContent.java,io.mattcarroll.hover.hoverdemo.kitchensink.placeholder.PlaceholderContent,class,9,11,2,9,9,2,0,11,28,0.7222222,0.10714286,0.10714286,9,0,6,1,2,0,8,0,0,0,2,0,0,2,0,0,1,0,0,34,2,0,0,0,0,0,0,2,0,2,0,0,0,0,41,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-kitchensink/src/main/java/io/mattcarroll/hover/hoverdemo/kitchensink/appstate/AppStateTracker.java,io.mattcarroll.hover.hoverdemo.kitchensink.appstate.AppStateTracker$ActivityState,innerclass,2,2,0,2,3,1,0,0,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,15,2,0,0,0,0,0,0,2,0,2,0,0,1,0,15,9,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/content/toolbar/ToolbarNavigator.java,io.mattcarroll.hover.content.toolbar.ToolbarNavigator$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-kitchensink/src/main/java/io/mattcarroll/hover/hoverdemo/kitchensink/App.java,io.mattcarroll.hover.hoverdemo.kitchensink.App,class,7,8,1,7,5,2,0,14,3,0.0,NaN,NaN,3,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,20,0,0,0,0,0,0,2,2,0,2,2,0,0,0,26,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/MenuThenNoMenuHoverMenuService.java,io.mattcarroll.hover.hoverdemo.helloworld.MenuThenNoMenuHoverMenuService,class,8,11,3,8,5,4,0,10,4,0.75,1.0,1.0,4,0,0,2,2,0,2,0,0,0,5,1,0,5,0,0,2,0,1,106,1,0,0,0,0,1,5,6,2,5,0,8,1,0,58,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-kitchensink/src/main/java/io/mattcarroll/hover/hoverdemo/kitchensink/appstate/AppStateTracker.java,io.mattcarroll.hover.hoverdemo.kitchensink.appstate.AppStateTracker,class,12,16,4,12,24,1,0,19,0,0.72727275,0.33333334,0.46666667,11,2,6,5,0,0,6,0,0,1,8,2,0,8,0,0,4,0,0,198,7,6,5,0,0,9,10,20,5,20,4,1,3,0,70,1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/HoverViewStateClosed.java,io.mattcarroll.hover.HoverViewStateClosed,class,10,12,2,10,14,2,0,16,2,0.4375,0.33333334,0.47619048,8,0,7,1,0,0,7,0,0,0,2,1,0,2,0,0,1,0,0,67,2,0,6,0,0,7,1,7,0,3,1,1,0,0,52,0,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/content/menus/MenuListContent.java,io.mattcarroll.hover.content.menus.MenuListContent$Anonymous1,anonymous,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/AllStatesHoverMenuService.java,io.mattcarroll.hover.hoverdemo.helloworld.AllStatesHoverMenuService$Anonymous7,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-helloworld/src/main/java/io/mattcarroll/hover/hoverdemo/helloworld/AllStatesHoverMenuService.java,io.mattcarroll.hover.hoverdemo.helloworld.AllStatesHoverMenuService$Anonymous6,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/hover_4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-kitchensink/src/main/java/io/mattcarroll/hover/hoverdemo/kitchensink/appstate/AppStateAdapter.java,io.mattcarroll.hover.hoverdemo.kitchensink.appstate.AppStateAdapter,class,12,14,2,12,21,5,0,19,8,0.64814824,0.3888889,1.0,9,0,9,0,0,0,9,0,0,0,6,3,0,6,0,0,3,0,0,134,13,0,4,0,4,2,11,11,6,8,1,0,3,0,58,1,0
