file,class,method,variable,usage
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,testGetColumnValue/0,stack,9
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,testGetColumnValue/0,tableFormat,5
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,testSetColumnValue/0,stack,7
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,testSetColumnValue/0,tableFormat,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,testSetColumnValue/0,stack2,6
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,testSetColumnValue/0,Ne,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,testGetColumnName/0,tableFormat,2
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,setUpBeforeClass/0,stack,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,setUpBeforeClass/0,tableFormat,1
/home/sandro/workspace/sandro/MLCQCodeSmellSamples/scripts/../dataset/ice_3f6e0265f5b476ff90a660397ce83992944142c4/org.eclipse.ice.tests.materials/src/org/eclipse/ice/tests/materials/MaterialStackWritableTableFormatTest.java,org.eclipse.ice.tests.materials.MaterialStackWritableTableFormatTest,setUpBeforeClass/0,Ne,3
